"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AC113316.1",0,-4.95348138482097,0,0.883,0
"ERCC-00002",0,-9.30328991604426,0,1,0
"ERCC-00003",0,-4.96173512482073,0,0.744,0
"ERCC-00004",0,-7.51786592168798,0,0.998,0
"ERCC-00009",0,-4.91716053333717,0,0.738,0
"ERCC-00046",0,-7.23540562338876,0,0.995,0
"ERCC-00074",0,-9.48844083605126,0,1,0
"ERCC-00096",0,-9.26896666213443,0,1,0
"ERCC-00108",0,-4.62828870513503,0,0.799,0
"ERCC-00113",0,-7.23308221972452,0,0.996,0
"ERCC-00130",0,-9.92583092674338,0,1,0
"ERCC-00136",0,-6.38520009373436,0,0.946,0
"ERCC-00171",0,-6.51072224603831,0,0.971,0
"Gm10925",0,-5.49904854479198,0,0.878,0
"Gm11410",0,-4.05743480574728,0,0.722,0
"Sepp1",0,-4.58847340763061,0,0.725,0
"4632428N05Rik",2.4391212912429e-267,-3.96047857743669,0,0.605,4.25431535618586e-263
"ERCC-00145",3.25563056872535e-265,-4.28368570502405,0,0.602,5.67847083797075e-261
"ERCC-00111",2.17957569142737e-260,-4.31433003744199,0,0.594,3.80161592098761e-256
"ERCC-00043",4.02212940143644e-254,-4.3911516083106,0,0.583,7.01539810198545e-250
"mmu-mir-703",2.65660009091074e-245,-3.27295468626229,0,0.568,4.63364187856651e-241
"ERCC-00042",6.48413884930418e-224,-3.68810356965356,0,0.531,1.13096349809563e-219
"Malat1",5.48010798042977e-216,4.29496380567877,0.737,0.397,9.55840433946561e-212
"Gm13339",1.92559840726637e-203,-3.34193025855988,0,0.494,3.358628741954e-199
"Fus",1.32712176835082e-196,2.87012293330038,0.468,0.048,2.31476578835749e-192
"Meg3",8.58141259193938e-193,3.29795606629971,0.379,0.002,1.49676998428607e-188
"Syt1",2.23556685225553e-192,2.94958443433069,0.372,0,3.8992757037041e-188
"Luc7l2",5.53919840376749e-188,2.66996039020785,0.429,0.028,9.66146985585125e-184
"Dock4",8.86098486745353e-187,2.60378517656014,0.401,0.014,1.54553298058125e-182
"Atp6v0b",6.42045724767105e-186,2.46712882522745,0.525,0.09,1.11985615313878e-181
"Gm11942",7.19083819129966e-185,-2.81023717870068,0,0.459,1.25422599732649e-180
"AC151602.1",7.59202379532329e-184,-3.17428234151565,0,0.457,1.32420079038029e-179
