"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ERCC-00130",1.09129006746592e-244,-5.02929720418404,0.043,0.929,1.90342813567406e-240
"Malat1",3.2644521487491e-244,3.74834548390457,0.986,0.362,5.69385743784818e-240
"ERCC-00074",5.33410762835672e-242,-4.8597858783613,0.043,0.929,9.30375052537979e-238
"ERCC-00002",1.95707536761694e-241,-4.97830133850985,0.043,0.929,3.41353085619746e-237
"ERCC-00096",4.32967097211867e-241,-4.93283306978441,0.043,0.929,7.55181210956938e-237
"ERCC-00113",7.87148381108821e-236,-4.79946924495856,0.043,0.922,1.37294420633001e-231
"ERCC-00004",1.40815868254943e-234,-4.61672703699346,0.043,0.926,2.45611037410272e-230
"ERCC-00046",4.42679958356731e-233,-4.68680576651796,0.043,0.921,7.7212238336581e-229
"ERCC-00171",5.13146572468006e-224,-4.56275020003609,0.04,0.898,8.95030251698696e-220
"ERCC-00136",1.4492992800174e-206,-4.15153554886691,0.04,0.868,2.52786780420635e-202
"Fus",4.81550334284535e-187,3.02795269470659,0.749,0.054,8.39920093059086e-183
"Atp6v0b",4.4431660155487e-179,2.66200528153443,0.794,0.091,7.74977016432004e-175
"Cst3",2.1632218971678e-169,-1.74384432193467,0.974,0.997,3.77309163304008e-165
"Gm10925",8.65918700071866e-168,-3.91532537618105,0.034,0.757,1.51033539666535e-163
"ERCC-00108",5.70760949852159e-167,-3.93400092756213,0.032,0.743,9.95521248732136e-163
"Dock4",1.38387634588717e-166,2.97185849626284,0.666,0.03,2.4137571224964e-162
"AC113316.1",1.31037272962446e-162,-3.1610737143713,0.04,0.761,2.28555211501098e-158
"Mef2a",4.98251844513564e-162,2.17523556773843,0.861,0.182,8.69050867200559e-158
"Luc7l2",1.15855617752016e-160,2.87766180379272,0.678,0.049,2.02075368483065e-156
"Rbm39",2.58882351645052e-158,2.09519276931806,0.807,0.128,4.515425977393e-154
"Nav2",1.39782937636403e-154,2.966021240606,0.628,0.031,2.43809399825415e-150
"Csmd3",1.68195807739808e-152,2.84751873404736,0.643,0.04,2.93367127859773e-148
"Pag1",8.82999476237489e-152,2.19746824008719,0.811,0.152,1.54012768645343e-147
"Syt1",2.99462287582119e-151,2.99206515644559,0.6,0.019,5.22322122000732e-147
"Snrnp70",4.86945632295225e-150,2.71978107435063,0.643,0.043,8.49330571849331e-146
"Son",5.95374760497439e-150,2.05408773183587,0.784,0.122,1.03845265725963e-145
"Meg3",1.50058532628358e-147,3.17307726187864,0.603,0.025,2.61732092610381e-143
"Numb",2.98530517725017e-147,2.55573463895776,0.703,0.089,5.20696929015975e-143
"B2m",7.47527100368796e-143,-2.98327036759146,0.191,0.797,1.30383676846325e-138
"ERCC-00009",4.81410931931172e-142,-4.17753997427193,0.033,0.668,8.3967694747435e-138
"Srrm2",1.02636187000376e-140,2.1991099796386,0.683,0.074,1.79018037366056e-136
"ERCC-00003",8.69321809116848e-136,-3.97626655009506,0.033,0.654,1.51627109946161e-131
"Chd9",8.96464188688622e-136,2.32866716607051,0.626,0.053,1.56361283791069e-131
"Srsf5",3.22901857292674e-134,2.56738220288237,0.593,0.044,5.63205419489882e-130
"Elmo1",1.25908335447353e-131,2.21275716847295,0.701,0.118,2.19609318687274e-127
"Srgap2",5.38845670014803e-130,1.79625291502003,0.815,0.194,9.3985461763982e-126
