"Ingenuity Canonical Pathways","-log(p-value)","Ratio","z-score","Molecules","...6","Cell_Type"
"Signaling by NTRK3 (TRKC)",1.82,0.118,NA,"PLCG1,SOS1",NA,"vEC"
"Regulation of NFE2L2 gene expression",1.48,0.333,NA,"NOTCH1",NA,"vEC"
"Catecholamine Biosynthesis",1.36,0.25,NA,"DDC",NA,"vEC"
"Serotonin and Melatonin Biosynthesis",1.19,0.167,NA,"DDC",NA,"vEC"
"Sphingomyelin Metabolism",1.07,0.125,NA,"SGMS1",NA,"vEC"
"Metabolism of amine-derived hormones",0.737,0.0556,NA,"DDC",NA,"vEC"
"Pregnenolone Biosynthesis",0.659,0.0455,NA,"Cyp2d22",NA,"vEC"
"Histidine Degradation VI",0.642,0.0435,NA,"Cyp2d22",NA,"vEC"
"Ubiquinol-10 Biosynthesis (Eukaryotic)",0.596,0.0385,NA,"Cyp2d22",NA,"vEC"
"Protein methylation",3.22,0.176,NA,"EEF1A1,EEF2,RPS2",NA,"vEC"
"Diphthamide Biosynthesis",1.53,0.333,NA,"EEF2",NA,"vEC"
"Adenine and Adenosine Salvage I",1.53,0.333,NA,"APRT",NA,"vEC"
"Molybdenum Cofactor Biosynthesis",1.4,0.25,NA,"GPHN",NA,"vEC"
"Signaling by MST1",1.31,0.2,NA,"SPINT2",NA,"vEC"
"Gene and protein expression by JAK-STAT signaling after IL-12 stimulation",1.28,0.0541,NA,"LCP1,RPLP0",NA,"vEC"
"Interleukin-17 signaling",1.11,0.125,NA,"IL17RA",NA,"vEC"
"Role of IL-17A in Psoriasis",0.881,0.0714,NA,"IL17RA",NA,"vEC"
"Isoleucine Degradation I",0.803,0.0588,NA,"BCAT2",NA,"vEC"
"Unfolded Protein Response (UPR)",0.781,0.0556,NA,"XBP1",NA,"vEC"
"Branched-chain amino acid catabolism",0.781,0.0556,NA,"BCAT2",NA,"vEC"
"Receptor-type tyrosine-protein phosphatases",0.739,0.05,NA,"PPFIA2",NA,"vEC"
"Valine Degradation I",0.739,0.05,NA,"BCAT2",NA,"vEC"
"Regulation of TLR by endogenous ligand",0.72,0.0476,NA,"LBP",NA,"vEC"
"Pregnenolone Biosynthesis",0.702,0.0455,NA,"CYP2E1",NA,"vEC"
"Surfactant metabolism",0.685,0.0435,NA,"NAPSA",NA,"vEC"
"Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F",0.685,0.0435,NA,"LCN2",NA,"vEC"
"Histidine Degradation VI",0.685,0.0435,NA,"CYP2E1",NA,"vEC"
"Bupropion Degradation",0.653,0.04,NA,"CYP2E1",NA,"vEC"
"Ubiquinol-10 Biosynthesis (Eukaryotic)",0.638,0.0385,NA,"CYP2E1",NA,"vEC"
"Methylglyoxal Degradation III",0.572,0.0323,NA,"CYP2E1",NA,"vEC"
"Gamma carboxylation, hypusine formation and arylsulfatase activation",0.471,0.0244,NA,"EEF2",NA,"vEC"
"Acetone Degradation I (to Methylglyoxal)",0.462,0.0238,NA,"CYP2E1",NA,"vEC"
"Signaling by Retinoic Acid",0.446,0.0227,NA,"ADH1C",NA,"vEC"
"Estrogen Biosynthesis",0.431,0.0217,NA,"CYP2E1",NA,"vEC"
"Primary Immunodeficiency Signaling",0.338,0.0164,NA,"TAP2",NA,"vEC"
"RAB geranylgeranylation",0.318,0.0154,NA,"RAB11A",NA,"vEC"
