© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
RHO GTPase cycle	2.59E01	1.73E-01	8.832	ABL2,AKAP13,ARAP2,ARHGAP17,ARHGAP23,ARHGAP26,ARHGAP31,ARHGAP32,ARHGAP35,ARHGAP5,ARHGEF10,ARHGEF11,ARHGEF12,ARHGEF28,ARHGEF3,ARHGEF9,BCR,CDC42BPA,CDC42BPB,CHN2,CLTC,CPD,CPNE8,DOCK1,DOCK4,DOCK6,DOCK9,ERBIN,FAM135A,FARP1,FGD5,FILIP1,FMNL2,FRS2,GIT2,HNRNPC,ITSN2,KALRN,KIDINS220,LEMD3,MCF2L,MSI2,MTR,MYO6,MYO9A,NCKAP1,OPHN1,PDE5A,PEAK1,PHIP,PICALM,PIK3CA,PIK3R1,PIK3R3,PKP4,PLD1,PLEKHG1,PREX2,RALGAPA1,RAPGEF1,RASAL2,RASGRF2,ROCK1,SH3PXD2A,SH3RF1,SLK,SOS2,SPATA13,SPEN,SPTAN1,SPTBN1,SRGAP1,SRGAP2,STARD13,TRIO,UACA,USP9X,WIPF1	
Protein Kinase A Signaling	1.01E01	1.19E-01	2.214	ADCY9,ADD1,AKAP10,AKAP13,ANAPC1,BRAF,CREB3L2,CREBBP,FLNB,GNAQ,GNG12,ITPR1,ITPR2,ITPR3,LEF1,LIPE,MAP3K1,MTMR3,MYH10,NFAT5,PDE5A,PDE7B,PDE8A,PHKB,PLCB1,PLCB4,PLCG1,PPP1R12A,PPP3CA,PPP3CC,PRKCE,PRKCH,PRKCI,PRKD3,PTEN,PTK2,PTPN14,PTPN4,PTPRB,PTPRG,PTPRJ,PTPRK,PTPRM,ROCK1,TCF4,TCF7L1,TCF7L2,TGFB2,TGFBR2	
Chronic Myeloid Leukemia Signaling	9.68E00	1.37E-01	5.191	ABCB1,AKT3,BCL2L1,CDK6,FOXO3,FZD6,GAB2,HDAC4,HDAC7,HDAC8,LEF1,MECOM,MSI2,NFAT5,NOTCH4,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCB1,PLCB4,PLCG1,PPP3CA,PPP3CC,PTEN,RB1,RBL2,RPTOR,SIN3A,SIRT1,SOS2,STAT3,TCF4,TCF7L1,TCF7L2,TGFB2,TGFBR2,XIAP	
Oxytocin Signaling Pathway	9.5E00	1.35E-01	4.768	AKT3,ATP2B4,CACNA1A,CREB3L2,CREBBP,GNAQ,GNG12,ITPR1,ITPR2,ITPR3,LIPE,MAP2K4,MAP2K5,MEF2C,MPRIP,MYH10,MYH9,MYO10,MYO18A,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLA2G4A,PLCB1,PLCB4,PPP1R12A,Ppp1r12b,PPP3CA,PPP3CC,PRKCE,PRKCH,PRKCI,PRKD3,PRKG1,ROCK1,SMARCC2,SOS2	
Senescence Pathway	9.31E00	1.3E-01	4.218	ACVR1,AKT3,ANAPC1,ASXL2,BMPR2,BRAF,CACNA1A,CDK6,CREBBP,ELF2,EP400,ETS1,FOXO3,HIPK2,ITPR2,ITPR3,ITSN2,KAT2B,MAP2K4,MAP2K5,NF1,NFAT5,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PPM1L,PPP2R5E,PPP3CA,PPP3CC,PTEN,RB1,RBL2,RPS6KA5,SIRT1,SMAD5,TGFB2,TGFBR2,TGFBR3	
Epithelial Adherens Junction Signaling	9.21E00	1.71E-01	-0.962	ACVR1,AFDN,AKT3,ARHGAP35,BMPR2,CTNNA1,FER,IGF1R,LEF1,MAGI1,MYH10,NF2,NOTCH4,PPM1L,PPP2R5E,PTEN,RAPGEF1,ROCK1,STK3,TCF4,TCF7L1,TCF7L2,TGFB2,TGFBR2,TGFBR3,TNS1,YAP1	
Cardiac Hypertrophy Signaling (Enhanced)	9.08E00	1.03E-01	6.532	ACVR1,ADCY9,AKAP13,AKT3,ATF6,BMPR2,CACNA1A,Diaph2,DLG1,FZD6,GHR,GNAQ,GNG12,HDAC4,HDAC7,HDAC8,IGF1R,IL17RD,INPP5F,ITGA1,ITPR1,ITPR2,ITPR3,MAP2K4,MAP2K5,MAP3K1,MAP3K2,MAP3K20,MAP3K3,MEF2C,NFAT5,PDE5A,PDE7B,PDE8A,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCB1,PLCB4,PLCG1,PPP3CA,PPP3CC,PRKCE,PRKCH,PRKCI,PRKD3,PRKG1,PTEN,PTK2,ROCK1,RPS6KA5,STAT3,TGFB2,TGFBR2,TGFBR3	
Factors Promoting Cardiogenesis in Vertebrates	8.84E00	1.7E-01	4.379	ACVR1,APC,BMPR2,CREB3L2,CREBBP,FZD6,LEF1,LRP5,LRP6,MAP2K4,MEF2C,PLCB1,PLCB4,PLCG1,PRKCE,PRKCH,PRKCI,PRKD3,ROCK1,SMAD5,TCF4,TCF7L1,TCF7L2,TGFB2,TGFBR2,TGFBR3	
Role of NFAT in Cardiac Hypertrophy	8.74E00	1.43E-01	4.811	ADCY9,AKT3,CACNA1A,GNAQ,GNG12,HDAC4,HDAC7,HDAC8,IGF1R,ITPR1,ITPR2,ITPR3,MAP2K4,MAP3K1,MEF2C,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCB1,PLCB4,PLCG1,PPP3CA,PPP3CC,PRKCE,PRKCH,PRKCI,PRKD3,RCAN2,SOS2,TGFB2,TGFBR2	
WNK Renal Signaling Pathway	8.5E00	1.98E-01	3.000	AKT3,ANAPC1,CBL,INSR,KLHL3,LRRC8C,NR3C2,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PRKCE,PRKCH,PRKCI,PRKD3,PRKN,RPS6KA5,SLC12A6,UBR1,WNK1,XIAP	
