© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Eukaryotic Translation Initiation	2.6E01	3.77E-01	-6.782	EIF2B4,EIF2S2,EIF3E,EIF3F,EIF3H,EIF3I,EIF3K,EIF3L,EIF3M,EIF4A1,EIF4E,EIF4H,FAU,RPL11,RPL13,RPL18,RPL19,RPL21,RPL22,RPL27A,RPL28,RPL3,RPL30,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL6,RPL7,RPL9,RPLP0,RPS10,RPS13,RPS15A,RPS20,RPS21,RPS24,RPS26,RPS28,RPS29,RPS4Y1,RPS5,RPS7,RPS9	
SRP-dependent cotranslational protein targeting to membrane	2.31E01	3.65E-01	-6.481	DDOST,FAU,RPL11,RPL13,RPL18,RPL19,RPL21,RPL22,RPL27A,RPL28,RPL3,RPL30,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL6,RPL7,RPL9,RPLP0,RPS10,RPS13,RPS15A,RPS20,RPS21,RPS24,RPS26,RPS28,RPS29,RPS4Y1,RPS5,RPS7,RPS9,SEC11A,SEC61G,SPCS1,SPCS2,SRP14,SRP9,SSR2	
Mitochondrial translation	2.25E01	3.96E-01	-6.164	AURKAIP1,CHCHD1,GADD45GIP1,MRPL15,MRPL18,MRPL2,MRPL20,MRPL22,MRPL24,MRPL27,MRPL3,MRPL30,MRPL32,MRPL35,MRPL39,MRPL4,MRPL40,MRPL41,MRPL43,MRPL48,MRPL50,MRPL53,MRPL55,MRPL58,MRPL9,MRPS14,MRPS15,MRPS16,MRPS17,MRPS18A,MRPS18C,MRPS21,MRPS23,MRPS26,MRPS31,MRPS34,MRPS7,MTRF1L	
EIF2 Signaling	2.23E01	2.52E-01	-5.014	ACTB,ATF3,CDK11A,EIF2B4,EIF2S2,EIF3E,EIF3F,EIF3H,EIF3I,EIF3K,EIF3L,EIF3M,EIF4A1,EIF4A3,EIF4E,FAU,HRAS,MAPK3,PPP1R15A,RAP1A,RASD1,RPL11,RPL13,RPL18,RPL19,RPL21,RPL22,Rpl22l1,RPL27A,RPL28,RPL3,RPL30,Rpl34 (includes others),RPL35A,Rpl36,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL6,RPL7,RPL9,RPLP0,RPS10,RPS13,RPS15A,RPS20,RPS21,RPS24,RPS26,RPS28,RPS29,RPS4Y1,RPS5,RPS7,RPS9,RRAS	
Eukaryotic Translation Termination	1.97E01	3.72E-01	-5.916	FAU,RPL11,RPL13,RPL18,RPL19,RPL21,RPL22,RPL27A,RPL28,RPL3,RPL30,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL6,RPL7,RPL9,RPLP0,RPS10,RPS13,RPS15A,RPS20,RPS21,RPS24,RPS26,RPS28,RPS29,RPS4Y1,RPS5,RPS7,RPS9,TRMT112	
Eukaryotic Translation Elongation	1.95E01	3.68E-01	-5.916	EEF1D,FAU,RPL11,RPL13,RPL18,RPL19,RPL21,RPL22,RPL27A,RPL28,RPL3,RPL30,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL6,RPL7,RPL9,RPLP0,RPS10,RPS13,RPS15A,RPS20,RPS21,RPS24,RPS26,RPS28,RPS29,RPS4Y1,RPS5,RPS7,RPS9	
Response of EIF2AK4 (GCN2) to amino acid deficiency	1.92E01	3.5E-01	-6.000	ATF3,EIF2S2,FAU,RPL11,RPL13,RPL18,RPL19,RPL21,RPL22,RPL27A,RPL28,RPL3,RPL30,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL6,RPL7,RPL9,RPLP0,RPS10,RPS13,RPS15A,RPS20,RPS21,RPS24,RPS26,RPS28,RPS29,RPS4Y1,RPS5,RPS7,RPS9	
Nonsense-Mediated Decay (NMD)	1.8E01	3.16E-01	-6.083	EIF4A3,FAU,NCBP2,RBM8A,RPL11,RPL13,RPL18,RPL19,RPL21,RPL22,RPL27A,RPL28,RPL3,RPL30,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL6,RPL7,RPL9,RPLP0,RPS10,RPS13,RPS15A,RPS20,RPS21,RPS24,RPS26,RPS28,RPS29,RPS4Y1,RPS5,RPS7,RPS9	
Selenoamino acid metabolism	1.67E01	3.18E-01	-5.831	FAU,RPL11,RPL13,RPL18,RPL19,RPL21,RPL22,RPL27A,RPL28,RPL3,RPL30,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL6,RPL7,RPL9,RPLP0,RPS10,RPS13,RPS15A,RPS20,RPS21,RPS24,RPS26,RPS28,RPS29,RPS4Y1,RPS5,RPS7,RPS9	
Processing of Capped Intron-Containing Pre-mRNA	1.54E01	1.92E-01	-7.416	BCAS2,C9orf78,CCDC12,DDX39B,DDX5,EIF4A3,EIF4E,FAM32A,GLE1,HNRNPF,HNRNPK,HSPA8,LENG1,LSM3,LSM5,LSM8,MFAP1,NCBP2,NXT1,PCBP1,PDCD7,PHF5A,POLR2C,POLR2D,POLR2E,POLR2I,POLR2K,PPWD1,PRPF38A,PUF60,RBM22,RBM42,RBM7,RBM8A,SAP18,SEC13,SF3B4,SF3B6,SMU1,SNRNP27,SNRNP40,SNRNP48,SNRPB,SNRPB2,SRSF11,SRSF2,SRSF3,SRSF7,SRSF9,SYF2,THOC1,THOC7,TRA2B,UBL5,ZMAT5	
