© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
RHO GTPase cycle	2.27E01	1.4E-01	7.937	ABL2,ARHGAP18,ARHGAP23,ARHGAP26,ARHGAP31,ARHGAP32,ARHGEF12,ARHGEF3,ARHGEF7,BCR,CCDC88A,CDC42BPA,CDC42BPB,CHN2,CLTC,CPNE8,DOCK1,DOCK4,DOCK9,ERBIN,FAM135A,FARP1,FGD5,FMNL2,GFOD1,GNA13,HNRNPC,IQGAP1,ITGB1,ITSN2,KALRN,MSI2,MYO9A,NCKAP1,OPHN1,PEAK1,PHIP,PICALM,PIK3R3,PKN3,PKP4,PLEKHG1,PREX2,RALGAPA1,RAPGEF1,RASAL2,RHOJ,ROCK2,SH3PXD2A,SH3RF1,SLC4A7,SLK,SPATA13,SPEN,SPTAN1,SPTBN1,SRGAP1,SRGAP2,STARD13,TRIO,UACA,USP9X,WASF2	
Epithelial Adherens Junction Signaling	8.26E00	1.39E-01	-0.426	AKT3,BMPR2,CTNNA1,CTNND1,FER,FYN,IGF1R,IQGAP1,LEF1,MAGI1,MYH10,NF2,NOTCH4,PPP2R5E,RAPGEF1,ROCK2,STK3,TCF4,TCF7L1,TGFBR2,TNS1,YAP1	
Protein Kinase A Signaling	7.91E00	9E-02	1.768	ADCY9,ANAPC1,BRAF,CREBBP,FLNB,GNA13,GNAQ,ITPR1,ITPR2,LEF1,LIPE,MAP3K1,MTMR3,MYH10,NFAT5,NFKB1,PDE7B,PHKB,PLCB1,PLCB4,PPP1R12A,PPP3CA,PRKCE,PRKCH,PTK2,PTPN12,PTPN14,PTPN4,PTPRG,PTPRJ,PTPRK,PTPRM,ROCK2,SMAD3,TCF4,TCF7L1,TGFBR2	
PTEN Signaling	7.9E00	1.39E-01	-3.771	AKT3,BCL2,BMPR2,CBL,CCND1,CNKSR3,FLT1,FLT4,GHR,IGF1R,INPP5D,INSR,ITGA6,ITGB1,MAGI1,MAST2,NFKB1,PIK3R3,PREX2,PTK2,TGFBR2	
Role of Tissue Factor in Cancer	7.36E00	1.16E-01	4.082	AKT3,BCL2,BMPR2,BRAF,EGR1,FLT1,FLT4,FYN,GNA13,GNAQ,ITGA6,ITGB1,MAP2K5,NFKB1,PIK3R3,PLCB1,Ppp2r5c,PPP2R5E,PTK2,RB1,RPS6KA3,RPS6KA5,TGFBR2,ZEB1	
Signaling by VEGF	7.32E00	1.57E-01	3.873	AKT3,CTNNA1,CTNND1,DOCK1,ELMO1,FLT1,FLT4,FYN,ITPR1,ITPR2,NCKAP1,NRP1,NRP2,PTK2,RICTOR,ROCK2,WASF2	
Actin Cytoskeleton Signaling	7.17E00	1.07E-01	2.558	APC,ARHGEF12,ARHGEF7,DOCK1,FN1,GNA13,IQGAP1,ITGA6,ITGB1,MPRIP,MSN,MYH10,MYH9,MYO10,MYO18A,NCKAP1,PIK3R3,PPP1R12A,Ppp1r12b,PTK2,ROCK2,SSH2,TLN1,TLN2,TRIO,WASF2	
Chronic Myeloid Leukemia Signaling	6.59E00	9.71E-02	4.426	ABCB1,AKT3,BCL2,CCND1,CDK6,GAB2,HDAC4,HDAC9,ITGB1,LEF1,MECOM,MSI2,NFAT5,NFKB1,NOTCH4,PIK3R3,PLCB1,PLCB4,PPP3CA,RB1,RPTOR,SMAD3,STAT3,TCF4,TCF7L1,TGFBR2,XIAP	
Pancreatic Secretion Signaling Pathway	6.49E00	1.01E-01	4.200	ADCY9,AKT3,ARHGEF12,ARHGEF3,ARHGEF7,GNA13,GNAQ,ITPR1,ITPR2,LIPE,MCU,PIK3R3,PLCB1,PLCB4,PPP1R12A,PRKCE,PRKCH,RASGRP3,ROCK2,RPTOR,SLC12A2,SLC4A7,STXBP5,VTI1A,WNK1	
Senescence Pathway	6.48E00	9.36E-02	3.922	AKT3,ANAPC1,BHLHE40,BMPR2,BRAF,CCND1,CDK6,CREBBP,EP400,ETS1,ETS2,HIPK2,ITPR2,ITSN2,MAP2K5,MCU,NF1,NFAT5,NFKB1,PIK3R3,PPP2R5E,PPP3CA,RB1,RPS6KA5,SMAD1,SMAD3,SMAD5,TGFBR2	
ID1 Signaling Pathway	6.36E00	1.09E-01	2.985	AKT3,ATF6,BCL2,BHLHE40,BMPR2,BRAF,CCND1,CREBBP,EGR1,ETS1,FN1,FYN,IGF1R,NFKB1,PIK3R3,SMAD1,SMAD3,SMAD5,STAT3,TGFBR2,TGM2,ZNF148	
Pulmonary Fibrosis Idiopathic Signaling Pathway	6.23E00	8.9E-02	5.014	ADAMTS1,AKT3,BCL2,BMPR2,BRAF,CCND1,COL4A1,COL4A2,CREBBP,EGR1,FN1,GNA13,ITGB1,JARID2,LEF1,NFKB1,NOTCH4,PIK3R3,PTK2,ROCK2,RPS6KA3,RPS6KA5,SMAD3,STAT3,TCF4,TCF7L1,TGFBR2,WWTR1,YAP1	
Semaphorin interactions	6.19E00	1.88E-01	3.464	ARHGEF12,FYN,ITGB1,MYH10,MYH9,NRP1,PLXNA2,ROCK2,SEMA6A,SEMA6D,SEMA7A,TLN1	
MSP-RON Signaling in Cancer Cells Pathway	5.68E00	1.21E-01	3.638	AKT3,BRAF,CCND1,CREBBP,ETS1,ETS2,ITGA6,ITGB1,LEF1,NFKB1,PIK3R3,PTK2,RPS6KA3,SP1,STAT3,TCF4,TCF7L1	
Serotonin Receptor Signaling	5.58E00	7.46E-02	4.902	ADCY9,AKT3,ARFGEF1,BCL2,BRAF,CREBBP,FYN,GNA13,GNAQ,ITGB1,KALRN,LIPE,MAOA,MAP2K5,MPDZ,MPRIP,NFKB1,PIK3R3,PLA2G4A,PLCB1,PLCB4,PPP1R12A,Ppp1r12b,PRKCE,PRKCH,RB1,RHOJ,ROCK2,RPS6KA3,SHANK3,STAT3,STIM2,TGM2,VWF,YAP1	
Thrombin Signaling	5.54E00	9.78E-02	3.638	ADCY9,AKT3,ARHGEF12,ARHGEF3,ARHGEF7,CAMK1D,GNA13,GNAQ,ITPR1,ITPR2,MPRIP,NFKB1,PIK3R3,PLCB1,PLCB4,PPP1R12A,Ppp1r12b,PRKCE,PRKCH,PTK2,RHOJ,ROCK2	
Oxytocin Signaling Pathway	5.43E00	8.87E-02	3.800	AKT3,CREBBP,GNA13,GNAQ,ITPR1,ITPR2,LIPE,MAP2K5,MEF2C,MPRIP,MYH10,MYH9,MYO10,MYO18A,NFKB1,PIK3R3,PLA2G4A,PLCB1,PLCB4,PPP1R12A,Ppp1r12b,PPP3CA,PRKCE,PRKCH,ROCK2	
Integrin Signaling	5.4E00	9.91E-02	3.500	AKT3,ARHGAP26,ARHGEF7,ASAP1,BRAF,DOCK1,FYN,ITGA6,ITGB1,MPRIP,NEDD9,PIK3R3,PIKFYVE,PPP1R12A,Ppp1r12b,PTK2,RAPGEF1,RHOJ,TLN1,TLN2,TSPAN5	
Semaphorin Neuronal Repulsive Signaling Pathway	5.26E00	1.13E-01	0.243	AKT3,ARHGEF12,FARP1,FYN,ITGA6,ITGB1,MAP2K5,MPRIP,NRP1,NRP2,PIK3R3,PLXNA2,PPP1R12A,Ppp1r12b,ROCK2,SEMA6A,SEMA6D	
WNK Renal Signaling Pathway	5.21E00	1.32E-01	3.000	AKT3,ANAPC1,BIRC3,CBL,INSR,LRRC8C,NR3C2,PIK3R3,PRKCE,PRKCH,RPS6KA5,UBR1,WNK1,XIAP	
ILK Signaling	5.2E00	9.95E-02	3.500	AKT3,CCND1,CREBBP,DOCK1,FLNB,FN1,ITGB1,LEF1,MYH10,MYH9,MYO10,MYO18A,NFKB1,PIK3R3,PPP1R12A,PPP2R5E,PTK2,RHOJ,RICTOR,RPS6KA5	
Cardiac Hypertrophy Signaling (Enhanced)	4.98E00	6.83E-02	5.333	ADCY9,AKT3,ATF6,BMPR2,Diaph2,DLG1,GHR,GNA13,GNAQ,HDAC4,HDAC9,IGF1R,IL1R1,IL2RG,ITGA6,ITGB1,ITPR1,ITPR2,MAP2K5,MAP3K1,MAP3K20,MAP3K3,MEF2C,NFAT5,NFKB1,PDE7B,PIK3R3,PLCB1,PLCB4,PPP3CA,PRKCE,PRKCH,PTK2,ROCK2,RPS6KA5,STAT3,TGFBR2	
Tight Junction Signaling	4.78E00	1E-01	NaN	AKT3,CASK,CNKSR3,CSTF3,CTNNA1,EPB41,MARK2,MPDZ,MYH10,MYH9,MYO10,MYO18A,NFKB1,PARD3,PPP2R5E,SPTAN1,TGFBR2,VTI1A	
Myelination Signaling Pathway	4.77E00	7.95E-02	2.353	AKT3,APC,BMPR2,BRAF,CREBBP,FYN,HDAC4,HDAC9,IGF1R,ITGA6,ITGB1,LAMA4,LAMB2,LAMC1,NFKB1,PIK3R3,PPP3CA,PTK2,RAPGEF2,ROCK2,RPTOR,SMAD1,SMAD3,SMAD5,SMARCA4,TCF4	
HIPPO signaling	4.74E00	1.38E-01	-0.447	DLG1,FAT4,NF2,PARD3,PPP1R12A,PPP2R5E,SMAD1,SMAD3,SMAD5,STK3,WWTR1,YAP1	
HGF Signaling	4.73E00	1.14E-01	3.464	AKT3,CCND1,DOCK1,ETS1,ETS2,ITGA6,ITGB1,MAP3K1,MAP3K3,PIK3R3,PRKCE,PRKCH,PTK2,RAPGEF1,STAT3	
Beta-catenin independent WNT signaling	4.71E00	1.27E-01	1.508	AGO2,AGO3,CLTC,GNGT2,ITPR1,ITPR2,LEF1,NLK,PLCB1,PPP3CA,SMURF2,TCF7L1,TNRC6B	
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced)	4.68E00	8.9E-02	1.091	AKT3,CTNNA1,CTNND1,FOSL2,IL1R1,IQGAP1,ITGA6,ITGB1,LAMA4,LAMB2,LAMC1,MAP3K1,MAP3K3,NFKB1,PIK3R3,PPP2R5E,PTK2,SMAD3,SORBS1,SP1,TGFBR2	
Osteoarthritis Pathway	4.68E00	8.9E-02	2.828	BMPR2,CREBBP,CTNNA1,EPAS1,FN1,HDAC4,IL1R1,ITGA6,ITGB1,LEF1,MEF2C,MYBBP1A,NFKB1,SIK3,SMAD1,SMAD3,SMAD5,SP1,TCF4,TCF7L1,TGFBR2	
Molecular Mechanisms of Cancer	4.63E00	5.84E-02	6.143	ADCY9,ADGRF5,AKT3,APC,ARHGEF12,ARHGEF3,ARHGEF7,BCL2,BIRC3,BMPR2,BRAF,CALCRL,CBL,CCND1,CDK6,CFLAR,CREBBP,CTNNA1,CTNND1,FYN,GAB2,GHR,GNA13,GNAQ,HDAC4,HDAC9,HIPK2,IL1R1,IL2RG,ITGA6,ITGB1,LEF1,NF1,NFKB1,PIK3R3,PLCB1,PLCB4,PRKCE,PRKCH,PTK2,RAPGEF1,RB1,RHOJ,SMAD1,SMAD3,SMAD5,TCF4,TCF7L1,TGFBR2,XIAP	
Sperm Motility	4.62E00	8.56E-02	2.828	ABL2,DYRK1A,FER,FLT1,FLT4,FYN,GNA13,GNAQ,IGF1R,INSR,ITPR1,ITPR2,MAP2K5,MERTK,PEAK1,PLA2G4A,PLCB1,PLCB4,PRKCE,PRKCH,PTK2,SLC12A2	
CXCR4 Signaling	4.61E00	1.01E-01	3.357	ADCY9,AKT3,DOCK1,EGR1,ELMO1,GNA13,GNAQ,ITPR1,ITPR2,PIK3R3,PLCB1,PLCB4,PRKCE,PRKCH,PTK2,RHOJ,ROCK2	
Transcriptional Regulation by MECP2	4.59E00	1.59E-01	0.000	AGO2,AGO3,HIPK2,HTT,MEF2C,NCOR2,PTPN4,TBL1X,TBL1XR1,TNRC6B	
Factors Promoting Cardiogenesis in Vertebrates	4.55E00	1.05E-01	3.500	APC,BMPR2,CCND1,CREBBP,LEF1,MEF2C,PLCB1,PLCB4,PRKCE,PRKCH,ROCK2,SMAD1,SMAD5,TCF4,TCF7L1,TGFBR2	
Extracellular matrix organization	4.53E00	1.23E-01	3.606	ADAM15,COL4A1,COL4A2,FN1,HSPG2,ITGA6,ITGB1,LAMA4,LAMB2,LAMC1,NID1,SH3PXD2A,SPARC	
Opioid Signaling Pathway	4.51E00	8.21E-02	2.828	ADCY9,AKT3,BRAF,CAMK1D,CLTC,CREBBP,FYN,GNA13,GNAQ,GRK5,ITPR1,ITPR2,LEF1,MAP2K5,NFKB1,PLCB1,PPP3CA,PRKCE,PRKCH,RPS6KA3,RPS6KA5,TCF4,TCF7L1	
Ribonucleotide Reductase Signaling Pathway	4.51E00	9.94E-02	3.153	AKT3,BCL2,BRAF,CCND1,CDK6,CREBBP,NFKB1,PBRM1,PIK3R3,RB1,RPTOR,SETD2,SMARCA4,SMARCC1,SP1,STAT3,TNKS	
Sertoli Cell-Sertoli Cell Junction Signaling	4.5E00	8.64E-02	3.273	AKT3,CREBBP,CTNNA1,DLG1,EPB41,IL1R1,ITGA6,ITGB1,LAMA4,LAMB2,LAMC1,MAP3K1,MAP3K20,MAP3K3,NFKB1,PIK3R3,PTK2,SORBS1,SPTAN1,SPTBN1,TGFBR2	
Interleukin-7 signaling	4.46E00	2.86E-01	2.449	BRWD1,CRLF2,IL2RG,PIK3R3,SMARCA4,STAT3	
RHOA Signaling	4.42E00	1.13E-01	1.732	ABL2,ARHGEF12,GNA13,IGF1R,MPRIP,MSN,NRP2,PI4KA,PIKFYVE,PPP1R12A,Ppp1r12b,PTK2,RAPGEF2,ROCK2	
Gap Junction Signaling	4.38E00	7.69E-02	1.000	ADCY9,AKT3,CCND1,CREBBP,DLG1,GNAQ,ITPR1,ITPR2,LEF1,MAP2K5,NFKB1,PIK3R3,PLA2G4A,PLCB1,PLCB4,PPP3CA,PRKCE,PRKCH,PTPRM,SMAD1,SMAD3,SMAD5,SP1,TCF4,TCF7L1	
ERK/MAPK Signaling	4.26E00	8.84E-02	3.638	BRAF,CREBBP,DOCK1,ETS1,ETS2,FYN,ITGA6,ITGB1,PIK3R3,PLA2G4A,PPP1R12A,PPP2R5E,PRKCE,PTK2,RAPGEF1,RPS6KA5,STAT3,TLN1,TLN2	
Transcriptional regulation of white adipocyte differentiation	4.19E00	1.31E-01	2.714	CDK19,CREBBP,EBF1,MED13,MED13L,MED14,NCOA2,NCOR2,NFKB1,TBL1X,TBL1XR1	
PEDF Signaling	4.19E00	1.31E-01	1.508	AKT3,BCL2,CFLAR,NFKB1,PIK3R3,ROCK2,TCF12,TCF4,TCF7L1,WASF2,ZEB1	
RHOGDI Signaling	4.12E00	8.64E-02	-2.309	ARHGEF12,ARHGEF3,ARHGEF7,CREBBP,GNA13,GNAQ,ITGA6,ITGB1,MSN,MYH10,MYH9,MYO10,MYO18A,PI4KA,PIKFYVE,PPP1R12A,RHOJ,ROCK2,WASF2	
Oncogene Induced Senescence	4.11E00	2.06E-01	0.378	AGO3,CDK6,ETS1,ETS2,RB1,SP1,TNRC6B	
Hepatic Fibrosis Signaling Pathway	4.07E00	6.86E-02	4.811	AKT3,APC,BCL2,BMPR2,BRAF,CCDC88A,CCND1,CREBBP,FLT1,FLT4,IL1R1,ITGA6,ITGB1,LEF1,MAP2K5,NFKB1,PIK3R3,PRKCE,PRKCH,PTK2,RHOJ,ROCK2,SMAD3,SP1,STAT3,TCF4,TCF7L1,TGFBR2,YAP1	
