© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Eukaryotic Translation Initiation	6.58E01	6.8E-01	-9.110	EIF2B2,EIF2B4,EIF2S1,EIF2S2,EIF3D,EIF3E,EIF3F,EIF3G,EIF3H,EIF3I,EIF3J,EIF3K,EIF3L,EIF3M,EIF4A1,EIF4EBP1,EIF4H,FAU,PABPC1,RPL10,RPL10A,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL24,RPL26,RPL27,RPL27A,RPL28,RPL3,RPL30,RPL35,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL4,RPL41,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15A,RPS16,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS7,RPS8,RPS9,RPSA	
SRP-dependent cotranslational protein targeting to membrane	6.17E01	6.78E-01	-8.832	DDOST,FAU,RPL10,RPL10A,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL24,RPL26,RPL27,RPL27A,RPL28,RPL3,RPL30,RPL35,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL4,RPL41,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPN1,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15A,RPS16,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS7,RPS8,RPS9,RPSA,SEC11A,SEC11C,SEC61B,SEC61G,SPCS1,SPCS2,SRP14,SRP19,SRP9,SSR2,SSR4	
Eukaryotic Translation Elongation	5.79E01	7.26E-01	-8.307	EEF1A1,EEF1B2,EEF1D,EEF2,FAU,RPL10,RPL10A,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL24,RPL26,RPL27,RPL27A,RPL28,RPL3,RPL30,RPL35,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL4,RPL41,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15A,RPS16,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS7,RPS8,RPS9,RPSA	
Eukaryotic Translation Termination	5.38E01	7.02E-01	-8.124	FAU,RPL10,RPL10A,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL24,RPL26,RPL27,RPL27A,RPL28,RPL3,RPL30,RPL35,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL4,RPL41,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15A,RPS16,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS7,RPS8,RPS9,RPSA,TRMT112	
Nonsense-Mediated Decay (NMD)	5.38E01	6.24E-01	-8.544	EIF4A3,FAU,MAGOH,NCBP2,PABPC1,PNRC2,RBM8A,RNPS1,RPL10,RPL10A,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL24,RPL26,RPL27,RPL27A,RPL28,RPL3,RPL30,RPL35,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL4,RPL41,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15A,RPS16,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS7,RPS8,RPS9,RPSA,UPF3A	
EIF2 Signaling	5.35E01	4.35E-01	-6.656	ACTB,AKT1,ATF4,EIF1AY,EIF2B2,EIF2B4,EIF2S1,EIF2S2,EIF3D,EIF3E,EIF3F,EIF3G,EIF3H,EIF3I,EIF3J,EIF3K,EIF3L,EIF3M,EIF4A1,EIF4A3,FAU,HRAS,HSPA5,KRAS,MAP2K2,MAPK3,PABPC1,PPP1CA,PPP1R15A,RASD1,RPL10,RPL10A,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,Rpl22l1,RPL23,RPL24,RPL26,RPL27,RPL27A,RPL28,RPL3,RPL30,Rpl34 (includes others),RPL35,RPL35A,Rpl36,Rpl36a,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL4,RPL41,RPL5,RPL6,RPL7,RPL7A,RPL7L1,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15A,RPS16,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS7,RPS8,RPS9,RPSA,RRAS	
Response of EIF2AK4 (GCN2) to amino acid deficiency	5.26E01	6.6E-01	-8.246	ATF4,EIF2S1,EIF2S2,FAU,RPL10,RPL10A,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL24,RPL26,RPL27,RPL27A,RPL28,RPL3,RPL30,RPL35,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL4,RPL41,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15A,RPS16,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS7,RPS8,RPS9,RPSA	
Selenoamino acid metabolism	4.69E01	6.07E-01	-8.062	FAU,RPL10,RPL10A,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL24,RPL26,RPL27,RPL27A,RPL28,RPL3,RPL30,RPL35,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL4,RPL41,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15A,RPS16,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS7,RPS8,RPS9,RPSA	
Major pathway of rRNA processing in the nucleolus and cytosol	4.34E01	4.35E-01	-9.000	C1D,CSNK1E,EBNA1BP2,EMG1,EXOSC3,EXOSC4,EXOSC7,EXOSC8,FAU,FCF1,IMP3,NIP7,RPL10,RPL10A,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL24,RPL26,RPL27,RPL27A,RPL28,RPL3,RPL30,RPL35,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL4,RPL41,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15A,RPS16,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS7,RPS8,RPS9,RPSA,RRP36,RRP7A,SNU13,UTP11,UTP3	
Mitochondrial translation	3.65E01	5.62E-01	-7.348	AURKAIP1,CHCHD1,GADD45GIP1,MRPL11,MRPL12,MRPL14,MRPL15,MRPL17,MRPL18,MRPL2,MRPL20,MRPL21,MRPL22,MRPL24,MRPL27,MRPL28,MRPL30,MRPL32,MRPL33,MRPL34,MRPL35,MRPL36,MRPL38,MRPL39,MRPL4,MRPL41,MRPL43,MRPL46,MRPL49,MRPL50,MRPL51,MRPL52,MRPL53,MRPL54,MRPL55,MRPL9,MRPS12,MRPS14,MRPS15,MRPS16,MRPS17,MRPS18A,MRPS18C,MRPS21,MRPS23,MRPS24,MRPS26,MRPS30,MRPS33,MRPS34,MRPS36,MRPS6,MRPS7,TSFM	
