© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Chronic Myeloid Leukemia Signaling	6.96E00	5.76E-02	2.500	BCL2,BCL2L1,Calm1 (includes others),CCND3,CDKN1A,CDKN1B,FAS,FZD4,HES1,MSI2,NOTCH1,NOTCH4,PLCB1,PLCG1,SOS1,TCF4	
RHO GTPase cycle	6.07E00	4.22E-02	4.359	AKAP12,ARHGAP31,BAIAP2,CDC42EP3,CDC42EP4,DOCK9,FERMT2,GJA1,MCF2L,MSI2,NET1,PLEKHG1,RALBP1,RASAL2,RHOB,SOS1,STARD8,TIAM1,WASF2	
Molecular Mechanisms of Cancer	5.37E00	3.04E-02	3.922	ACKR3,ADGRF5,ADGRG1,ADGRL3,ADGRL4,BCL2,BCL2L1,CCND3,CDKN1A,CDKN2B,FAS,FZD4,GNAS,GNG11,GNG5,HES1,ITGA6,NFKBIA,NOTCH1,PLCB1,PRKCB,RALBP1,RHOB,S1PR1,SOS1,TCF4	
G-Protein Coupled Receptor Signaling	5.33E00	3.27E-02	3.128	ACKR3,ADGRF5,ADGRG1,ADGRL3,ADGRL4,Calm1 (includes others),DUSP1,DUSP6,FZD4,GNAS,GNG11,GNG5,MAP3K6,MEGF6,NFKBIA,PDE2A,PLCB1,PLCG1,PRKCB,RAPGEF4,RGS12,S1PR1,SOS1	
G alpha (12/13) signalling events	4.5E00	8.75E-02	2.646	GNG11,GNG5,MCF2L,NET1,RHOB,SOS1,TIAM1	
Sperm Motility	4.45E00	4.67E-02	2.449	Calm1 (includes others),FLT1,GNAS,GNG11,GNG5,IGF1R,INSR,PDE2A,PLCB1,PLCG1,PNPLA2,PRKCB	
PEDF Signaling	4.36E00	8.33E-02	0.816	BCL2,BCL2L1,FAS,NFKBIA,PNPLA2,TCF4,WASF2	
PTEN Signaling	4.28E00	5.96E-02	-1.414	BCL2,BCL2L1,CDKN1A,CDKN1B,FLT1,IGF1R,INSR,ITGA6,SOS1	
Opioid Signaling Pathway	4.1E00	4.29E-02	1.265	Calm1 (includes others),CDKN1B,GNAS,GNG11,GNG5,NFKBIA,PLCB1,PRKCB,RGS12,RGS5,SOS1,TCF4	
Glioma Signaling	4.08E00	6.4E-02	2.236	Calm1 (includes others),CCND3,CDKN1A,CDKN2B,IGF1R,PLCG1,PRKCB,SOS1	
Gαq Signaling	3.88E00	5.29E-02	2.828	Calm1 (includes others),GNAS,GNG11,GNG5,NFKBIA,PLCB1,PLCG1,PRKCB,RHOB	
IL-8 Signaling	3.87E00	4.76E-02	3.000	BCL2,BCL2L1,CCND3,FLT1,GNAS,GNG11,GNG5,NFKBIA,PRKCB,RHOB	
Glioblastoma Multiforme Signaling	3.86E00	5.26E-02	1.414	CCND3,CDKN1A,CDKN1B,FZD4,IGF1R,PLCB1,PLCG1,RHOB,SOS1	
Integration of energy metabolism	3.8E00	6.8E-02	2.236	ADIPOR2,GNAS,GNG11,GNG5,PLCB1,RAPGEF4,SLC2A1	
Extra-nuclear estrogen signaling	3.78E00	8.22E-02	2.449	BCL2,CDKN1B,GNG11,GNG5,HSPB1,IGF1R	
CREB Signaling in Neurons	3.75E00	2.97E-02	3.873	ACKR3,ADGRF5,ADGRG1,ADGRL3,ADGRL4,Calm1 (includes others),FLT1,FZD4,GNAS,GNG11,GNG5,IGF1R,INSR,PLCB1,PLCG1,PRKCB,S1PR1,SOS1	
Cardiac Hypertrophy Signaling	3.74E00	4.21E-02	3.317	Calm1 (includes others),GNAS,GNG11,GNG5,HSPB1,IGF1R,MAP3K6,PLCB1,PLCG1,RHOB,SOS1	
TP53 Regulates Transcription of Cell Cycle Genes	3.67E00	1.02E-01	2.236	BTG2,CDKN1A,CDKN1B,PLK2,RGCC	
Signaling by VEGF	3.67E00	6.48E-02	2.646	BAIAP2,ELMO1,FLT1,HSPB1,PLCG1,PRKCB,WASF2	
Axonal Guidance Signaling	3.66E00	3.14E-02	NaN	ABLIM1,BAIAP2,CXCL12,DPYSL2,FZD4,GNAS,GNG11,GNG5,ITGA6,PLCB1,PLCG1,PLXNA2,PRKCB,SEMA7A,SOS1,TUBB2A	
