© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Transport of bile salts and organic acids, metal ions and amine compounds	4.39E00	7.23E-02	-2.449	BSG,SLC16A1,SLC22A8,SLC31A1,SLC40A1,SLC6A6	
14-3-3-mediated Signaling	4.28E00	5.51E-02	-2.000	JUN,MAPK3,RAP1A,TUBA1A,TUBB,TUBB4B,VIM	
MSP-RON Signaling in Cancer Cells Pathway	4.01E00	5E-02	-2.646	ETS1,ETS2,JUN,MAPK3,RAP1A,TRIM24,VIM	
Sertoli Cell-Sertoli Cell Junction Signaling	3.99E00	3.7E-02	-2.333	CLDN5,EPN2,JUN,LAMA4,MAPK3,RAP1A,TUBA1A,TUBB,TUBB4B	
Regulation of the Epithelial Mesenchymal Transition by Growth Factors Pathway	3.95E00	4.17E-02	-2.121	ETS1,ID2,JUN,MAPK3,RAP1A,TGFB2,TNFSF10,VIM	
Axonal Guidance Signaling	3.84E00	2.55E-02	NaN	ABLIM1,ADAMTS1,CXCL12,EPHA4,MAPK3,NRP1,RAP1A,SEMA6A,SEMA6D,SRGAP1,TUBA1A,TUBB,TUBB4B	
ESR-mediated signaling	3.55E00	5.08E-02	-2.449	CXCL12,FOSB,JUN,JUND,MAPK3,POLR2E	
Germ Cell-Sertoli Cell Junction Signaling	3.49E00	4.12E-02	NaN	EPN2,MAPK3,RAP1A,TGFB2,TUBA1A,TUBB,TUBB4B	
Sirtuin Signaling Pathway	3.4E00	3.09E-02	0.000	H3-3A/H3-3B,JUN,LDHA,MAPK3,NDUFB11,PGAM1,SIRT7,TUBA1A,UQCRFS1	
Tumor Microenvironment Pathway	3.35E00	3.91E-02	-2.646	CXCL12,JUN,MAPK3,RAP1A,SLC16A1,TGFB2,TIAM1	
Ferroptosis Signaling Pathway	3.3E00	4.58E-02	-0.816	GPX4,MAPK3,NCOA4,RAP1A,SLC3A2,TFRC	
STAT3 Pathway	3.24E00	4.44E-02	-2.449	IFNAR1,IL10RB,KDR,MAPK3,RAP1A,TGFB2	
NOD1/2 Signaling Pathway	3.21E00	3.7E-02	-2.646	IFNAR1,IFNAR2,JUN,MAPK3,SUGT1,TGFB2,TNFSF10	
The citric acid (TCA) cycle and respiratory electron transport	3.1E00	7.27E-02	-2.000	BSG,LDHA,MPC1,SLC16A1	
TGF-β Signaling	3.08E00	5.21E-02	-1.342	JUN,MAPK3,RAP1A,SMAD7,TGFB2	
Pulmonary Fibrosis Idiopathic Signaling Pathway	3.05E00	2.76E-02	-1.667	ADAMTS1,CAV1,CXCL12,JUN,MAPK3,RAP1A,STK38,TGFB2,VIM	
Polyamine Regulation in Colon Cancer	2.98E00	6.78E-02	-1.000	EIF5A,JUN,MAPK3,SLC3A2	
HIF1α Signaling	2.96E00	3.35E-02	-2.646	JUN,KDR,LDHA,MAPK3,RAP1A,TGFB2,VIM	
Erythrocytes take up oxygen and release carbon dioxide	2.93E00	2.86E-01	NaN	CA2,CA4	
Glucocorticoid Receptor Signaling	2.78E00	2.06E-02	NaN	ADRB2,CAV1,H3-3A/H3-3B,IFNAR1,IL10RB,JUN,MAPK3,NDUFB11,POLR2E,RAP1A,TGFB2,UQCRFS1	
RIPK1-mediated regulated necrosis	2.74E00	9.38E-02	NaN	OGT,PELI1,TNFSF10	
Signaling by ROBO receptors	2.72E00	4.31E-02	-2.236	CXCL12,NRP1,PSMB6,PSMD8,SRGAP1	
MAPK targets/ Nuclear events mediated by MAP kinases	2.71E00	9.09E-02	NaN	JUN,MAPK3,MEF2C	
Senescence Pathway	2.68E00	2.68E-02	-2.121	ETS1,ETS2,JUN,MAPK3,RAP1A,SMAD7,TGFB2,ZFP36L1	
Cholecystokinin/Gastrin-mediated Signaling	2.67E00	4.2E-02	-2.236	EPHA4,JUN,MAPK3,MEF2C,RAP1A	
Gap junction trafficking and regulation	2.67E00	8.82E-02	NaN	CLTB,TUBA1A,TUBB4B	
Oncogene Induced Senescence	2.67E00	8.82E-02	NaN	ETS1,ETS2,MAPK3	
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced)	2.66E00	2.97E-02	-1.134	CLDN5,FOSB,JUN,LAMA4,MAPK3,RAP1A,TGFB2	
Neurotransmitter clearance	2.61E00	2E-01	NaN	ALDH2,MAOA	
Interferon Signaling	2.6E00	8.33E-02	NaN	IFIT3,IFNAR1,IFNAR2	
Erythrocytes take up carbon dioxide and release oxygen	2.52E00	1.82E-01	NaN	CA2,CA4	
Renal Cell Carcinoma Signaling	2.51E00	5.06E-02	-2.000	ETS1,JUN,MAPK3,RAP1A	
Serotonin Receptor Signaling	2.5E00	2.13E-02	-3.162	ADRB2,CAV1,CAV2,H3-3A/H3-3B,JUN,MAOA,MAPK3,ORAI1,RAP1A,TGFB2	
NGF-stimulated transcription	2.5E00	7.69E-02	NaN	FOSB,ID2,JUND	
HGF Signaling	2.47E00	3.79E-02	NaN	ETS1,ETS2,JUN,MAPK3,RAP1A	
Chemokine Signaling	2.47E00	4.94E-02	-2.000	CXCL12,JUN,MAPK3,RAP1A	
Reversible hydration of carbon dioxide	2.45E00	1.67E-01	NaN	CA2,CA4	
VEGF Family Ligand-Receptor Interactions	2.42E00	4.76E-02	NaN	KDR,MAPK3,NRP1,RAP1A	
Aggrephagy	2.37E00	6.98E-02	NaN	TUBA1A,TUBB4B,VIM	
PDGF Signaling	2.36E00	4.6E-02	-1.000	CAV1,JUN,MAPK3,RAP1A	
ID1 Signaling Pathway	2.36E00	2.99E-02	-1.633	CAV1,ETS1,MAPK3,RAP1A,TGFB2,VIM	
Coronavirus Replication Pathway	2.32E00	6.67E-02	NaN	TUBA1A,TUBB,TUBB4B	
Aspirin ADME	2.31E00	1.43E-01	NaN	BSG,SLC16A1	
