© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Eukaryotic Translation Termination	6.59E00	8.51E-02	2.828	RPL37,RPL37A,RPL39,RPL41,RPLP2,RPS21,RPS28,RPS29	
Eukaryotic Translation Elongation	6.55E00	8.42E-02	2.828	RPL37,RPL37A,RPL39,RPL41,RPLP2,RPS21,RPS28,RPS29	
Response of EIF2AK4 (GCN2) to amino acid deficiency	6.28E00	7.77E-02	2.828	RPL37,RPL37A,RPL39,RPL41,RPLP2,RPS21,RPS28,RPS29	
Selenoamino acid metabolism	6.16E00	7.48E-02	2.828	RPL37,RPL37A,RPL39,RPL41,RPLP2,RPS21,RPS28,RPS29	
SRP-dependent cotranslational protein targeting to membrane	5.92E00	6.96E-02	2.828	RPL37,RPL37A,RPL39,RPL41,RPLP2,RPS21,RPS28,RPS29	
Nonsense-Mediated Decay (NMD)	5.86E00	6.84E-02	2.828	RPL37,RPL37A,RPL39,RPL41,RPLP2,RPS21,RPS28,RPS29	
Eukaryotic Translation Initiation	5.72E00	6.56E-02	2.828	RPL37,RPL37A,RPL39,RPL41,RPLP2,RPS21,RPS28,RPS29	
EIF2 Signaling	5.39E00	4.35E-02	2.236	RASD1,Rpl36,RPL37,RPL37A,RPL39,RPL41,RPLP2,RPS21,RPS28,RPS29	
RHO GTPase cycle	4.88E00	2.89E-02	3.606	ARHGAP5,CAVIN1,CDC42EP4,DOCK9,HSP90AA1,HSP90AB1,JAG1,MCF2L,NET1,RALBP1,SPTAN1,STIP1,WASF2	
PEDF Signaling	4.63E00	7.14E-02	1.000	BCL2L1,FAS,NFKBIA,PNPLA2,RASD1,WASF2	
HSP90 chaperone cycle for steroid hormone receptors in the presence of ligand	4.45E00	9.09E-02	2.236	FKBP5,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,STIP1	
Major pathway of rRNA processing in the nucleolus and cytosol	4.38E00	4.3E-02	2.828	RPL37,RPL37A,RPL39,RPL41,RPLP2,RPS21,RPS28,RPS29	
Glucocorticoid Receptor Signaling	4.34E00	2.41E-02	NaN	B2M,BCL2L1,CDKN1A,FKBP5,HLA-A,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b,NFKBIA,PRKACB,RASD1,SMARCA2,TSC22D3	
Role of PKR in Interferon Induction and Antiviral Response	3.47E00	4.41E-02	-1.633	FAS,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b,NFKBIA	
Factors involved in megakaryocyte development and platelet production	3.41E00	5.49E-02	1.342	CABLES1,DOCK9,IRF2,MAFF,PRKACB	
PI3K/AKT Signaling	3.35E00	3.5E-02	1.342	BCL2L1,CDKN1A,HSP90AA1,HSP90AB1,NFKBIA,PPP2R2D,RASD1	
Cellular response to heat stress	3.28E00	5.15E-02	2.236	HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,HSPB1,ST13	
p53 Signaling	3.26E00	5.1E-02	1.000	BCL2L1,CDKN1A,FAS,ST13,TP53INP1	
NLR signaling pathways	3.24E00	7.14E-02	2.000	BCL2L1,HSP90AB1,IRAK2,TXNIP	
HIF1α Signaling	3.24E00	3.35E-02	1.134	CAMK1D,CDKN1A,HSP90AA1,HSPA1A/HSPA1B,Hspa1b,RASD1,SLC2A1	
Chronic Myeloid Leukemia Signaling	3.19E00	2.88E-02	1.414	BCL2L1,CDKN1A,FAS,FZD4,HES1,HSP90AA1,HSP90AB1,RASD1	
eNOS Signaling	3.15E00	3.85E-02	NaN	HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b,NOSTRIN,PRKACB	
Apoptosis Signaling	3.14E00	4.81E-02	1.000	BCL2L1,FAS,NFKBIA,RASD1,SPTAN1	
Signaling by VEGF	3.07E00	4.63E-02	2.236	ELMO1,HSP90AA1,HSPB1,PRKACB,WASF2	
Telomerase Signaling	3.07E00	4.63E-02	NaN	CDKN1A,HSP90AA1,HSP90AB1,PPP2R2D,RASD1	
Semaphorin interactions	3.02E00	6.25E-02	2.000	HSP90AA1,HSP90AB1,PLXNA2,SEMA7A	
Prostate Cancer Signaling	2.96E00	4.39E-02	NaN	CDKN1A,HSP90AA1,HSP90AB1,NFKBIA,RASD1	
NRF2-mediated Oxidative Stress Response	2.92E00	2.95E-02	NaN	ABCC4,FKBP5,HSP90AA1,HSP90AB1,MAFF,RASD1,STIP1	
PPARα/RXRα Activation	2.67E00	3.09E-02	0.000	ADIPOR2,HSP90AA1,HSP90AB1,NFKBIA,PRKACB,RASD1	
Natural Killer Cell Signaling	2.63E00	3.03E-02	0.816	B2M,HLA-A,HSPA1A/HSPA1B,Hspa1b,MAP3K6,RASD1	
BAG2 Signaling Pathway	2.57E00	4.71E-02	2.000	CDKN1A,HSP90AA1,HSPA1A/HSPA1B,Hspa1b	
Oncostatin M Signaling	2.51E00	6.98E-02	NaN	EPAS1,RASD1,TIMP3	
TP53 Regulates Transcription of Cell Death Genes	2.48E00	6.82E-02	NaN	FAS,NDRG1,TP53INP1	
Immunogenic Cell Death Signaling Pathway	2.48E00	4.44E-02	2.000	HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b	
Azathioprine ADME	2.47E00	1.54E-01	NaN	ABCC4,XDH	
mTOR Signaling	2.46E00	2.8E-02	NaN	DDIT4,PPP2R2D,RASD1,RPS21,RPS28,RPS29	
Cachexia Signaling Pathway	2.43E00	2.17E-02	2.828	DDIT4,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b,PNPLA2,PRKACB,S1PR1	
Pyroptosis Signaling Pathway	2.41E00	4.26E-02	1.000	IRF2,NEK7,PRKACB,TXNIP	
IL-10 Signaling	2.39E00	3.25E-02	0.447	BCL2L1,CDKN1A,DDIT4,HLA-A,NFKBIA	
Transcriptional regulation by RUNX3	2.38E00	4.17E-02	1.000	CCN2,CDKN1A,HES1,JAG1	
Death Receptor Signaling	2.38E00	4.17E-02	0.000	FAS,HSPB1,NFKBIA,SPTAN1	
Fcgamma receptor (FCGR) dependent phagocytosis	2.36E00	3.18E-02	2.236	ELMO1,HSP90AA1,HSP90AB1,MYO10,WASF2	
Metabolism of nitric oxide: NOS3 activation and regulation	2.34E00	1.33E-01	NaN	HSP90AA1,NOSTRIN	
