© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Eukaryotic Translation Elongation	4.94E01	4E-01	-6.164	EEF1A1,EEF1B2,RPL10,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL26,RPL28,RPL3,RPL4,RPL7,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS12,RPS13,RPS14,RPS16,RPS18,RPS2,RPS20,RPS24,RPS3,RPS4Y1,RPS5,RPS6,RPS7,RPS9,RPSA	
Eukaryotic Translation Initiation	4.62E01	3.2E-01	-6.245	CP,EIF3F,EIF3H,RPL10,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL26,RPL28,RPL3,RPL4,RPL7,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS12,RPS13,RPS14,RPS16,RPS18,RPS2,RPS20,RPS24,RPS3,RPS4Y1,RPS5,RPS6,RPS7,RPS9,RPSA	
Eukaryotic Translation Termination	4.6E01	3.83E-01	-6.000	RPL10,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL26,RPL28,RPL3,RPL4,RPL7,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS12,RPS13,RPS14,RPS16,RPS18,RPS2,RPS20,RPS24,RPS3,RPS4Y1,RPS5,RPS6,RPS7,RPS9,RPSA	
Response of EIF2AK4 (GCN2) to amino acid deficiency	4.42E01	3.5E-01	-6.000	RPL10,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL26,RPL28,RPL3,RPL4,RPL7,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS12,RPS13,RPS14,RPS16,RPS18,RPS2,RPS20,RPS24,RPS3,RPS4Y1,RPS5,RPS6,RPS7,RPS9,RPSA	
Selenoamino acid metabolism	4.35E01	3.36E-01	-6.000	RPL10,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL26,RPL28,RPL3,RPL4,RPL7,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS12,RPS13,RPS14,RPS16,RPS18,RPS2,RPS20,RPS24,RPS3,RPS4Y1,RPS5,RPS6,RPS7,RPS9,RPSA	
SRP-dependent cotranslational protein targeting to membrane	4.22E01	3.13E-01	-6.000	RPL10,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL26,RPL28,RPL3,RPL4,RPL7,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS12,RPS13,RPS14,RPS16,RPS18,RPS2,RPS20,RPS24,RPS3,RPS4Y1,RPS5,RPS6,RPS7,RPS9,RPSA	
Nonsense-Mediated Decay (NMD)	4.19E01	3.08E-01	-6.000	RPL10,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL26,RPL28,RPL3,RPL4,RPL7,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS12,RPS13,RPS14,RPS16,RPS18,RPS2,RPS20,RPS24,RPS3,RPS4Y1,RPS5,RPS6,RPS7,RPS9,RPSA	
Major pathway of rRNA processing in the nucleolus and cytosol	3.39E01	1.94E-01	-6.000	RPL10,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL26,RPL28,RPL3,RPL4,RPL7,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS12,RPS13,RPS14,RPS16,RPS18,RPS2,RPS20,RPS24,RPS3,RPS4Y1,RPS5,RPS6,RPS7,RPS9,RPSA	
EIF2 Signaling	3.3E01	1.65E-01	-4.472	EIF3F,EIF3H,RPL10,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL26,RPL28,RPL3,RPL4,RPL7,RPL8,RPL9,RPLP0,RPS10,RPS11,RPS12,RPS13,RPS14,RPS16,RPS18,RPS2,RPS20,RPS24,RPS3,RPS4Y1,RPS5,RPS6,RPS7,RPS9,RPSA	
Coronavirus Pathogenesis Pathway	1.51E01	1.08E-01	3.838	EEF1A1,HIF1A,IL17RA,PTGS2,RPS10,RPS11,RPS12,RPS13,RPS14,RPS16,RPS18,RPS2,RPS20,RPS24,RPS3,RPS4Y1,RPS5,RPS6,RPS7,RPS9,RPSA,STAT3	
