© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Eukaryotic Translation Termination	1.67E01	1.49E-01	3.742	RPL23,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL6,RPLP2,RPS21,RPS24,RPS26,RPS28,RPS29	
Eukaryotic Translation Elongation	1.66E01	1.47E-01	3.742	RPL23,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL6,RPLP2,RPS21,RPS24,RPS26,RPS28,RPS29	
Response of EIF2AK4 (GCN2) to amino acid deficiency	1.61E01	1.36E-01	3.742	RPL23,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL6,RPLP2,RPS21,RPS24,RPS26,RPS28,RPS29	
Selenoamino acid metabolism	1.58E01	1.31E-01	3.742	RPL23,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL6,RPLP2,RPS21,RPS24,RPS26,RPS28,RPS29	
SRP-dependent cotranslational protein targeting to membrane	1.54E01	1.22E-01	3.742	RPL23,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL6,RPLP2,RPS21,RPS24,RPS26,RPS28,RPS29	
Nonsense-Mediated Decay (NMD)	1.53E01	1.2E-01	3.742	RPL23,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL6,RPLP2,RPS21,RPS24,RPS26,RPS28,RPS29	
Eukaryotic Translation Initiation	1.5E01	1.15E-01	3.742	RPL23,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL6,RPLP2,RPS21,RPS24,RPS26,RPS28,RPS29	
EIF2 Signaling	1.49E01	7.39E-02	3.162	RPL23,Rpl34 (includes others),RPL35A,Rpl36,Rpl36a,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL6,RPLP2,RPS21,RPS24,RPS26,RPS28,RPS29	
Major pathway of rRNA processing in the nucleolus and cytosol	1.24E01	7.53E-02	3.742	RPL23,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL6,RPLP2,RPS21,RPS24,RPS26,RPS28,RPS29	
Semaphorin interactions	4.83E00	7.81E-02	2.236	HSP90AA1,HSP90AB1,MYL12B,PLXNA2,SEMA7A	
Cellular response to heat stress	3.96E00	5.15E-02	2.236	HSP90AA1,HSP90AB1,HSPA8,HSPB1,ST13	
p53 Signaling	3.94E00	5.1E-02	1.000	BCL2L1,CDKN1A,FAS,ST13,TP53INP1	
Chaperone Mediated Autophagy	3.8E00	1.36E-01	NaN	HSP90AA1,HSP90AB1,HSPA8	
Interleukin-4 and Interleukin-13 signaling	3.7E00	4.55E-02	2.236	BCL2L1,CDKN1A,HSP90AA1,HSPA8,S1PR1	
Chronic Myeloid Leukemia Signaling	3.38E00	2.52E-02	1.134	BCL2L1,Calm1 (includes others),CDKN1A,FAS,HES1,HSP90AA1,HSP90AB1	
Coronavirus Pathogenesis Pathway	3.32E00	2.94E-02	-1.633	NFKBIA,RPS21,RPS24,RPS26,RPS28,RPS29	
Role of PKR in Interferon Induction and Antiviral Response	3.28E00	3.68E-02	-1.342	FAS,HSP90AA1,HSP90AB1,HSPA8,NFKBIA	
mTOR Signaling	3.21E00	2.8E-02	NaN	DDIT4,RPS21,RPS24,RPS26,RPS28,RPS29	
PEDF Signaling	3.13E00	4.76E-02	NaN	BCL2L1,FAS,NFKBIA,PNPLA2	
eNOS Signaling	3.01E00	3.21E-02	NaN	Calm1 (includes others),HSP90AA1,HSP90AB1,HSPA8,NOSTRIN	
cAMP-mediated signaling	2.99E00	2.54E-02	2.236	AKAP12,Calm1 (includes others),CAMK1D,PDE2A,RAPGEF4,S1PR1	
Aryl Hydrocarbon Receptor Signaling	2.97E00	3.14E-02	-2.000	CDKN1A,FAS,HSP90AA1,HSP90AB1,HSPB1	
TP53 Regulates Transcription of Cell Death Genes	2.9E00	6.82E-02	NaN	FAS,NDRG1,TP53INP1	
Regulation of eIF4 and p70S6K Signaling	2.69E00	2.72E-02	NaN	RPS21,RPS24,RPS26,RPS28,RPS29	
Glucocorticoid Receptor Signaling	2.67E00	1.55E-02	NaN	B2M,BCL2L1,CDKN1A,HSP90AA1,HSP90AB1,HSPA8,NDUFA7,NFKBIA,TSC22D3	
Prostate Cancer Signaling	2.64E00	3.51E-02	NaN	CDKN1A,HSP90AA1,HSP90AB1,NFKBIA	
Metabolism of nitric oxide: NOS3 activation and regulation	2.63E00	1.33E-01	NaN	HSP90AA1,NOSTRIN	
HSP90 chaperone cycle for steroid hormone receptors in the presence of ligand	2.62E00	5.45E-02	NaN	HSP90AA1,HSP90AB1,HSPA8	
Rap1 signalling	2.57E00	1.25E-01	NaN	RAPGEF4,RASGRP2	
Nitric Oxide Signaling in the Cardiovascular System	2.56E00	3.33E-02	1.000	Calm1 (includes others),HSP90AA1,HSP90AB1,PDE2A	
PI3K/AKT Signaling	2.53E00	2.5E-02	1.342	BCL2L1,CDKN1A,HSP90AA1,HSP90AB1,NFKBIA	
HIF1α Signaling	2.45E00	2.39E-02	1.342	CAMK1D,CDKN1A,HSP90AA1,HSPA8,SLC2A1	
Estrogen Receptor Signaling	2.42E00	1.71E-02	1.000	CDK8,CDKN1A,HES1,HSP90AA1,HSP90AB1,MYL12B,NDUFA7	
Induction of Apoptosis by HIV1	2.41E00	4.62E-02	NaN	BCL2L1,FAS,NFKBIA	
Glutamine Biosynthesis I	2.32E00	1E00	NaN	GLUL	
Hypoxia Signaling in the Cardiovascular System	2.22E00	3.95E-02	NaN	HSP90AA1,HSP90AB1,NFKBIA	
RHO GTPase cycle	2.2E00	1.56E-02	2.646	AKAP12,FERMT2,HSP90AA1,HSP90AB1,MCF2L,NET1,RALBP1	
Signaling by NOTCH1	2.19E00	3.85E-02	NaN	CDK8,DLL4,HES1	
DDX58/IFIH1-mediated induction of interferon-alpha/beta	2.17E00	3.8E-02	NaN	HSP90AA1,HSP90AB1,NFKBIA	
Role of JAK family kinases in IL-6-type Cytokine Signaling	2.17E00	3.8E-02	NaN	BCL2L1,HSP90AA1,HSP90AB1	
