"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Cell_Type"
"Gm35769",1.0128735606881e-15,-2.99438194539926,0.016,0.115,1.84970969652861e-11,"aEC"
"A430090L17Rik",5.10091889742779e-23,2.57695308348521,0.179,0.049,9.31529809048264e-19,"aEC"
"Ccdc184",1.21686818769362e-14,-2.39744308485519,0.029,0.133,2.22224468436608e-10,"aEC"
"Gm36264",4.86728329580291e-10,-2.08390049141013,0.026,0.101,8.88863275479527e-06,"aEC"
"Vegfd",1.21235315868457e-15,2.02813558021499,0.127,0.035,2.21399933838977e-11,"aEC"
"Epha3",3.76358755416452e-07,1.94028640300416,0.107,0.049,0.0068730635914152,"aEC"
"Slc12a8",1.75359112621418e-10,1.84459158872361,0.139,0.059,3.20240811469234e-06,"aEC"
"Sap18b",5.7549804077212e-10,-1.71514833201737,0.025,0.1,1.05097452205805e-05,"aEC"
"Gm1976",1.40515593304358e-07,1.62398173820316,0.103,0.045,0.0025660957649241,"aEC"
"Tubb2b",5.55362481815872e-13,-1.56703389344481,0.072,0.188,1.01420296429215e-08,"aEC"
"Ndnf",1.6772551070832e-08,1.56683355109072,0.142,0.068,0.0003063003276555,"aEC"
"Gm33206",8.87680074354274e-11,1.55507794304905,0.253,0.152,1.62108135178578e-06,"aEC"
"Jpx",3.94578577408309e-07,1.51469602636959,0.115,0.056,0.0072057939806305,"aEC"
"AC154200.1",8.50198138590489e-10,-1.50362689162671,0.046,0.13,1.55263184069395e-05,"aEC"
"Gm20663",1.33062687449953e-06,1.44365320930282,0.103,0.049,0.0242999079821105,"aEC"
"Mmp15",1.7962311645795e-09,-1.42813103762598,0.04,0.12,3.28027735275509e-05,"aEC"
"Trerf1",2.45912043994216e-10,1.36245931651616,0.151,0.067,4.49084574742238e-06,"aEC"
"Pld1",1.8336639688971e-11,1.32736585497399,0.229,0.124,3.34863713999988e-07,"aEC"
"Herc3",2.73346660709246e-06,1.31560208579372,0.11,0.055,0.0499185671787226,"aEC"
"Tuba1c",2.51668219798147e-06,-1.30339192463789,0.045,0.105,0.0459596502995376,"aEC"
"Micall1",4.8234678301704e-09,1.25532191567612,0.156,0.076,8.80861695145719e-05,"aEC"
"Wdr59",8.85981969448881e-07,1.24800360845842,0.135,0.072,0.0161798027260755,"aEC"
"Sned1",2.20421192840444e-06,1.2161895742461,0.134,0.072,0.0402533182365219,"aEC"
"Arhgef9",3.41515235272396e-07,1.20281079012098,0.187,0.112,0.0062367512265445,"aEC"
"Ccdc157",2.6465874910243e-07,1.1983608550445,0.142,0.074,0.0048331980761085,"aEC"
"Mrps18b",8.95405088306294e-07,-1.1823339697391,0.041,0.103,0.0163518877226495,"aEC"
"Cnnm2",1.87865553883403e-06,1.18061763651518,0.115,0.057,0.0343080074501871,"aEC"
"Zfp40",1.28298828967417e-06,1.1627339932859,0.134,0.071,0.0234299321460298,"aEC"
"Drg2",4.83023813464117e-08,-1.11968396713707,0.058,0.138,0.0008820980881481,"aEC"
"Rnaseh1",7.48295469179089e-07,-1.11859305786318,0.05,0.118,0.0136653718581485,"aEC"
"Gper1",3.68844491543709e-17,-1.11392035087407,0.177,0.355,6.73583810457122e-13,"aEC"
"Btbd6",5.43670291929085e-08,-1.10894088451857,0.048,0.122,0.0009928506871208,"aEC"
"Fam193b",2.10304499383558e-09,1.0828727742181,0.209,0.116,3.84058076774253e-05,"aEC"
"Appl2",1.39665852104101e-06,1.06968562707871,0.138,0.074,0.0255057779112508,"aEC"
"Cenpc1",7.81973513649262e-07,1.06518339948491,0.163,0.093,0.0142804003062628,"aEC"
"Tmem164",2.30146434013339e-07,1.05826606967864,0.223,0.142,0.0042029341779516,"aEC"
"Gm35167",4.72399733400022e-08,-1.05243235520341,0.062,0.144,0.0008626963931351,"aEC"
"Il17rd",1.18948015788214e-13,1.03794616486783,0.396,0.267,2.17222866432436e-09,"aEC"
"Ssbp2",1.81676931145605e-07,1.02628444663097,0.223,0.138,0.003317784116581,"aEC"
"Pacs2",7.99678611653557e-07,1.02145798970202,0.168,0.097,0.0146037308060173,"aEC"
"Far2",7.13731598719908e-17,1.01102802781772,0.559,0.435,1.3034166455823e-12,"aEC"
"Usp40",1.73419921516393e-07,0.993355669699118,0.225,0.142,0.0031669946067323,"aEC"
"Egfl8",5.00761926892818e-12,-0.989557973575154,0.289,0.429,9.14491430891664e-08,"aEC"
"Prkci",1.45820430356297e-06,0.97317826804815,0.189,0.118,0.026629726991667,"aEC"
"Ago1",1.51169561261406e-07,0.970567262076965,0.208,0.129,0.0027606585277557,"aEC"
"Rrs1",2.45394548052969e-06,-0.969112312550528,0.075,0.147,0.0448139523654332,"aEC"
"Amd2",1.74788148420067e-07,-0.967113756985733,0.085,0.169,0.0031919811664472,"aEC"
"Ccnq",7.80160690461193e-07,-0.965335754613084,0.058,0.129,0.0142472945292023,"aEC"
"Kank4",5.95647542072294e-10,0.952812221286446,0.351,0.242,1.08777154133242e-05,"aEC"
"Stim1",2.6717019477928e-09,0.952209555920689,0.309,0.206,4.87906209705921e-05,"aEC"
"Arhgap35",4.23081756486265e-08,0.949873794740965,0.269,0.179,0.0007726319036952,"aEC"
"Maff",3.80630522937502e-08,-0.948746292220741,0.102,0.197,0.0006951074609884,"aEC"
"Rab11fip3",1.52450777796398e-09,0.948094736748934,0.265,0.163,2.78405610411781e-05,"aEC"
"Abhd18",1.75312812371025e-06,0.942672913086127,0.18,0.108,0.0320156257951966,"aEC"
"Mpv17l2",2.51830653950909e-06,-0.940983498389049,0.049,0.112,0.045989314024515,"aEC"
"Epb41l4a",4.89340194339642e-10,0.938455842892012,0.355,0.254,8.93633062903054e-06,"aEC"
"Atp2b4",1.32273290371494e-09,0.929297065549643,0.376,0.269,2.41557482876422e-05,"aEC"
"Col14a1",1.06158143886923e-13,-0.92286109743093,0.119,0.263,1.93866002366298e-09,"aEC"
"Slc25a12",1.35201453310842e-06,0.9222923002557,0.224,0.145,0.0246904894036259,"aEC"
"Mall",1.59454492769317e-17,-0.91701665389793,0.248,0.437,2.91195794695326e-13,"aEC"
"Arhgef10",9.75600947877364e-10,0.910782442967261,0.277,0.174,1.78164245101364e-05,"aEC"
"Zfp318",6.74396689329202e-07,0.900502031491954,0.233,0.153,0.0123158323405299,"aEC"
"Glcci1",1.10111528198637e-10,0.899970143117033,0.4,0.294,2.01085672796351e-06,"aEC"
"Usf3",8.32467174483889e-07,0.895202911511602,0.268,0.189,0.0152025155404248,"aEC"
"Zfp445",1.97427277436066e-10,0.894966509474411,0.319,0.207,3.60541694053744e-06,"aEC"
"Tbcd",7.04523605967679e-07,0.885547665039684,0.179,0.106,0.0128660100921818,"aEC"
"Procr",3.18898143546277e-12,-0.885411855839412,0.181,0.329,5.82371789744211e-08,"aEC"
"H2-Q6",1.11869851482717e-07,0.8795492500049,0.201,0.118,0.0020429672277773,"aEC"
"Vwa5a",1.53874634850021e-08,0.867782378639781,0.319,0.226,0.0002810058581631,"aEC"
"Gm16070",1.51095744115361e-07,0.863082854528133,0.393,0.312,0.0027593104790347,"aEC"
"Relch",2.63898389536345e-09,0.855352120942556,0.358,0.254,4.81931238971273e-05,"aEC"
"Ccnyl1",1.57787607783947e-07,0.853253252569706,0.317,0.231,0.0028815172933504,"aEC"
"Afg1l",9.3799921461126e-08,0.847913592778342,0.277,0.186,0.001712974165723,"aEC"
"Lama3",3.44572314765618e-08,0.845256249425711,0.415,0.331,0.0006292579612249,"aEC"
"Gak",1.25933187318449e-06,0.844582724051945,0.282,0.202,0.0229979186680951,"aEC"
"Mbtps2",1.65820875328416e-06,0.843473323133364,0.183,0.111,0.0302822082524753,"aEC"
"Slc35e4",6.25125407050768e-08,-0.840169751057029,0.118,0.216,0.0011416040183561,"aEC"
"C2cd2",1.08189895247007e-08,0.839270942554828,0.314,0.213,0.0001975763867,"aEC"
"H2-M3",1.92838567636941e-08,-0.838674430474341,0.123,0.229,0.0003521617922185,"aEC"
"Nipal3",1.96523988485535e-07,0.831442924645796,0.274,0.186,0.0035889210777228,"aEC"
"Mrpl44",2.40445821523358e-06,-0.825017481715219,0.087,0.163,0.0439102159265956,"aEC"
"Sirt1",5.17105553047219e-07,0.821081674250462,0.203,0.123,0.0094433816097483,"aEC"
"Enah",5.71117119257459e-08,0.818151046269523,0.374,0.283,0.0010429740831879,"aEC"
"Pdlim2",2.2103575359715e-07,-0.811290635092645,0.144,0.243,0.0040365549321911,"aEC"
"Vps37b",1.28525307575196e-10,-0.808928490606938,0.159,0.289,2.34712916693823e-06,"aEC"
"Dbndd2",5.79130043973131e-12,-0.807579501178763,0.225,0.378,1.05760728630373e-07,"aEC"
"Mapk8ip3",1.16285719520603e-07,0.804180077052146,0.27,0.179,0.0021236098098852,"aEC"
"Dstyk",8.62647855577944e-08,0.794535967415949,0.317,0.226,0.0015753675138564,"aEC"
"Bud23",6.38116397493444e-07,-0.78367920712094,0.111,0.2,0.0116532816510253,"aEC"
"Vegfc",2.63319657876718e-09,0.779538383360784,0.588,0.514,4.80874359214462e-05,"aEC"
"Senp2",9.68842376225649e-07,0.779279486099107,0.298,0.212,0.0176929994746328,"aEC"
"Ddit3",1.09902760867573e-06,-0.776434669286708,0.09,0.17,0.0200704421896363,"aEC"
"Dpy19l4",1.86406502047505e-07,0.775693269376438,0.26,0.167,0.0034041555403915,"aEC"
"Rpain",1.40586681903417e-06,-0.766364838094906,0.103,0.187,0.0256739398492021,"aEC"
"Gse1",1.0072128076949e-08,0.748842766937375,0.396,0.304,0.0001839372029412,"aEC"
"Arid5a",6.58867824554929e-07,-0.73691472157929,0.094,0.177,0.0120322442120221,"aEC"
"Creb3l2",2.8012050346798e-07,0.715182821823282,0.362,0.275,0.0051155606343322,"aEC"
"Opa1",1.73031225879276e-06,0.712072510004982,0.322,0.245,0.0315989624700734,"aEC"
"Ccdc115",4.08448529136354e-07,-0.701132192348403,0.114,0.208,0.007459087039088,"aEC"
"AU040320",2.03778799412188e-06,0.699237345658185,0.342,0.262,0.0372140843486538,"aEC"
"Myg1",1.87670416526553e-06,-0.687858646644596,0.115,0.198,0.0342723714660791,"aEC"
"Msx1",4.78546020671885e-10,-0.686536322000084,0.205,0.348,8.73920742950997e-06,"aEC"
"2510009E07Rik",1.22616974551138e-06,0.686494020452451,0.42,0.346,0.0223923118925289,"aEC"
"Dbp",2.4937361427091e-08,0.682781373484767,0.363,0.263,0.0004554060943815,"aEC"
"Wwp1",1.31384456192172e-07,0.680732102172337,0.407,0.316,0.0023993429389814,"aEC"
"Cpt1a",2.1604362259627e-08,0.667967163222171,0.47,0.387,0.0003945388635853,"aEC"
"Lifr",1.6840904369318e-10,0.649125036040931,0.548,0.453,3.07548595592485e-06,"aEC"
"Ttc14",3.24697413132676e-08,0.645585210802918,0.457,0.376,0.0005929624158628,"aEC"
"Pir",8.4511135543176e-11,0.642494927014085,0.583,0.497,1.54334235728948e-06,"aEC"
"Tmem100",1.01701014102337e-06,-0.63161121139148,0.342,0.441,0.0185726391953688,"aEC"
"Kank2",5.82417299428413e-09,0.63067961131625,0.437,0.34,0.0001063610472216,"aEC"
"Ilf2",5.64789425837238e-07,-0.615353922990483,0.171,0.275,0.0103141844946396,"aEC"
"Praf2",3.33044002342652e-07,-0.613376256550472,0.111,0.206,0.0060820495707815,"aEC"
"Fbln2",6.5678560740774e-13,-0.606920929464325,0.359,0.54,1.19942187624801e-08,"aEC"
"Heatr5a",2.71019762991537e-06,0.601142948281792,0.44,0.366,0.0494936291175145,"aEC"
"Arl6ip4",1.37404415983701e-06,-0.600726144104451,0.18,0.276,0.0250927944469434,"aEC"
"Arhgef28",5.24917698995156e-09,0.599514640852872,0.547,0.464,9.58604701904953e-05,"aEC"
"Atp6v0a1",2.50016841701674e-06,0.597270213649345,0.383,0.297,0.0456580756315597,"aEC"
"Ogt",1.09897488278349e-06,0.59521509831117,0.472,0.413,0.0200694793093921,"aEC"
"Mpp5",2.99027730625966e-07,0.594117970402919,0.393,0.303,0.0054608444166914,"aEC"
"Zfyve9",1.08747226274071e-06,0.591320624290168,0.57,0.54,0.0198594184621708,"aEC"
"Gtf3c6",2.25400254004861e-07,-0.579755832391183,0.142,0.245,0.0041162594386367,"aEC"
"Eny2",1.62814067741008e-08,-0.578735494929591,0.225,0.357,0.0002973310505086,"aEC"
"Churc1",1.28890518125942e-08,-0.574606977221614,0.216,0.351,0.0002353798642015,"aEC"
"Psmg4",1.10079973770343e-06,-0.573767486719552,0.135,0.232,0.02010280480994,"aEC"
"Rab10",7.46419352038187e-11,0.554257643860706,0.695,0.648,1.36311102069214e-06,"aEC"
"Cds2",3.34485306138489e-07,0.550799443463792,0.478,0.401,0.006108370660701,"aEC"
"Hsph1",5.83513255295854e-07,-0.546272560584649,0.181,0.289,0.0106561190682129,"aEC"
"Denr",2.48364489673168e-08,-0.542882775338112,0.303,0.438,0.0004535632310411,"aEC"
"Gimap6",2.41692162151763e-13,-0.538985287361667,0.616,0.757,4.4137822652155e-09,"aEC"
"Ro60",5.15428469749598e-08,0.527060457035532,0.547,0.458,0.0009412754714567,"aEC"
"Larp4b",4.78355559893396e-07,0.522787832301211,0.556,0.479,0.0087357292347732,"aEC"
"Hey1",8.94681137706465e-10,-0.521900701453333,0.45,0.588,1.63386669367955e-05,"aEC"
"Gtpbp4",2.8604158284785e-07,-0.520180059126628,0.26,0.378,0.0052236913859674,"aEC"
"Tlk1",1.1003120200071e-07,0.51873543631563,0.584,0.515,0.0020093898109369,"aEC"
"Btg2",6.02333050279722e-10,-0.511825177289014,0.673,0.784,1.09998061642083e-05,"aEC"
"Adnp",6.37012311511675e-07,0.505766576655161,0.468,0.384,0.0116331188328262,"aEC"
