"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Cell_Type"
"Cdh13",1.59780461932962e-10,1.2248335340308,0.173,0.091,2.82891307852309e-06,"acapEC"
"Fbln2",6.98046533094838e-08,1.04436083741475,0.143,0.077,0.0012358913868444,"acapEC"
"Sema6d",8.31323962115072e-11,-0.988991797106745,0.084,0.175,1.47185907492474e-06,"acapEC"
"Adrb2",6.91914210276366e-08,-0.935221038778879,0.077,0.146,0.0012250341092943,"acapEC"
"P4ha2",1.69666399543848e-08,0.74825995356451,0.288,0.199,0.0003003943603923,"acapEC"
"Mfsd5",1.21421275555512e-06,-0.747131436556769,0.057,0.115,0.0214976368371033,"acapEC"
"Glt8d1",1.40698755463973e-07,-0.680584598207641,0.103,0.18,0.0024910714654896,"acapEC"
"2310033P09Rik",4.47329835356029e-07,-0.671199280707506,0.128,0.206,0.0079199747349785,"acapEC"
"Ckb",2.44555107464627e-08,-0.666374424919185,0.161,0.257,0.0004329848177661,"acapEC"
"Cd83",1.310357080065e-07,-0.655421148725002,0.113,0.192,0.002319987210255,"acapEC"
"Gpr155",2.38630887444407e-07,-0.608721380095784,0.125,0.205,0.0042249598622032,"acapEC"
"Cgrrf1",1.83532769431812e-06,-0.569003598516599,0.129,0.203,0.0324944768279023,"acapEC"
"Isca2",1.21878533851847e-06,-0.562711053370914,0.167,0.249,0.0215785944184694,"acapEC"
"Nrp1",5.87198343700543e-08,-0.529027089348281,0.386,0.483,0.0010396346675218,"acapEC"
"Use1",1.05271390750554e-08,-0.492469799430526,0.299,0.411,0.0001863829973238,"acapEC"
"Smagp",1.23498829230433e-08,-0.466069529025264,0.307,0.42,0.0002186546771524,"acapEC"
"Mpc1",2.0293699185941e-08,-0.435788866413722,0.356,0.473,0.000359299944087,"acapEC"
"Mrpl43",1.85768620270169e-06,-0.432697657847319,0.287,0.377,0.0328903342188334,"acapEC"
"Car2",8.59844490934064e-08,-0.426689339221793,0.282,0.392,0.0015223546711987,"acapEC"
"Tmsb10",6.64570188861744e-07,-0.42211795259614,0.471,0.558,0.0117662151937972,"acapEC"
"Cav2",2.43875764848544e-12,-0.409203951962592,0.648,0.749,4.31782041664348e-08,"acapEC"
"Cdk19",1.60926298277601e-07,0.400269352709379,0.699,0.642,0.0028492001110049,"acapEC"
"Rbm3",1.46259909590844e-06,-0.380400968562248,0.385,0.48,0.025895316993059,"acapEC"
"Scp2",5.39379769312863e-08,-0.375052017561421,0.486,0.583,0.0009549718815684,"acapEC"
"Uqcrfs1",2.24729077405002e-06,-0.369245568317116,0.314,0.415,0.0397882831545557,"acapEC"
"Pgam1",1.31074247588571e-06,-0.358336284662714,0.331,0.426,0.0232066955355565,"acapEC"
"Tdrp",1.03956856675885e-08,-0.356887377543495,0.431,0.55,0.0001840556147446,"acapEC"
"Psmd8",1.35072806579109e-07,-0.352878154886634,0.386,0.495,0.0023914640404831,"acapEC"
"Ctnnbip1",2.15062947297797e-06,-0.345811640039773,0.328,0.432,0.0380768948190749,"acapEC"
"Cystm1",2.06877250031957e-07,-0.334854081236902,0.435,0.545,0.0036627617118157,"acapEC"
"Mrps14",6.70897547547608e-08,-0.333927323185849,0.352,0.469,0.001187824107933,"acapEC"
"Pnp",3.62253948003755e-07,-0.328932679214219,0.37,0.476,0.0064137061494064,"acapEC"
"Nenf",2.42101277087281e-06,-0.326743910035786,0.382,0.473,0.0428640311083031,"acapEC"
"Cavin1",1.32371011326751e-06,0.315910422515116,0.738,0.701,0.0234362875554013,"acapEC"
"Gphn",5.89236013098637e-08,0.313151399623958,0.967,0.955,0.0010432423611911,"acapEC"
"Rnaseh2c",2.19124965622574e-06,-0.312500001143619,0.327,0.423,0.0387960751634766,"acapEC"
"Foxf2",1.13673234020968e-06,-0.306166701778939,0.393,0.501,0.0201258460834123,"acapEC"
"Smad7",3.77109248223473e-08,-0.299527208685099,0.63,0.73,0.0006676719239796,"acapEC"
"Sugt1",2.46661102155391e-06,-0.295688273192545,0.477,0.568,0.0436713481366119,"acapEC"
"Ndufb11",1.07446132367267e-07,-0.294984895898887,0.569,0.69,0.0019023337735624,"acapEC"
"Atxn7l3b",1.99290717826069e-07,-0.280728742181942,0.584,0.683,0.0035284421591105,"acapEC"
"Rap1a",5.28561325622544e-09,-0.280193175320882,0.725,0.807,9.35817827014715e-05,"acapEC"
"Psmb6",9.70563785116486e-07,-0.271225740043774,0.533,0.625,0.0171838318154874,"acapEC"
"Ahnak",1.18763697690345e-07,0.258837274411975,0.923,0.904,0.0021027112676075,"acapEC"
"Slc3a2",7.99964643173381e-10,-0.252537441383509,0.801,0.888,1.41633740073847e-05,"acapEC"
