"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Cell_Type"
"Egr1",9.27313519330974e-39,2.49318935128218,0.109,0.024,1.64180858597549e-34,"capEC"
"Ttr",3.57544158600479e-08,-1.89208782865574,0.128,0.184,0.0006330319328021,"capEC"
"Cacna1e",9.29520254152199e-37,1.87129506444275,0.155,0.052,1.64571560997647e-32,"capEC"
"Ifi44",4.19431876973357e-24,1.29046522165362,0.223,0.119,7.42604138181328e-20,"capEC"
"Angpt2",8.82300564676093e-15,1.22744446056567,0.122,0.061,1.56211314975902e-10,"capEC"
"Gja1",4.05396256207393e-40,1.20778548263239,0.296,0.144,7.1775407161519e-36,"capEC"
"Tgtp2",2.31487653507114e-21,1.1884685739903,0.165,0.08,4.09848890534346e-17,"capEC"
"Gm43569",7.76189829985195e-18,1.18308585620181,0.109,0.046,1.37424409398879e-13,"capEC"
"Ifit3b",1.83289459995955e-20,1.17870913908563,0.196,0.105,3.24513988922838e-16,"capEC"
"Ifit2",3.00314750874595e-11,1.09068807622884,0.131,0.075,5.3170726642347e-07,"capEC"
"Fgfr1",8.86514437441258e-13,1.06491838719865,0.104,0.051,1.56957381148975e-08,"capEC"
"Prdm1",4.29613385144909e-12,0.97611662563719,0.1,0.049,7.60630498399062e-08,"capEC"
"Stk17b",5.28475816753105e-15,0.969059765672328,0.128,0.064,9.35666433561372e-11,"capEC"
"Isg20",7.77522402288836e-09,0.954361344878736,0.108,0.063,0.0001376603413252,"capEC"
"Nr4a1",9.06577054788679e-17,0.875163102299622,0.227,0.138,1.60509467550336e-12,"capEC"
"Ranbp9",4.09797736691783e-42,0.823673679706845,0.528,0.35,7.25546892812801e-38,"capEC"
"Rnf103",4.42278848855177e-26,0.819760593089385,0.375,0.244,7.83054701898092e-22,"capEC"
"Acacb",3.34321474018334e-25,0.816228708900341,0.282,0.159,5.9191616974946e-21,"capEC"
"Cd274",7.24523067571102e-09,0.813492742791913,0.123,0.075,0.0001282768091134,"capEC"
"Ninj1",3.37859780253948e-09,-0.802593324137926,0.132,0.193,5.98180740939616e-05,"capEC"
"Cx3cl1",6.97382360224404e-15,0.785540222477773,0.182,0.104,1.23471546877731e-10,"capEC"
"Dnah3",3.24832209490541e-18,0.781502044561466,0.235,0.139,5.75115426903003e-14,"capEC"
"Gm12758",9.56521512742258e-16,0.773218474528524,0.198,0.116,1.69352133831017e-11,"capEC"
"Lpin1",2.32687874817553e-07,0.763414215741409,0.101,0.061,0.0041197388236447,"capEC"
"Gm14211",6.52232572093877e-13,0.754127959115773,0.164,0.096,1.15477776889221e-08,"capEC"
"Birc3",5.18501391527032e-14,0.74881049227235,0.191,0.114,9.1800671369861e-10,"capEC"
"Noct",4.12236495357423e-17,0.745938758818663,0.217,0.126,7.29864715030317e-13,"capEC"
"Bcl2",5.0498679133756e-08,0.734862952325587,0.173,0.12,0.0008940791140631,"capEC"
"Gm26672",2.65343992810094e-09,0.730661166834192,0.104,0.058,4.69791539270272e-05,"capEC"
"Spry1",2.32417336881174e-19,0.727004653657071,0.277,0.17,4.11494894948119e-15,"capEC"
"Cdc42ep3",1.44661009972957e-30,0.723166837908579,0.615,0.466,2.5612231815712e-26,"capEC"
"Rassf4",1.73047837733649e-08,0.721881906851373,0.114,0.068,0.0003063811967074,"capEC"
"Ackr3",1.88788345991237e-16,0.717465526364787,0.42,0.314,3.34249766577484e-12,"capEC"
"Usp54",2.2091436236626e-28,0.71542810807257,0.425,0.273,3.91128878569464e-24,"capEC"
"Prkag2",5.7591119055167e-26,0.715083041543239,0.38,0.239,1.01965076287173e-21,"capEC"
"Phc1",7.78331531970743e-15,0.710711395200343,0.193,0.113,1.3780359773542e-10,"capEC"
"2210408F21Rik",1.64410910748964e-12,0.701648131986598,0.163,0.096,2.9108951748104e-08,"capEC"
"Tiparp",4.24739387521317e-08,0.696795421788436,0.135,0.087,0.0007520010856064,"capEC"
"Lgalsl",5.2536265824279e-25,0.696097523490512,0.346,0.213,9.30154586418859e-21,"capEC"
"Hsph1",2.91196015547696e-16,0.689377283155404,0.254,0.159,5.15562545527196e-12,"capEC"
"Itpripl1",7.09952975078913e-11,0.689268545877334,0.156,0.095,1.25697174237722e-06,"capEC"
"1700042O10Rik",2.61200574740038e-09,0.679454244045459,0.142,0.089,4.62455617577237e-05,"capEC"
"Ulk4",2.66538198135163e-09,0.672938780885654,0.135,0.083,4.71905879798306e-05,"capEC"
"Snhg6",1.5531691043991e-08,0.662734684880917,0.13,0.081,0.0002749885899338,"capEC"
"Notum",1.99337297755672e-12,-0.654266146986994,0.27,0.349,3.52926685676417e-08,"capEC"
"Dapk1",4.91241310419473e-21,0.627589342943619,0.47,0.342,8.69742740097677e-17,"capEC"
"Acer2",3.526805327655e-33,0.616164286477176,0.605,0.433,6.24420883261318e-29,"capEC"
"Zbtb8a",1.12572473953317e-08,0.606040196960533,0.123,0.074,0.0001993095651343,"capEC"
"Trim56",3.27400025058906e-18,0.601786948857945,0.344,0.229,5.79661744366794e-14,"capEC"
"Trim30a",7.16817530239412e-15,0.593809366001666,0.347,0.244,1.26912543728888e-10,"capEC"
