"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Cell_Type"
"Ackr1",2.12932224577317e-16,-5.94209801635119,0.01,0.123,3.7699650361414e-12,"vEC"
"Abcc9",4.83764573495447e-09,5.57908708450121,0.118,0.004,8.56505177373689e-05,"vEC"
"Atp8b1",1.04230183328317e-18,-4.10926638482022,0.009,0.134,1.84539539582785e-14,"vEC"
"Rgs4",4.27367838072506e-07,3.98238274470371,0.105,0.011,0.0075665475730737,"vEC"
"Ndufa4l2",1.56368154092734e-12,3.96117073478648,0.184,0.014,2.76849816821185e-08,"vEC"
"Vtn",4.67874927692133e-14,3.80767434633805,0.234,0.035,8.28372559478922e-10,"vEC"
"Gm5127",1.63436040924701e-92,-3.66373364425525,0.122,0.743,2.89363510457184e-88,"vEC"
"Myl9",1.31306959298837e-12,3.53321805603941,0.211,0.032,2.3247897143859e-08,"vEC"
"Ptgs2os",1.11842269430089e-16,-3.46522334990313,0.016,0.141,1.98016738025973e-12,"vEC"
"Higd1b",1.44284997226244e-11,3.45180671759524,0.176,0.018,2.55456587589064e-07,"vEC"
"Cysltr1",2.30554320946834e-50,-3.28386710602818,0.076,0.472,4.0819642523637e-46,"vEC"
"Plekho1",7.33717561910397e-26,-3.28096799786829,0.031,0.236,1.29904694336236e-21,"vEC"
"Lrg1",1.34922739490812e-42,-3.2228256259132,0.055,0.391,2.38880710268483e-38,"vEC"
"Lcn2",1.41757573115041e-43,-3.17092906581685,0.089,0.461,2.50981783200181e-39,"vEC"
"Ptgs2",1.55550158681014e-51,-3.13177681970838,0.08,0.486,2.75401555944734e-47,"vEC"
"Cald1",1.0522636809639e-18,2.90429285175797,0.4,0.134,1.86303284714659e-14,"vEC"
"Adgrg6",1.06741604915054e-32,-2.90031532036997,0.039,0.299,1.88986011502102e-28,"vEC"
"Emp3",3.81097528286974e-13,-2.7845845925612,0.042,0.176,6.74733173832087e-09,"vEC"
"Fxyd6",4.83521312699243e-21,-2.75639438105882,0.059,0.264,8.56074484134011e-17,"vEC"
"Ppfia2",6.28018846268751e-14,-2.62849059800099,0.03,0.158,1.11190736731882e-09,"vEC"
"Ccl19",9.1467545523902e-10,-2.56511756631274,0.02,0.106,1.61943289350068e-05,"vEC"
"Rgs16",2.44325730742702e-15,-2.5208730197623,0.034,0.176,4.32578706279953e-11,"vEC"
"Ch25h",4.29931165067812e-33,-2.51034255999607,0.063,0.356,7.61193127752561e-29,"vEC"
"Adh1",9.32629315772023e-10,-2.45911297404854,0.026,0.12,1.65122020357437e-05,"vEC"
