"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Cell_Type"
"Nexmif",8.5794895339798e-19,-2.088339247655,0.021,0.119,1.51899862199112e-14,"vcapEC"
"Unc13c",8.32578853639918e-31,-1.93591865562823,0.061,0.239,1.47408086036947e-26,"vcapEC"
"Retreg1",2.43673971831043e-09,1.83991363798257,0.14,0.071,4.31424767126862e-05,"vcapEC"
"Cdk6",4.01397317599642e-16,-1.77377155342946,0.026,0.116,7.10673950810166e-12,"vcapEC"
"P2ry1",2.73290318823339e-15,-1.77272087586008,0.027,0.114,4.83860509476721e-11,"vcapEC"
"Rasgrf2",1.85794812949519e-20,-1.70355462271162,0.044,0.168,3.28949716327123e-16,"vcapEC"
"C530008M17Rik",2.91110247309625e-16,-1.6908304976836,0.02,0.107,5.15410692861691e-12,"vcapEC"
"Egflam",4.07173024878666e-21,-1.56930587712319,0.049,0.18,7.20899840547678e-17,"vcapEC"
"Alcam",1.49647081082216e-27,-1.56717505660764,0.049,0.208,2.64950157056064e-23,"vcapEC"
"Ptprd",1.55734421955163e-22,-1.52584999512696,0.058,0.202,2.75727794071617e-18,"vcapEC"
"Flrt2",9.96649101921507e-57,-1.42882126218201,0.203,0.542,1.76456723495203e-52,"vcapEC"
"Slc39a9",4.92424356594306e-12,-1.42588704568454,0.031,0.106,8.71837323350218e-08,"vcapEC"
"Snx24",1.36708464175167e-15,-1.38199898469554,0.038,0.136,2.42042335822134e-11,"vcapEC"
"Cpq",6.53962565935625e-24,-1.37856588407269,0.057,0.207,1.15784072298902e-19,"vcapEC"
"Gm4258",6.26244788989618e-17,-1.37259365716921,0.051,0.164,1.10876639890612e-12,"vcapEC"
"Colca2",5.31521922469523e-13,-1.29440132518955,0.035,0.119,9.41059563732291e-09,"vcapEC"
"Tmem37",2.62220294225005e-11,-1.22100859525513,0.032,0.105,4.64261030925371e-07,"vcapEC"
"Tex14",2.42756219795768e-14,-1.21607191256262,0.067,0.176,4.29799887148407e-10,"vcapEC"
"Dmd",3.67394853594032e-12,-1.20406888473872,0.038,0.12,6.50472588288234e-08,"vcapEC"
"Per3",2.2116992799591e-14,-1.17040981981841,0.041,0.136,3.91581357516758e-10,"vcapEC"
"Fendrr",2.1041227954152e-29,-1.16471945597526,0.083,0.276,3.72534940928262e-25,"vcapEC"
"Xist",1.60454504532173e-27,-1.15572397924865,0.199,0.409,2.84084700274212e-23,"vcapEC"
"Cnksr3",3.40588852670266e-10,-1.15111352758587,0.033,0.102,6.03012563652707e-06,"vcapEC"
"9430038I01Rik",4.17058950386599e-10,-1.14962435197881,0.042,0.115,7.38402871659474e-06,"vcapEC"
"Purg",3.88120670088317e-13,-1.14773386470882,0.039,0.127,6.87167646391365e-09,"vcapEC"
"Borcs7",1.79680132791024e-11,-1.13771297568843,0.031,0.104,3.18123675106508e-07,"vcapEC"
"Mtmr11",7.72949715201393e-12,-1.11958047707499,0.033,0.109,1.36850747076407e-07,"vcapEC"
"Csgalnact1",3.88206093646433e-40,-1.114177662335,0.197,0.493,6.8731888880101e-36,"vcapEC"
"Lcorl",3.04406223394263e-36,-1.11342801742267,0.155,0.415,5.38951218519543e-32,"vcapEC"
"2610037D02Rik",2.07099591235864e-11,-1.11151100904002,0.042,0.122,3.66669826283096e-07,"vcapEC"
"Ghr",8.38616752425509e-27,-1.1007288436503,0.129,0.333,1.48477096016936e-22,"vcapEC"
"Tcf7l1",8.81491685484176e-17,-1.08993609862222,0.06,0.18,1.56068102914973e-12,"vcapEC"
"Gm46367",4.91710164192178e-11,-1.08585128116951,0.033,0.107,8.7057284570225e-07,"vcapEC"
"Mbd5",6.36357240520472e-35,-1.0803336522641,0.185,0.453,1.1266704943415e-30,"vcapEC"
"Lyl1",1.152293187594e-18,-1.07968110151339,0.063,0.194,2.04013508863517e-14,"vcapEC"
"Casp12",4.86012312022649e-13,-1.07793223762265,0.033,0.115,8.60484798436101e-09,"vcapEC"
"Nr3c2",4.25911626816296e-30,-1.06054482622081,0.143,0.372,7.54076535278252e-26,"vcapEC"
"Prdm5",7.20274236678756e-24,-1.0582871058502,0.086,0.256,1.27524553603974e-19,"vcapEC"
"Tnfrsf1b",5.50777178287116e-10,-1.05293546600508,0.033,0.101,9.75150994157338e-06,"vcapEC"
"Gab2",1.43692425433734e-28,-1.0476820410843,0.144,0.363,2.54407439230426e-24,"vcapEC"
"Agmo",4.15421964111478e-11,-1.04483266673927,0.059,0.147,7.35504587459371e-07,"vcapEC"
"Maob",1.15012717030804e-18,-1.01692315055604,0.069,0.205,2.03630015503038e-14,"vcapEC"
"Kcnq1ot1",4.03999749201447e-13,-1.00073467818455,0.057,0.156,7.15281555961162e-09,"vcapEC"
"4930517O19Rik",2.48948911068367e-18,-0.988957686669818,0.095,0.243,4.40764047046544e-14,"vcapEC"
"Ypel2",1.45613521618574e-09,-0.985727833305893,0.049,0.122,2.57808740025685e-05,"vcapEC"
"Tbc1d5",1.71682320763571e-32,-0.983965763270742,0.229,0.498,3.03963548911903e-28,"vcapEC"
"Cnst",2.42253649852618e-11,-0.983857967837185,0.036,0.114,4.28910087064059e-07,"vcapEC"
"Gulp1",2.66172388063589e-38,-0.965905854076317,0.204,0.495,4.71258213066584e-34,"vcapEC"
"Sned1",5.77201702158942e-13,-0.965121312410551,0.046,0.137,1.02193561367241e-08,"vcapEC"
"Abhd14b",2.04169347940116e-15,-0.961034624696417,0.052,0.16,3.61481830527975e-11,"vcapEC"
"Fbxl7",2.51400004088022e-26,-0.95697703828211,0.191,0.415,4.45103707237842e-22,"vcapEC"
"B4galt5",6.31813652607237e-23,-0.95604064939689,0.101,0.277,1.11862607194111e-18,"vcapEC"
"Znrf3",3.66394977725813e-26,-0.9549085629283,0.12,0.321,6.48702308063552e-22,"vcapEC"
"Gm19522",1.40379907103091e-11,-0.951322795844595,0.052,0.139,2.48542625526023e-07,"vcapEC"
"Tshz3",1.65385936628386e-17,-0.95071594059391,0.076,0.208,2.92815800800557e-13,"vcapEC"
"Tanc2",8.48553663548283e-16,-0.949402212699277,0.051,0.16,1.50236426131224e-11,"vcapEC"
"Edn3",1.00743358643575e-13,-0.94091976621135,0.065,0.171,1.7836611647845e-09,"vcapEC"
"Zfp280c",2.44699426027247e-10,-0.939709889331524,0.044,0.12,4.3324033378124e-06,"vcapEC"
"Clybl",3.40932269151585e-14,-0.938271407714351,0.052,0.154,6.03620582532881e-10,"vcapEC"
"Tcf12",1.29308112723298e-53,-0.928820430199216,0.483,0.81,2.28940013576598e-49,"vcapEC"
"Btrc",9.54259040063067e-14,-0.928783788201909,0.074,0.185,1.68951563043166e-09,"vcapEC"
"Dipk2b",2.07970035441607e-31,-0.919437336338915,0.236,0.5,3.68210947749365e-27,"vcapEC"
"Laptm4b",4.33629833948892e-14,-0.918699107936721,0.055,0.159,7.67741621006514e-10,"vcapEC"
"Ankrd33b",1.62850227615438e-16,-0.91861947186443,0.073,0.199,2.88326327993133e-12,"vcapEC"
"Gm20275",2.90851070165645e-12,-0.917300128022333,0.061,0.158,5.14951819728274e-08,"vcapEC"
"Klhl12",3.75176367523976e-11,-0.916213419795911,0.042,0.122,6.64249758701199e-07,"vcapEC"
"Scmh1",5.11734911625188e-33,-0.913661354776292,0.231,0.504,9.06026661032396e-29,"vcapEC"
"Ppm1l",1.19105900311018e-16,-0.912295137233683,0.092,0.228,2.10876996500657e-12,"vcapEC"
"Dtnb",1.18943322450941e-10,-0.90423843078129,0.052,0.134,2.10589152399391e-06,"vcapEC"
"Sh3rf1",6.16843465026132e-32,-0.902057921921731,0.25,0.525,1.09212135482877e-27,"vcapEC"
"Gm32688",1.0913664882229e-20,-0.901960884918655,0.1,0.267,1.93226436739865e-16,"vcapEC"
"Samd12",1.95477949678568e-39,-0.901032099654332,0.378,0.679,3.46093709905905e-35,"vcapEC"
"Frmd6",2.89678838239425e-12,-0.898985234086453,0.033,0.114,5.12876383102901e-08,"vcapEC"
"March3",3.8634141338559e-14,-0.895450277027367,0.074,0.186,6.84017472399187e-10,"vcapEC"
"Unc13b",2.1958332108184e-32,-0.887309486297737,0.255,0.53,3.88772269975398e-28,"vcapEC"
"Rfx3",9.86638589486677e-15,-0.880588574301261,0.073,0.19,1.74684362268616e-10,"vcapEC"
"Dennd4a",1.72642158708155e-13,-0.878596203274519,0.054,0.153,3.05662941992788e-09,"vcapEC"
"Tnfrsf11a",8.32039069014373e-15,-0.878412426396141,0.071,0.188,1.47312517168995e-10,"vcapEC"
"Lrba",3.23053709850667e-28,-0.877790548608473,0.199,0.442,5.71966593290605e-24,"vcapEC"
"Kansl1l",4.4249130290454e-21,-0.876708205453348,0.15,0.338,7.83430851792488e-17,"vcapEC"
"Stk3",2.26377676321707e-34,-0.875502857809398,0.225,0.512,4.00801675927583e-30,"vcapEC"
"Cttnbp2",3.96462948239535e-10,-0.875467331579359,0.034,0.104,7.01937649858097e-06,"vcapEC"
"Alkbh3",2.46152841058519e-10,-0.87520664891921,0.037,0.11,4.35813605094108e-06,"vcapEC"
"Hdac8",1.49885207300053e-19,-0.874194078782959,0.113,0.272,2.65371759524743e-15,"vcapEC"
"Sik2",3.22975839057874e-14,-0.874062405292667,0.089,0.21,5.71828723051966e-10,"vcapEC"
"Camk2d",7.25840773897836e-26,-0.872278110847861,0.17,0.391,1.28510109018612e-21,"vcapEC"
"Ophn1",1.70854138040216e-23,-0.871060409022776,0.176,0.389,3.02497251400202e-19,"vcapEC"
"Cacna1a",8.55232565832818e-22,-0.867848885045862,0.156,0.35,1.514189257807e-17,"vcapEC"
"Tef",2.25196735924249e-18,-0.867803217392997,0.093,0.24,3.98710820953882e-14,"vcapEC"
"Tmlhe",2.28726044920442e-10,-0.865001821140867,0.046,0.123,4.04959462531643e-06,"vcapEC"
"Brwd3",1.02434157563494e-10,-0.864807640171534,0.054,0.139,1.81359675966165e-06,"vcapEC"
"Zfp1",1.52648962864037e-10,-0.862697512672633,0.033,0.105,2.70264988750778e-06,"vcapEC"
"Mrtfa",1.69450061694104e-09,-0.85984400995819,0.055,0.133,3.0001133422941e-05,"vcapEC"
"Pde4dip",6.54383382882603e-10,-0.859549432591183,0.041,0.114,1.15858577939365e-05,"vcapEC"
"Il2rg",1.93471703871182e-13,-0.858519761018705,0.078,0.191,3.42541651703928e-09,"vcapEC"
"Lmo7",1.71043651987103e-15,-0.857115690118291,0.099,0.232,3.02832785843165e-11,"vcapEC"
"Fam126a",5.00906090842293e-13,-0.85660650549617,0.06,0.161,8.86854233836279e-09,"vcapEC"
"Kif16b",1.53824938509672e-10,-0.854251609665018,0.071,0.162,2.72347053631375e-06,"vcapEC"
"Gbp4",7.69423518930847e-20,-0.853999574860349,0.106,0.266,1.36226434026707e-15,"vcapEC"
"Zfp933",2.54756722501164e-09,-0.853112463337509,0.046,0.118,4.51046777188311e-05,"vcapEC"
"4930594M22Rik",1.5508523158537e-10,-0.852435960507517,0.041,0.116,2.74578402521897e-06,"vcapEC"
"Rras2",8.33982597373774e-22,-0.851602971451144,0.116,0.294,1.47656618865027e-17,"vcapEC"
"Gpatch2",2.72838625401323e-15,-0.850455019661901,0.077,0.2,4.83060786273043e-11,"vcapEC"
"Ammecr1",6.12932718619922e-09,-0.850364342683634,0.047,0.116,0.0001085197378316,"vcapEC"
"Abcb7",2.69935545904742e-15,-0.849080823135625,0.087,0.214,4.77920884024345e-11,"vcapEC"
"Mgat4a",5.44750692975944e-13,-0.845491461906627,0.051,0.145,9.64481101913909e-09,"vcapEC"
"Kalrn",6.22196531338054e-22,-0.837822576270635,0.099,0.27,1.10159895873402e-17,"vcapEC"
"Ncoa1",1.42422952233676e-44,-0.832915963223677,0.405,0.739,2.52159836929724e-40,"vcapEC"
"Mid1",1.2291966533863e-13,-0.830268939771211,0.07,0.178,2.17629267482044e-09,"vcapEC"
"Ttc39b",2.98432795456152e-10,-0.828786186307688,0.038,0.111,5.28375264355117e-06,"vcapEC"
"Asap3",2.09007248499899e-10,-0.828717011537822,0.041,0.116,3.70047333469072e-06,"vcapEC"
"Atp11b",5.01040255760328e-29,-0.828421195796244,0.229,0.485,8.8709177282366e-25,"vcapEC"
"Fchsd2",1.42116861544587e-18,-0.826492151561889,0.093,0.242,2.51617903364691e-14,"vcapEC"
"Grk5",1.71073316855283e-19,-0.825569861673853,0.119,0.285,3.02885307492278e-15,"vcapEC"
"Zfp994",4.31895961659468e-09,-0.824787996037928,0.039,0.106,7.64671800118087e-05,"vcapEC"
"Bche",3.67736608401254e-14,-0.824690676737669,0.096,0.22,6.51077665174421e-10,"vcapEC"
