"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Adamts9",0,3.86656946116327,0.309,0.079,0
"AY036118",0,2.14905357628854,0.991,0.804,0
"Maml2",0,1.69212918231198,0.758,0.505,0
"Arl15",0,1.63970813849765,0.818,0.621,0
"Magi1",0,1.62125720531874,0.624,0.366,0
"Tsc22d3",0,-1.43695524690388,0.404,0.734,0
"Tuba1a",0,-1.35992416291297,0.639,0.88,0
"Sox18",0,-1.32479540074149,0.588,0.862,0
"Dusp1",0,-1.30012289921237,0.467,0.725,0
"Klf2",0,-1.28352572404509,0.893,0.977,0
"Uba52",0,-1.26265889216551,0.465,0.782,0
"Vwa1",0,-1.24736091207868,0.782,0.949,0
"Fryl",0,1.24037186627734,0.791,0.606,0
"Insr",0,1.19179071210737,0.806,0.649,0
"Plcb1",0,1.17972947322748,0.943,0.909,0
"Ptprg",0,1.15797787192056,0.987,0.97,0
"Itm2a",0,-1.15065659533042,0.942,0.985,0
"Tubb5",0,-1.14272606445583,0.512,0.802,0
"Icam2",0,-1.11832329656308,0.494,0.776,0
"Rps28",0,-1.11656975133455,0.672,0.897,0
"Sox17",0,-1.10270948396162,0.594,0.832,0
"Dock1",0,1.08783999188209,0.733,0.556,0
"Hspb1",0,-1.08652093034769,0.922,0.978,0
"Prkch",0,1.08121828244382,0.795,0.658,0
"Jund",0,-1.07694134204161,0.64,0.861,0
"Dock4",0,1.04407583382474,0.875,0.784,0
"Apoe",0,-1.04310704181226,0.734,0.912,0
"Crip2",0,-1.03971120746718,0.84,0.97,0
"Pkp4",0,1.03419169423467,0.761,0.583,0
"Apbb2",0,1.03120059370128,0.853,0.748,0
"Ctsh",0,-1.02575192619079,0.523,0.777,0
"Klf12",0,1.02396726706746,0.858,0.768,0
"Mecom",0,1.017559214096,0.939,0.886,0
"Exoc6b",0,1.01452344474058,0.787,0.666,0
"Syne1",0,1.00370339725475,0.898,0.801,0
"Rpl38",0,-0.999757264604797,0.943,0.991,0
"Actg1",0,-0.99963092667896,0.885,0.978,0
"Bsg",0,-0.999183408608432,0.992,0.999,0
"Msi2",0,0.993318950250528,0.84,0.705,0
"Hspa8",0,-0.989417568697872,0.905,0.986,0
"Ptprm",0,0.98008575533324,0.946,0.905,0
"Tcf12",0,0.950857840494086,0.822,0.714,0
"Ramp2",0,-0.941152847457213,0.912,0.971,0
"Prex2",0,0.931023493342001,0.88,0.792,0
"Arhgef12",0,0.926026011923278,0.843,0.718,0
"Vim",0,-0.900751934594461,0.825,0.95,0
"Itm2b",0,-0.889764218209845,0.943,0.987,0
"Id3",0,-0.888502160434881,0.871,0.965,0
"Pltp",0,-0.887505162462101,0.968,0.996,0
"Myl12b",0,-0.887240021303897,0.798,0.938,0
"Id1",0,-0.873561878033787,0.83,0.94,0
"Ebf1",0,0.870763466518788,0.93,0.9,0
"Tuba1b",0,-0.858894167036251,0.595,0.838,0
"Dnaja1",0,-0.83530242125883,0.759,0.921,0
"Igf1r",0,0.830785306200153,0.979,0.977,0
"Wfdc1",0,-0.829672214413996,0.694,0.882,0
"Atp10a",0,0.82966617208257,0.908,0.868,0
"Rps21",0,-0.812123031825196,0.919,0.981,0
"Sptbn1",0,0.803084676564373,0.999,0.996,0
"Rps27",0,-0.801638459408829,0.897,0.973,0
"Utrn",0,0.793316955019268,0.975,0.953,0
"Zbtb20",0,0.768662202021837,0.972,0.954,0
"Rpl37a",0,-0.754522203729407,0.923,0.982,0
"Cldn5",0,-0.753860896172313,0.992,0.998,0
"Ubb",0,-0.752417614560915,0.949,0.987,0
"Rps29",0,-0.74883161771181,0.963,0.991,0
"Rpl37",0,-0.746631454453081,0.902,0.974,0
"Egfl7",0,-0.741253985133552,0.916,0.985,0
"Flt1",0,0.724786470466682,0.999,0.999,0
"Tsc22d1",0,-0.706159441522706,0.916,0.983,0
"Nfkbia",0,-0.703101207401318,0.829,0.95,0
"Esam",0,-0.692766231682646,0.816,0.941,0
"Rps4x",0,-0.692087525643597,0.896,0.97,0
"Slc9a3r2",0,-0.684479876212932,0.879,0.962,0
"Srgn",0,-0.671877046609511,0.849,0.948,0
"Actb",0,-0.648869919529324,0.988,0.995,0
"Rps5",0,-0.642612805630256,0.884,0.964,0
"Rpl6",0,-0.632400683244065,0.899,0.968,0
"Macf1",0,0.632030950652274,0.976,0.961,0
"Fau",0,-0.626723286718285,0.957,0.988,0
"Rps7",0,-0.617782149376521,0.883,0.959,0
"H3f3a",0,-0.606428224134027,0.906,0.972,0
"Foxp1",0,0.605364744386895,0.946,0.936,0
"Rps3a1",0,-0.603642792331487,0.914,0.97,0
"Rpl35a",0,-0.586713968703909,0.927,0.979,0
"Gm42418",0,0.571905861159706,1,1,0
"H3f3b",0,-0.551506297686607,0.945,0.976,0
"Malat1",0,-0.550183663848236,0.992,0.988,0
"Eif1",0,-0.54983880470964,0.922,0.974,0
"Rpl34",0,-0.545900706253807,0.916,0.97,0
"Slc2a1",0,-0.536653779019163,0.973,0.992,0
"mt-Cytb",0,-0.524234054140025,0.989,0.994,0
"Rpl41",0,-0.513568539935447,0.954,0.988,0
"Rpl9",0,-0.51112080003347,0.947,0.981,0
"Rpl27a",0,-0.503233885616781,0.96,0.987,0
"Cst3",4.01392314942152e-306,-0.663239226393163,0.876,0.958,7.33022645547359e-302
"Tshz2",1.17663406434156e-305,1.14970284844492,0.785,0.657,2.14876912830055e-301
"Rpl21",1.8589674690987e-305,-0.536706707270059,0.929,0.975,3.39484639206804e-301
"Rps20",1.09828169905265e-304,-0.569849077667099,0.925,0.974,2.00568203880996e-300
"Pard3",6.65291716299538e-304,1.09344688536435,0.731,0.558,1.21495573230622e-299
"Tinagl1",1.85300426479679e-302,-0.99772522781626,0.567,0.791,3.38395638837189e-298
"Rps27rt",2.36828503573118e-301,-1.48364724797769,0.187,0.473,4.32496213225228e-297
"mt-Nd2",6.1467787922613e-300,-0.465284076997996,0.978,0.992,1.12252474304276e-295
"Dach1",1.69808692787301e-295,1.33817493087828,0.69,0.516,3.10104634768169e-291
"Ablim1",1.80686403790916e-295,0.580954889068378,0.962,0.949,3.29969510602971e-291
"Gsta4",1.02577916923819e-293,-1.17140272697709,0.432,0.688,1.87327791886278e-289
"Exoc4",1.67905319692579e-284,1.18221374662805,0.687,0.508,3.06628694822587e-280
"Ier2",4.9826815941788e-284,-1.13464848792793,0.414,0.692,9.09937312728933e-280
"Gnas",6.78042436710655e-283,-0.432505442564996,0.953,0.987,1.238241097921e-278
"Ahnak",1.5820422420256e-281,0.599427867277768,0.946,0.922,2.88912554238715e-277
"Lef1",4.46108286906157e-281,0.65184830548592,0.945,0.93,8.14682953548023e-277
"Fry",4.74764234981907e-279,0.652071226473295,0.934,0.906,8.67014445923959e-275
"Rps24",6.18527771683198e-274,-0.471309871929393,0.959,0.987,1.12955541664786e-269
"Edn1",6.21194673565157e-268,-1.89595156357227,0.212,0.467,1.13442571286469e-263
"Mcc",4.75085307769338e-265,0.962763969905659,0.784,0.669,8.67600789048366e-261
"Ccdc141",3.33284524194233e-261,0.644403124744514,0.953,0.934,6.08644198083507e-257
"Gpx4",9.02849361566316e-261,-0.706717665074195,0.669,0.854,1.64878350409241e-256
"Tcf4",4.73708857256211e-257,0.501995851575629,0.966,0.96,8.65087115121292e-253
"Nfia",4.60109027961116e-256,0.983267077165176,0.752,0.621,8.40251106862591e-252
"Rhoa",2.21641161360489e-255,-0.500303942317899,0.879,0.954,4.04761088876526e-251
"Rhob",1.42995685338315e-254,-0.854290381399553,0.636,0.825,2.61138720564831e-250
"Clic1",6.31681628926978e-253,-0.759913244760598,0.635,0.831,1.15357699074645e-248
"Cyyr1",2.50927549172381e-252,0.752690492804575,0.905,0.878,4.58243890298603e-248
"Srsf3",1.7238862338711e-251,-0.791730925067637,0.558,0.782,3.1481610402954e-247
"Rapgef2",3.1645009715217e-249,0.768451120051005,0.838,0.771,5.77901167419294e-245
"Dnah3",3.87265457598544e-249,2.02942187149421,0.364,0.143,7.07224178666461e-245
"Rbfox2",2.74521250633282e-247,1.10217557128583,0.664,0.484,5.01330707906499e-243
"Cgnl1",7.95093809465124e-246,0.754565620757946,0.827,0.73,1.45200031484521e-241
"Rpl13",6.13672959586963e-240,-0.408944577874179,0.971,0.99,1.12068955879771e-235
"Nrp1",1.32283171945205e-239,1.1779962523571,0.723,0.571,2.41575528606333e-235
"Ftl1",1.44314443872097e-239,-0.569730300316114,0.809,0.928,2.63547037399223e-235
"Myl12a",1.69926235444577e-239,-0.640077626895031,0.749,0.892,3.10319291168887e-235
"mt-Atp6",4.4836534418292e-238,-0.317792028174329,0.996,0.995,8.18804791546849e-234
"Rpl36",2.44752537019713e-237,-0.507829753657127,0.865,0.951,4.469670831054e-233
"Isyna1",3.99147411518116e-237,-1.029520822812,0.363,0.622,7.28923002914383e-233
"Rnaset2b",2.84415601535466e-236,-1.0222160960276,0.311,0.578,5.19399771524067e-232
"Gm2000",2.84600698927853e-236,-1.12803063416212,0.253,0.516,5.19737796382045e-232
"Cfl1",3.72940664741351e-236,-0.569084112634632,0.785,0.912,6.81064241950654e-232
