gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Gkn3,5.65880729739072e-101,-2.38783701381832,0.224,0.667,1.03341138864949e-96
Tuba1a,1.07869437091782e-120,-1.30645303846864,0.72,0.936,1.96991166017013e-116
Edn1,1.02637395188019e-50,-1.18148205513879,0.443,0.735,1.8743641109236002e-46
Bc1,2.73862492233485e-34,-1.16738605334737,0.273,0.522,5.00127683316791e-30
Vwa1,1.95674835677581e-84,-1.10805104479321,0.694,0.877,3.57341384914399e-80
Sox18,3.2838560250450602e-105,-1.08226664027886,0.765,0.96,5.99697787293729e-101
Klf2,4.57403726463125e-123,-1.05816794296903,0.965,0.995,8.35310685266958e-119
Dusp1,1.9810813624527598e-55,-1.02223936904166,0.602,0.846,3.61785078411123e-51
Tubb5,4.4365431622839e-91,-0.981166738062073,0.533,0.866,8.10201512296285e-87
Tinagl1,6.91420027098783e-94,-0.973084334749649,0.777,0.948,1.2626712534878e-89
Jund,1.38017468505854e-63,-0.967374731361832,0.666,0.899,2.5204750098539e-59
Hspb1,2.0422078082992202e-93,-0.962113061801534,0.962,0.987,3.72947989951603e-89
Vim,1.40133926227308e-106,-0.956020216162377,0.937,0.991,2.55912576076309e-102
Icam2,8.634156035176019e-92,-0.948324536926971,0.648,0.915,1.57676957514384e-87
Hspa8,6.30640245567206e-142,-0.943752771849416,0.955,0.995,1.15167521645483e-137
Rps28,6.8711725460788005e-105,-0.941855608127243,0.737,0.955,1.25481353036491e-100
Sox17,3.89295468167208e-94,-0.908351324228158,0.826,0.97,7.10931383966955e-90
Myl12b,4.0756214679568305e-117,-0.906081869448063,0.893,0.973,7.44289992478277e-113
Tm4sf1,2.01780239269258e-86,-0.884100441858106,0.955,0.992,3.6849107295352e-82
Cldn5,2.50073903407289e-145,-0.874684729200641,0.996,0.999,4.5668496240239e-141
Itm2a,7.141870695404139e-56,-0.869672873379156,0.909,0.95,1.3042484263947e-51
Actg1,1.30503538653533e-99,-0.856457919006321,0.96,0.998,2.38325562289081e-95
Tubb2a,1.3966597718555698e-57,-0.849989690012501,0.377,0.708,2.55058007536264e-53
Uba52,2.00535059797577e-77,-0.83988628295333,0.523,0.845,3.66217126202335e-73
Dnaja1,1.8980038826895902e-85,-0.82781937491678,0.827,0.967,3.46613469056774e-81
Tubb4b,5.8918917173812e-56,-0.822851385021883,0.41,0.738,1.07597726542815e-51
Id3,5.51625167571856e-95,-0.822348480273043,0.943,0.988,1.00737788101972e-90
Rasd1,2.67900956701925e-29,-0.810963281592175,0.324,0.572,4.892407271290561e-25
Crip2,3.8049147861276496e-114,-0.802966753225332,0.938,0.984,6.94853538242632e-110
Crip1,2.59230337567181e-53,-0.79733965675348,0.84,0.952,4.73406442465186e-49
Bsg,1.0837123781085298e-92,-0.793019480383222,0.995,0.999,1.9790755449018e-88
Pdgfa,5.5400664376085104e-45,-0.788664702242331,0.382,0.676,1.0117269328360699e-40
Egfl8,1.1292777556763899e-29,-0.787698779446277,0.257,0.488,2.06228703741622e-25
Ctsh,7.49080506386212e-62,-0.770023864971693,0.657,0.893,1.3679708207624998e-57
Itm2b,6.83698741227262e-139,-0.764151302178147,0.981,0.989,1.24857064122923e-134
Tsc22d3,4.4355542721162803e-39,-0.758986808492202,0.523,0.753,8.10020921173874e-35
Ier2,2.12009845576973e-27,-0.753290980504822,0.612,0.809,3.8717237999266804e-23
Id1,7.62794709384462e-58,-0.750603870329781,0.909,0.98,1.3930156982779e-53
Wfdc1,4.27219672417641e-70,-0.741278793264419,0.762,0.934,7.80188565769096e-66
Rps21,3.71633233508511e-111,-0.739301730647316,0.969,0.993,6.78676611033242e-107
Clic1,6.07994792317681e-61,-0.738954613135295,0.719,0.931,1.11032008973055e-56
Gadd45g,7.71681578818718e-31,-0.736177584903573,0.301,0.556,1.40924489923874e-26
Egfl7,4.0188397091475997e-97,-0.727599270085861,0.949,0.991,7.33920507684535e-93
Rps27,1.898706378425e-95,-0.721472947973469,0.949,0.989,3.46741758827973e-91
Hspa1a,4.54098168886746e-26,-0.712651853422021,0.405,0.649,8.29274076020976e-22
Tuba1b,9.551966111865231e-58,-0.712570600705416,0.6,0.869,1.74438005134883e-53
Rpl38,9.072447822968841e-87,-0.711729258447426,0.932,0.985,1.65681042143057e-82
Alas1,1.3701804534054101e-45,-0.708531798907803,0.645,0.86,2.50222354400896e-41
Actb,1.17997886391573e-95,-0.707510185808641,0.996,0.998,2.1548774012829e-91
