gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Adamts9,1.2258411951113e-285,2.08165008379328,0.329,0.066,2.23863119051225e-281
AY036118,0.0,2.03681406464831,0.991,0.781,0.0
Arl15,0.0,1.39063065908698,0.791,0.591,0.0
Maml2,0.0,1.28657359979462,0.737,0.474,0.0
Scgb3a1,2.99051749604901e-134,1.27596499157681,0.294,0.115,5.46128305128471e-130
Hdac9,1.6266094649403898e-147,1.09718604018726,0.521,0.327,2.97051420487414e-143
Magi1,2.44621038813727e-283,1.08876465616452,0.606,0.329,4.46726941081628e-279
Ptprg,0.0,1.05814448831842,0.981,0.964,0.0
Plcb1,0.0,1.05420132193846,0.932,0.902,0.0
Mecom,0.0,1.05105297865779,0.933,0.867,0.0
Dach1,1.00375080378083e-198,0.97688255834653,0.662,0.474,1.83304971786455e-194
Nrp1,7.41473822433316e-202,0.955613773971709,0.745,0.584,1.35407949452772e-197
Dock4,0.0,0.953840131201159,0.886,0.791,0.0
Insr,2.2301740491798902e-277,0.946354922644805,0.794,0.635,4.0727438486123095e-273
Adamts1,3.1797394359899e-40,0.933193521051694,0.472,0.396,5.8068401580047594e-36
Ptprm,0.0,0.923459030089637,0.943,0.895,0.0
Fryl,8.34867253227208e-249,0.9064146741133,0.747,0.559,1.52463457784353e-244
Atrnl1,4.7755526783637e-163,0.886358450384284,0.482,0.272,8.72111430122779e-159
Apbb2,2.05966898929178e-300,0.883440303451537,0.845,0.726,3.7613675082446496e-296
Tshz2,1.36075926732078e-191,0.877198555078138,0.77,0.654,2.48501857398122e-187
Adgrl3,1.1989497172314301e-54,0.87380678087294,0.495,0.407,2.1895219736080397e-50
Wwox,4.29033936009137e-98,0.871813629828749,0.401,0.242,7.83501773939887e-94
Zeb1,1.2968818636428e-186,0.869934481299824,0.7,0.541,2.3683656593844702e-182
Etv6,1.08153785373558e-186,0.868914461831824,0.579,0.368,1.9751044284919202e-182
Klf12,4.04115448204545e-256,0.856915467709397,0.837,0.734,7.3799563151114e-252
Prkg1,1.147511083642e-62,0.847490503062261,0.544,0.469,2.09558474094701e-58
Immp2l,5.8784639140206396e-86,0.84094164272024,0.328,0.183,1.07352507997845e-81
Exoc4,6.34532442018792e-200,0.835551514089689,0.665,0.473,1.15878314561472e-195
Syne1,2.75191276274822e-290,0.832612821788905,0.894,0.801,5.025543087330789e-286
Pard3b,6.69093948631262e-137,0.826851336708998,0.55,0.376,1.2218993689904101e-132
Prkch,1.01721749286274e-236,0.825254656998616,0.784,0.638,1.8576425854659398e-232
Nr3c2,3.5090815442440896e-123,0.8189866799214,0.476,0.3,6.40828471609855e-119
Dnah3,1.51310379816237e-159,0.817482252346597,0.351,0.146,2.76323015620412e-155
Fbxl17,2.18117284119719e-165,0.815267581168116,0.615,0.433,3.9832578425943205e-161
Acer2,6.93608259443034e-130,0.814479655441939,0.607,0.448,1.26666740339487e-125
Exoc6b,1.2766923645484899e-228,0.809911542392219,0.766,0.622,2.33149559613845e-224
Plxna2,1.80778233119042e-179,0.799648550775047,0.712,0.554,3.30137209321994e-175
Dock1,5.72674328695643e-233,0.796632517920323,0.719,0.525,1.04581785906398e-228
Elmo1,5.29642205854864e-169,0.794376649155486,0.662,0.49,9.67232596332153e-165
Tcf12,4.06301887721114e-240,0.783363068465915,0.808,0.687,7.419885073562981e-236
Prex2,3.13224378463109e-241,0.776314618102814,0.857,0.755,5.720103599493289e-237
Pbx1,7.17135524783059e-141,0.776117306220687,0.503,0.312,1.3096328953588201e-136
Angpt2,3.15077620606542e-42,0.77478719609112,0.125,0.053,5.75394750751667e-38
Mllt3,7.8229485146452e-133,0.770195325622771,0.569,0.395,1.42862685774451e-128
Msi2,1.7452623042885998e-275,0.769431781133009,0.831,0.689,3.18719802009184e-271
Arhgef12,5.87041606586688e-271,0.765584211974104,0.833,0.693,1.07205538194861e-266
Ebf1,9.845674117638409e-232,0.763895881091237,0.911,0.884,1.79801700736313e-227
Ptprk,6.92766268009582e-107,0.762671346706167,0.464,0.303,1.2651297586391e-102
Rbfox2,3.4062283136817003e-174,0.752363785444436,0.638,0.447,6.22045414644552e-170
Rapgef5,7.05656143504031e-88,0.748799208803982,0.488,0.347,1.28866924926706e-83
Sptbn1,0.0,0.747251826925631,0.998,0.995,0.0
Pard3,2.8658324391537903e-180,0.745362833495852,0.703,0.535,5.2335832003826494e-176
Igf1r,0.0,0.745217746391434,0.979,0.982,0.0
Psd3,2.6168872834629698e-138,0.742022585836869,0.527,0.341,4.77895955706008e-134
Gab2,8.33520847604365e-103,0.737324010021369,0.492,0.336,1.52217577189509e-98
Pkp4,2.1948212883413303e-201,0.734253838676492,0.726,0.538,4.00818263676893e-197
Pitpnc1,7.72436086175638e-156,0.733547502998075,0.751,0.634,1.4106227805739502e-151
Sorbs2os,4.16015374619811e-170,0.732444711180042,0.42,0.198,7.597272771306989e-166
Frmd5,6.8773204176865e-55,0.732438198995161,0.467,0.372,1.25593625467791e-50
Mcc,1.96886782760613e-169,0.732389904883426,0.772,0.656,3.59554642677431e-165
Nav2,9.76893945595303e-113,0.729048485135876,0.451,0.277,1.78400372344614e-108
Stard13,4.81746889177257e-130,0.72627052357745,0.598,0.444,8.79766169015507e-126
Utrn,0.0,0.723795240717267,0.967,0.944,0.0
Nfia,3.3546319705324903e-155,0.717648524588069,0.713,0.577,6.126228904586441e-151
Samd12,2.75934382917976e-95,0.712026324799775,0.649,0.545,5.039113700848071e-91
Zbtb20,0.0,0.711742489777511,0.966,0.945,0.0
Ghr,8.73087071076613e-78,0.705720775736194,0.369,0.23,1.59443160920011e-73
Col4a2,1.21342177858161e-98,0.698846256910314,0.733,0.659,2.2159508520457398e-94
Sbf2,4.3750863543004e-155,0.694801042642936,0.689,0.531,7.989782700223391e-151
Nav1,7.15079694319837e-164,0.694762740306901,0.695,0.533,1.30587853776689e-159
Atp10a,4.3182503958555196e-185,0.690376416673015,0.895,0.856,7.88598887291136e-181
Stox2,1.1331270045229599e-92,0.687106081676087,0.555,0.421,2.06931653565982e-88
Lrba,1.39974212916064e-130,0.686657606379864,0.514,0.329,2.55620907627316e-126
Lrch1,1.75501838844072e-142,0.685388124544725,0.678,0.533,3.20501458097045e-138
Flt1,0.0,0.684317699954736,1.0,0.999,0.0
Itga6,4.83125261874929e-210,0.68297415147727,0.907,0.863,8.82283353235995e-206
Ivns1abp,7.9812701633948e-55,0.674557860429198,0.393,0.276,1.45753955723916e-50
Arhgap26,7.32107240886716e-139,0.671313721993838,0.556,0.367,1.3369742433073198e-134
Vti1a,3.85212923933793e-106,0.670250555491784,0.501,0.343,7.03475841687893e-102
Fmnl2,3.84258105175899e-87,0.66045298294068,0.451,0.304,7.017321516722259e-83
Smyd3,9.116793846744851e-88,0.657099168582925,0.33,0.181,1.6649088922925398e-83
St6galnac3,6.00107058327502e-79,0.655427163301995,0.75,0.725,1.09591550991768e-74
Gmds,1.5231209862391e-77,0.655027989361915,0.443,0.314,2.78152354506984e-73
Sik3,1.92953052557339e-105,0.6499810537408,0.536,0.385,3.52370864580213e-101
Bcas3,8.46836207721462e-98,0.649343901412216,0.454,0.298,1.54649228254093e-93
Pde7b,2.18073794821515e-63,0.648505141640604,0.449,0.332,3.98246364103051e-59
Dennd1a,2.9809720591061e-114,0.646308802766538,0.53,0.364,5.44385117433956e-110
Cgnl1,7.54298743749087e-196,0.645305405347955,0.82,0.708,1.37750036583458e-191
Lpp,1.9947558480266702e-110,0.644449596171789,0.518,0.349,3.6428231296663004e-106
Rabgap1l,7.40756028360304e-105,0.643278516673953,0.462,0.292,1.35276865899159e-100
Hmcn1,4.82090470118977e-103,0.641456347596729,0.859,0.846,8.80393616531276e-99
Agap1,4.1911346754943e-122,0.641030221472998,0.447,0.261,7.65385014438769e-118
Map4k3,4.4510894431990705e-111,0.639325282023154,0.623,0.49,8.12857954117013e-107
Diaph2,1.25659578916574e-85,0.633782228788139,0.507,0.367,2.29479523017447e-81
Itpkb,7.96422865221813e-114,0.63372154451624,0.63,0.485,1.45442743646807e-109
Nfat5,4.57607397325798e-130,0.632740031482627,0.673,0.531,8.35682628996373e-126
Rapgef2,1.41416364294995e-170,0.632278033561601,0.814,0.738,2.58254564475521e-166
Dysf,6.42550260525255e-91,0.631289399814437,0.309,0.161,1.17342528577122e-86
Prkce,2.04027685847781e-105,0.629958603971983,0.447,0.278,3.7259535989521697e-101
Lncpint,1.9701993001474698e-94,0.628587260500415,0.495,0.344,3.59797796192931e-90
9530026P05Rik,4.90842403199493e-30,0.624853818331084,0.565,0.564,8.96376396722914e-26
Lama4,3.42328260827944e-82,0.624543853843597,0.406,0.256,6.2515986992399e-78
Tspan5,4.2301166691675e-169,0.624226997503905,0.9,0.858,7.72503906123369e-165
Rai14,1.74452318922767e-87,0.624103881723986,0.559,0.43,3.1858482481675598e-83
Mbd5,1.19417510943269e-106,0.6240731074165,0.513,0.347,2.18080258484598e-102
Tbc1d4,5.21306830967471e-130,0.617621358523748,0.813,0.735,9.52010534712795e-126
Kansl1l,4.56181320536629e-72,0.61554569539483,0.452,0.322,8.33078327563992e-68
Stk3,7.38540510992419e-106,0.615168944693258,0.553,0.399,1.34872268117436e-101
Cdkal1,5.31177485027125e-112,0.614560609293508,0.421,0.246,9.70036323156536e-108
Ssh2,4.6949690899954096e-82,0.611443473520179,0.515,0.386,8.573952552149619e-78
Cyyr1,7.026607444876849e-134,0.608935305678736,0.882,0.864,1.2831990515834099e-129
Myh9,8.69135074148902e-137,0.608016401570586,0.809,0.736,1.58721447241072e-132
Dip2c,1.58276343348845e-84,0.607860035818386,0.453,0.306,2.8904425822365997e-80
Grk5,5.6498053314395994e-83,0.607600295658858,0.363,0.216,1.0317674496274999e-78
Ahnak,8.226656080488919e-227,0.606231185651994,0.941,0.906,1.5023519334188898e-222
