gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Bc1,8.271028656071939e-286,-1.18153924860785,0.11,0.347,1.46736319387372e-281
Edn1,8.07012234509349e-117,-0.902060718513873,0.307,0.467,1.43172040524304e-112
Tfrc,6.2745833889174295e-195,-0.784510903636641,0.521,0.684,1.11317383902784e-190
Pdgfb,0.0,-0.700403699665317,0.804,0.905,0.0
Btg1,2.8491628979454396e-204,-0.675740531622297,0.398,0.594,5.054699897245e-200
Fos,2.60205520372234e-46,-0.555629187854019,0.3,0.393,4.6163061369238093e-42
mt-Atp8,3.86903146448814e-183,-0.541993588323596,0.454,0.63,6.86404872114842e-179
Cobll1,3.60013459604663e-162,-0.534396574901034,0.682,0.788,6.3869987868463194e-158
Frmd5,3.6977134741143e-65,-0.532486071526987,0.301,0.411,6.56011347442618e-61
Vwf,5.06913657357738e-74,-0.530409512961669,0.302,0.425,8.993155195183639e-70
Gm11867,1.75914787941506e-174,-0.525025996000004,0.033,0.174,3.12090425287025e-170
Rapgef4,1.8524763555308e-176,-0.522783199093067,0.723,0.822,3.28647830234719e-172
Apcdd1,7.04174595120007e-140,-0.519836162615525,0.694,0.792,1.24927614920241e-135
Usp53,5.35848687973979e-109,-0.513078802371895,0.502,0.621,9.506491573346361e-105
Rundc3b,1.27786948534781e-138,-0.491893282577778,0.741,0.823,2.26706825395554e-134
Nmt1,6.21835831149132e-153,-0.489041218013887,0.484,0.636,1.10319894804167e-148
Adamts1,4.97422861522461e-49,-0.488618592743099,0.318,0.411,8.82477898626997e-45
Slc38a2,1.07086579924509e-114,-0.487636461494855,0.542,0.669,1.89982301444071e-110
Fut8,1.80501193623922e-106,-0.456476973289269,0.665,0.763,3.202271676082e-102
Cfh,8.122858078972381e-35,-0.443448350277676,0.229,0.31,1.4410762517904898e-30
Slc6a6,1.09501201897097e-194,-0.424403578929214,0.928,0.962,1.9426608228563901e-190
Fryl,1.06595394614958e-86,-0.422173158900307,0.503,0.606,1.89110889586397e-82
Junb,3.2517684477902203e-31,-0.41856093655626,0.509,0.574,5.76896240322464e-27
Grb14,1.40767379486982e-78,-0.398978346501581,0.573,0.667,2.4973540794785402e-74
Stox2,3.8232304751151004e-59,-0.398280582034656,0.373,0.477,6.782793185901689e-55
Tmtc2,2.61801293641591e-84,-0.396367885331064,0.846,0.887,4.6446167504954696e-80
Lpar6,1.40059618285469e-58,-0.393179196298261,0.242,0.348,2.4847976880025102e-54
Lars2,6.0697165356572595e-158,-0.389905828441266,0.872,0.921,1.07682841059096e-153
Ap2b1,2.96260805995124e-100,-0.389739569865078,0.53,0.644,5.2559629591595e-96
Dync1i2,1.1207688972997001e-99,-0.387973749040108,0.744,0.811,1.98835610069939e-95
Sema6a,7.140224039248011e-61,-0.387775262585305,0.494,0.586,1.26674714680299e-56
Tgfb2,1.4399877329524902e-47,-0.387463774783658,0.307,0.402,2.55468223703102e-43
Rpl9-ps6,1.8133614272198499e-96,-0.384847110641666,0.234,0.375,3.2170845080307295e-92
Ptprm,1.75402358222581e-105,-0.381849634088983,0.879,0.905,3.11181323722681e-101
Ier3,2.18661227527385e-37,-0.380022857137752,0.468,0.542,3.87926883756334e-33
Jun,8.868543778429391e-35,-0.37763998857385,0.873,0.88,1.5733683517311598e-30
Lrrn3,3.31448602428066e-51,-0.376895271898184,0.26,0.359,5.88022965567632e-47
Lama4,2.68944173307307e-73,-0.373868278673725,0.17,0.285,4.77133857864494e-69
Fli1,2.06607344164632e-78,-0.366636171029251,0.797,0.841,3.6654208928247404e-74
Clec2d,3.2155517291308996e-95,-0.365919707529652,0.829,0.877,5.704710322651131e-91
Ndnf,3.7249836053004e-32,-0.363125414923044,0.297,0.374,6.60849341416344e-28
Ebf1,3.5482071340137e-90,-0.360952134662192,0.872,0.9,6.2948742764537096e-86
Ier5,1.32106906036263e-79,-0.360079791437705,0.521,0.631,2.34370861998935e-75
Pcp4l1,8.23034046138632e-105,-0.348823641391011,0.86,0.905,1.46014470125455e-100
Gsta4,1.59808399790298e-47,-0.34501922620853,0.63,0.687,2.83516082067968e-43
Slc7a1,1.87638327020145e-42,-0.344806962554089,0.753,0.789,3.3288915596644e-38
Ap2a2,1.08151299345664e-68,-0.34208695233086,0.472,0.577,1.91871220169142e-64
Slco1c1,5.905078811511619e-128,-0.341408747371407,0.96,0.97,1.04762003195028e-123
Thsd1,1.44185753180939e-71,-0.337627736413455,0.488,0.591,2.5579994471830303e-67
Cdk8,5.92357860015752e-140,-0.330475045834447,0.956,0.979,1.05090207945395e-135
Klf12,9.0892901305801e-70,-0.328499005287305,0.706,0.767,1.61253096206622e-65
Ushbp1,3.01202569338595e-65,-0.327889132196935,0.562,0.648,5.343634782636011e-61
Hspa1a,7.921717162973229e-48,-0.325370461978345,0.435,0.542,1.40539184188308e-43
Sgpp2,2.1525545639134e-56,-0.32429089552987,0.433,0.534,3.81884705183875e-52
AC149090.1,2.98123544553332e-47,-0.323494388037722,0.412,0.497,5.2890098039206595e-43
Tnfrsf19,1.85136288737969e-50,-0.323050714690994,0.423,0.507,3.28450289850031e-46
Plxdc2,1.6490085694985298e-86,-0.318425924116703,0.086,0.196,2.92550610314734e-82
Maoa,8.114951276423851e-67,-0.312834969927274,0.684,0.74,1.43967350595036e-62
Dnm3,8.291923413310571e-60,-0.312595189282673,0.765,0.81,1.4710701327554298e-55
Grrp1,1.31204216667751e-58,-0.311656173319222,0.653,0.718,2.32769400790258e-54
Dach1,5.47286118734611e-36,-0.31124412904564,0.44,0.515,9.70940303247072e-32
Slc40a1,6.41540438545431e-38,-0.309519329477606,0.586,0.638,1.13815689202345e-33
Sox17,1.46124011813022e-63,-0.308235064776229,0.785,0.831,2.59238609357482e-59
Itm2a,8.373648858093939e-114,-0.306476463523255,0.986,0.985,1.48556904391445e-109
Pik3r3,1.0901931296756799e-34,-0.30068742754776,0.293,0.371,1.93411163135762e-30
Hdac7,3.1691231907786603e-46,-0.29991055827985,0.41,0.494,5.6223414527604295e-42
Orai1,2.93404211025415e-42,-0.299162732079913,0.358,0.44,5.2052841078019e-38
Prkg1,1.62528187788968e-21,-0.297410828776496,0.451,0.504,2.88341257956409e-17
Bmx,2.08717681217634e-20,-0.296191554584528,0.12,0.17,3.70286038248205e-16
Sox18,1.0185411534053399e-49,-0.293689132435301,0.834,0.861,1.80699386025641e-45
Vps13a,7.71220805190279e-39,-0.29285027173956,0.318,0.399,1.3682228304880699e-34
Rdx,9.705502958968181e-61,-0.291882709981603,0.835,0.87,1.72185327995055e-56
Hip1,1.56860149591815e-59,-0.289136145082658,0.856,0.885,2.7828559139083898e-55
Lima1,2.96438206188392e-48,-0.28716597489886,0.625,0.696,5.25911021598826e-44
Lmntd1,6.54911206976058e-34,-0.286965180615653,0.228,0.307,1.16187797229622e-29
Ncoa1,3.85145855005474e-38,-0.285598089555671,0.543,0.605,6.8328726136521195e-34
Pabpc1,5.30534835839279e-47,-0.284418552629572,0.56,0.632,9.41221852262464e-43
Ptprg,2.95695944563604e-76,-0.28271194344372,0.962,0.97,5.2459417525029e-72
Etv6,7.41666306241518e-40,-0.281981099297314,0.309,0.394,1.31579019390308e-35
Slco1a4,9.50977196941448e-99,-0.28176080658106,0.981,0.978,1.6871286450938198e-94
Lmo2,2.32071383108785e-41,-0.28054105346984,0.698,0.741,4.11717840773296e-37
Ifnar1,1.67199044033527e-50,-0.279045670504247,0.6,0.675,2.9662782401988002e-46
Wdr89,1.8799728517917e-57,-0.278272757209843,0.184,0.286,3.3352598363636602e-53
Sh3rf1,1.2807365221123299e-34,-0.276657174737174,0.366,0.442,2.27215466387948e-30
Ets1,1.4958810449996499e-56,-0.276170392760362,0.796,0.834,2.6538425619338802e-52
Mllt3,5.22405738311951e-32,-0.274930749604976,0.376,0.446,9.26800020339232e-28
Sat1,9.26759276518212e-20,-0.272142925761004,0.432,0.478,1.64416363247096e-15
Myof,1.96926603485746e-35,-0.27167762823259,0.123,0.192,3.49367487244062e-31
Tspan5,8.95348197233427e-61,-0.271100589038938,0.852,0.873,1.58843723671182e-56
Ist1,7.44736746686276e-43,-0.269383369692957,0.295,0.383,1.32123746229612e-38
Hnrnpm,6.392210603574829e-41,-0.269254840583514,0.609,0.648,1.13404208318021e-36
Scd2,8.74745183260396e-47,-0.264413764238184,0.179,0.27,1.5518854296222697e-42
Nampt,1.6299853174621702e-19,-0.264211758517593,0.447,0.487,2.8917569517096403e-15
Sox13,4.5007796921539e-32,-0.263994642257559,0.294,0.365,7.98483325185023e-28
Pir,6.923824494548059e-34,-0.263424224378628,0.335,0.413,1.22835570357777e-29
Dipk1a,9.53203677411731e-37,-0.263396305722722,0.278,0.359,1.69107864409615e-32
Podxl,2.06350634918688e-48,-0.262979642089622,0.785,0.811,3.66086661409245e-44
Fam13c,1.9691729758947297e-36,-0.262812115282931,0.616,0.665,3.49350977653484e-32
Tek,3.9625517334267404e-60,-0.261219609629105,0.842,0.868,7.02996303027239e-56
Fchsd2,2.48032136715321e-24,-0.260725686673127,0.232,0.294,4.40033813746652e-20
Cadm1,3.0521068154254997e-31,-0.260483585214045,0.243,0.318,5.41474270124638e-27
Vim,9.13275423971277e-55,-0.257934179678055,0.939,0.949,1.62024192966744e-50
Nxpe2,2.24871436557921e-34,-0.257852399492296,0.264,0.343,3.989444155974069e-30
Rpl10-ps3,5.91140956764147e-44,-0.257061147354273,0.203,0.292,1.04874317139527e-39
Plscr4,1.71545068795108e-37,-0.256893135155638,0.611,0.665,3.043381065494e-33
Ptprb,2.71402012108283e-83,-0.256727442301456,0.977,0.984,4.81494309681305e-79
Cnot3,1.57967577298817e-41,-0.254841200959276,0.287,0.376,2.80250278885832e-37
Tnfsf10,1.5110149268830099e-33,-0.252233357590321,0.328,0.407,2.68069158178314e-29
Epha4,7.872196004710389e-33,-0.251874319396892,0.4,0.473,1.39660629319567e-28
Psmc1,1.55744414256442e-34,-0.251132333273717,0.393,0.469,2.7630616533235297e-30
Adgrl2,8.2416703587846e-35,-0.250750615204442,0.628,0.677,1.4621547383519799e-30
