gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Cdkn1a,0.0,1.11073363825098,0.91,0.703,0.0
Depp1,4.2190492086399295e-179,0.865192966255658,0.473,0.263,7.4850152010481e-175
Rgcc,1.01476430590997e-224,0.821854530714722,0.82,0.672,1.80029335511488e-220
Tsc22d3,0.0,0.801705859184118,0.884,0.734,0.0
Pim3,5.55962595196455e-261,0.73584271232069,0.716,0.484,9.863332401380311e-257
Mt1,2.19440546241086e-193,0.728899834740058,0.812,0.677,3.8930947308631005e-189
Ddit4,4.8263037388245403e-200,0.727371178447093,0.565,0.347,8.56234546304861e-196
Zbtb16,7.80889033749241e-205,0.666241967942729,0.552,0.33,1.38537523477453e-200
Nfkbia,0.0,0.65654208048036,0.984,0.949,0.0
Ccn2,4.26316381712843e-72,0.611401276880986,0.272,0.157,7.563278927967541e-68
Rpl35,0.0,0.592739993381723,0.903,0.754,0.0
Txnip,5.36942975159886e-174,0.568408324762671,0.747,0.571,9.52590532231154e-170
Apold1,2.5563221893504598e-123,0.549625558481017,0.656,0.485,4.53517119612665e-119
Angptl4,1.45179812818028e-141,0.544020339054404,0.206,0.069,2.57563505920464e-137
Bcl2l1,3.5448896078263304e-203,0.542986002665655,0.765,0.584,6.28898865324469e-199
Xdh,1.42483817337038e-114,0.538905235361638,0.738,0.611,2.52780540337639e-110
Fam107a,3.4382561137712703e-155,0.538116254442497,0.429,0.239,6.0998101714416104e-151
Cttnbp2nl,3.98443913247606e-143,0.521083143914296,0.664,0.495,7.06879346492578e-139
Hspb1,1.06984334709214e-215,0.513159654565201,0.986,0.977,1.89800908207617e-211
Fam117b,2.43288140844793e-124,0.512953047380507,0.594,0.428,4.3161749067274805e-120
Tmcc3,1.75619111710792e-127,0.510400507753369,0.573,0.401,3.11565866086115e-123
Tmsb10,2.3571125216768e-72,0.507575826265269,0.813,0.744,4.18175332470682e-68
Ndrg1,1.0960313586613401e-200,0.499715873842244,0.948,0.894,1.94446923340108e-196
Net1,4.09201069817855e-91,0.492627601937362,0.598,0.456,7.25963617963857e-87
Rps27,0.0,0.491899707362767,0.989,0.973,0.0
Plat,1.12680828101543e-143,0.489022263945548,0.872,0.764,1.99907057134948e-139
Btg2,6.91599401458783e-107,0.481289478913622,0.732,0.582,1.22696649812803e-102
Rpl37,0.0,0.477829751448199,0.986,0.974,0.0
