gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Bc1,3.02009792659305e-159,-1.15004552424343,0.096,0.317,5.35795573156873e-155
Edn1,6.767704410847169e-78,-1.0587631550475,0.261,0.422,1.2006584395284e-73
Tfrc,2.33230382132519e-147,-0.846492869688056,0.513,0.7,4.13774020941302e-143
Pdgfb,4.02082057015664e-225,-0.708208595826437,0.789,0.893,7.1333377735149e-221
Btg1,3.15705613083415e-96,-0.642436528691699,0.367,0.534,5.6009332817128694e-92
Cobll1,1.09823261706345e-108,-0.596805702911064,0.644,0.759,1.94837448593226e-104
Apcdd1,1.0097342333147401e-111,-0.565169820791388,0.709,0.819,1.79136950332369e-107
Rapgef4,2.63106438234768e-126,-0.555360639053375,0.729,0.832,4.66777132072302e-122
Gm11867,3.2239082791525097e-103,-0.538274613167853,0.031,0.167,5.71953567804446e-99
mt-Atp8,3.04837482630449e-90,-0.523514939762802,0.42,0.578,5.40812177934679e-86
Rundc3b,5.37965269860917e-89,-0.517956108222739,0.717,0.803,9.544041852602531e-85
Fos,6.43958788960472e-21,-0.517925671738126,0.3,0.375,1.14244728749477e-16
Fut8,4.54772914213482e-75,-0.502937616013217,0.649,0.753,8.06812627106138e-71
Grb14,1.15868652220925e-69,-0.49078561567524,0.553,0.671,2.05562575905143e-65
Nmt1,3.2420549898085097e-81,-0.486427722980016,0.459,0.603,5.751729757419279e-77
Adamts1,1.84405045338893e-27,-0.480698695105208,0.324,0.41,3.27152990935731e-23
Frmd5,1.1339257370313201e-35,-0.47597333485665,0.252,0.357,2.0116976500672603e-31
Slc38a2,6.94507324376149e-59,-0.466812025115919,0.524,0.642,1.2321254441757301e-54
Slc6a6,7.45560855537674e-129,-0.465073462376238,0.911,0.951,1.32269951380939e-124
Lrrn3,1.8472995439758e-43,-0.452726276639612,0.273,0.39,3.27729412096747e-39
Tmtc2,1.50392825384355e-69,-0.448008507768067,0.836,0.885,2.6681191151438502e-65
Usp53,6.25219268067375e-52,-0.440121021688741,0.458,0.567,1.10920150347833e-47
Lpar6,1.30157375514204e-39,-0.428817744790636,0.233,0.343,2.3091219989974902e-35
Fryl,9.789073745844021e-44,-0.405968465216322,0.461,0.551,1.73667957325019e-39
Slc7a1,6.622491439483109e-40,-0.40533270017572,0.756,0.795,1.1748962062787e-35
Ptprm,2.48415701268338e-61,-0.394839902156512,0.86,0.888,4.40714295620158e-57
Dync1i2,1.34357019024773e-53,-0.394573005016156,0.725,0.783,2.3836278745184998e-49
Tgfb2,7.75216889783074e-29,-0.392097672660727,0.28,0.37,1.3753122841641501e-24
Ap2b1,5.55853853383095e-53,-0.38976833413749,0.495,0.596,9.861403212869489e-49
Jun,1.49109690034364e-20,-0.375973053801848,0.856,0.865,2.64535501089965e-16
Slco1c1,2.57141699902149e-93,-0.3727541213992,0.958,0.974,4.56195089796403e-89
Fli1,1.11500350357968e-45,-0.370853508079081,0.766,0.816,1.97812771570071e-41
Vwf,6.2777773668784896e-27,-0.369530991388282,0.204,0.294,1.11374048265791e-22
Gsta4,3.06095126099292e-33,-0.364434249659296,0.607,0.676,5.43043363212753e-29
Ushbp1,2.20927575638269e-43,-0.363405572193845,0.533,0.619,3.91947611939853e-39
Clec2d,1.25116088075845e-48,-0.362428716198663,0.797,0.843,2.2196845185535701e-44
Lama4,3.53367037097705e-36,-0.358318390981821,0.155,0.253,6.26908460515039e-32
Tnfrsf19,9.96994956605423e-34,-0.357424288324579,0.399,0.484,1.76876875251368e-29
Lars2,9.19651685452885e-85,-0.356195209738722,0.855,0.899,1.63155405516196e-80
Rpl9-ps6,5.01688078665386e-44,-0.35505869690402,0.222,0.339,8.90044820360262e-40
