gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Vcam1,6.29066642821933e-26,-1.3616106730497,0.151,0.339,1.11602713103039e-21
Bc1,3.86488307710626e-38,-0.958599137392242,0.105,0.331,6.85668906709421e-34
Junb,1.88782369388598e-23,-0.769524085905821,0.541,0.69,3.34918801532312e-19
Btg1,2.19932527734144e-47,-0.769005555098604,0.474,0.718,3.9018229745314595e-43
Tfrc,1.09345485316082e-40,-0.741943081247431,0.728,0.857,1.9398982549926097e-36
Vwf,3.6736053851603e-35,-0.741190369086611,0.657,0.814,6.517343313812881e-31
Ier3,6.06544838050509e-21,-0.722050560885127,0.651,0.766,1.07607119718541e-16
Frmd5,1.65127060678986e-32,-0.706214288167358,0.634,0.783,2.92951918350588e-28
Usp53,3.5429680042334303e-44,-0.694830692229885,0.72,0.846,6.285579536310529e-40
Pdgfb,3.49901100152054e-50,-0.68014159223637,0.808,0.899,6.207595417797591e-46
Icam1,8.88318063864979e-17,-0.644942278616724,0.155,0.3,1.57596507710286e-12
mt-Atp8,4.07879531650627e-32,-0.539234689420558,0.513,0.708,7.23619077101378e-28
Lars2,2.70736145973338e-26,-0.53797626598241,0.908,0.957,4.8031299657129895e-22
Sema6a,5.906724805110001e-28,-0.533067229078659,0.739,0.844,1.04791204767456e-23
Fryl,7.67161582791758e-24,-0.518081253603393,0.589,0.746,1.3610213640308602e-19
Cfh,2.6584617224822602e-20,-0.505758820330029,0.764,0.858,4.71637694185577e-16
Gm11867,6.8835957624696e-26,-0.495433574309569,0.037,0.183,1.2212187242197301e-21
Stox2,1.4405770142245e-20,-0.491543351046528,0.555,0.708,2.55572768093568e-16
Slc38a2,8.5130090311403e-22,-0.481441222519969,0.579,0.716,1.5102929322146e-17
Clec2d,1.2450187658922299e-27,-0.479314429372211,0.866,0.923,2.2087877925694e-23
Slc38a5,3.0791076028413e-18,-0.474570997526995,0.656,0.766,5.46264479820075e-14
Lama4,9.17289844016337e-19,-0.473289633644051,0.268,0.439,1.62736391226938e-14
Cobll1,1.44541879937591e-21,-0.466809559750797,0.731,0.826,2.56431749197281e-17
Rundc3b,3.52721433598001e-24,-0.459434143294057,0.869,0.919,6.25763095346214e-20
Apcdd1,1.46157203235414e-22,-0.439784175274012,0.834,0.89,2.59297494259948e-18
Nmt1,3.89611962907256e-20,-0.435099243218073,0.501,0.639,6.91210583393762e-16
Ier5,9.831437612114111e-20,-0.433138192177483,0.545,0.684,1.7441953467651602e-15
Plxdc2,7.881028267502151e-23,-0.423485779552081,0.105,0.271,1.3981732249375599e-18
Slc6a6,8.72547536671199e-35,-0.42125164500517,0.963,0.982,1.5479865848083698e-30
Ebf1,1.63358244038051e-17,-0.414612854281302,0.898,0.924,2.89813860747906e-13
Rpl9-ps6,2.43019391137827e-19,-0.414467115685838,0.28,0.447,4.31140701817619e-15
Ap2b1,1.34468485392429e-19,-0.40882535922644,0.599,0.725,2.38560539934708e-15
Maoa,4.11907768312462e-18,-0.380484531327123,0.773,0.84,7.30765571763139e-14
Fli1,5.86081924797686e-18,-0.374151843662993,0.909,0.934,1.03976794278358e-13
Cdk8,3.8296369511633e-24,-0.373143900435832,0.974,0.992,6.794158915058811e-20
Slco1c1,4.7149359119571603e-20,-0.359812149103661,0.953,0.961,8.36476780140319e-16
Dnm3,8.558787845660261e-20,-0.355146820756627,0.927,0.957,1.5184145516985902e-15
Slco1a4,5.45930364410122e-31,-0.333958668833088,1.0,0.998,9.68535059499997e-27
Ptprg,2.55989367587907e-19,-0.322021793207107,0.992,0.994,4.54150737037706e-15
Pcp4l1,7.982400773781491e-20,-0.30919761789854,0.951,0.966,1.4161577212765702e-15
Ptprb,1.20681359830363e-21,-0.298825086212129,0.994,0.996,2.14100800475046e-17
Vwa1,2.73140821651288e-20,-0.293760570729433,0.951,0.977,4.8457913169155e-16
Itm2a,1.68322997432299e-22,-0.28287303759675,0.998,0.996,2.98621829744641e-18
Egfl7,5.3641161689918504e-17,-0.255668848609223,0.995,0.99,9.51647849540845e-13
