gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Cdkn1a,5.77465711268543e-109,1.29987529841889,0.908,0.659,1.02448191836152e-104
Rgcc,1.95543898434614e-58,1.17099398115641,0.736,0.478,3.4691443021284903e-54
Ddit4,2.0532792683721e-60,0.987815521126534,0.728,0.444,3.64272275001893e-56
Tsc22d3,6.40220405844972e-76,0.90939201563974,0.934,0.771,1.13581502200956e-71
Depp1,4.30752984509005e-32,0.80425232751214,0.327,0.125,7.641988698174249e-28
Mt1,1.99007040338844e-43,0.789949335139356,0.905,0.797,3.53058390265143e-39
Zbtb16,6.3112554607847094e-49,0.789009312955505,0.624,0.347,1.1196798312978201e-44
Fam107a,5.2868098097606596e-42,0.693960470151254,0.504,0.245,9.37932928349639e-38
Plat,7.64393472728912e-50,0.693421434065214,0.922,0.787,1.35611045996836e-45
Cttnbp2nl,7.556449472918309e-40,0.644195568947361,0.761,0.557,1.3405897009904401e-35
Net1,2.6045172586487e-38,0.625438474773118,0.901,0.778,4.62067406856865e-34
Trp53inp1,7.32201077279529e-39,0.624039330750798,0.36,0.133,1.2989979312016099e-34
Hmgcs2,1.28078107729676e-32,0.611007566517886,0.601,0.373,2.27223370923219e-28
Txnip,3.26723793629505e-30,0.595215601816286,0.808,0.645,5.79640682278104e-26
Rpl35,2.6331322422733896e-56,0.590843073448774,0.948,0.82,4.67143991101722e-52
S1pr1,5.83899955747428e-59,0.58224040588144,0.985,0.91,1.03589691149151e-54
Tmcc3,5.12397041219189e-29,0.580770778076027,0.608,0.408,9.09043590826962e-25
Bcl2l1,2.470925737346e-38,0.571989251979294,0.802,0.624,4.38366935062554e-34
Ndrg1,1.60448568261363e-44,0.564526808787985,0.977,0.926,2.84651804952484e-40
Angptl4,4.96501719347061e-35,0.563928963619918,0.248,0.061,8.808437002936211e-31
Tmsb10,9.29387989500568e-64,0.559925458657297,1.0,0.987,1.64882723217296e-59
Hspb1,1.74832918094419e-37,0.552569979803837,0.996,0.976,3.10171079991308e-33
Fam117b,2.7535757800295504e-23,0.549645122324092,0.603,0.431,4.88511879135042e-19
Ucp2,1.24250639749774e-28,0.548293184327321,0.846,0.719,2.2043305998007502e-24
Proser2,9.251359432209851e-35,0.533292297633645,0.695,0.453,1.6412836768683498e-30
Apold1,1.91836284873983e-17,0.533037476439844,0.519,0.35,3.40336752994933e-13
Pglyrp1,5.56730983900413e-34,0.518857987330847,0.994,0.977,9.87696438537722e-30
Pim3,1.27191989950343e-28,0.518752891968455,0.742,0.561,2.25651309370903e-24
Pllp,6.535440909394359e-34,0.507452119406452,0.791,0.581,1.15945257173565e-29
Nfkbia,8.32626927933947e-54,0.504480040229035,0.996,0.958,1.47716343284762e-49
Fkbp5,4.304541398686039e-30,0.495874015090668,0.238,0.068,7.6366868954089e-26
Snrk,6.71845031312074e-30,0.491667216691663,0.783,0.613,1.19192027005075e-25
Rpl37,7.16328663183387e-59,0.488780729519295,0.995,0.985,1.2708386813536501e-54
Pik3ip1,4.36392685099311e-23,0.460941620105617,0.714,0.559,7.742042626346881e-19
Mt2,2.44585991839052e-16,0.459829446116567,0.656,0.507,4.33920008121663e-12
Rps27,8.40043426378411e-58,0.456833913516692,1.0,0.982,1.49032104273794e-53
Cavin2,4.23997707585093e-27,0.45527521946036,0.957,0.89,7.52214333026713e-23
Nostrin,2.83672289951226e-40,0.455132975406316,0.981,0.933,5.03263009602469e-36
Irf2bp2,1.41907155330763e-27,0.454005559891417,0.643,0.424,2.5175748427230701e-23
Fzd4,3.74893746747105e-22,0.446673099727108,0.731,0.563,6.65098996104039e-18
Rpl41,3.1682648483688004e-62,0.438026877261992,0.998,0.996,5.6208186674910805e-58
Klhl2,2.52306577843779e-19,0.43429493310698,0.71,0.574,4.47617099752648e-15
Dusp1,1.0319803748491e-22,0.432592280688369,0.901,0.755,1.83083638301979e-18
Atp5md,7.93377953745481e-23,0.41811751141709,0.744,0.571,1.40753182773986e-18
Timp3,4.3776226914289195e-18,0.417779165235469,0.888,0.799,7.76634041686405e-14
Rpl36,2.1289863137657198e-48,0.417387477199246,0.996,0.971,3.7770346192517705e-44
mt-Co1,1.5607799405236102e-58,0.416193280739894,1.0,0.998,2.7689796924829403e-54
Tomm6,2.26537048100711e-24,0.412581209389349,0.665,0.471,4.01899377035471e-20
Susd6,1.23737691759399e-17,0.411442427697189,0.63,0.452,2.1952303895035e-13
Ndufa7,2.25668878768598e-25,0.407247757643934,0.948,0.877,4.00359157823369e-21
Ttll7,1.60946644165528e-20,0.405338064941188,0.809,0.662,2.85535441414063e-16
