gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Hspa1b,1.12605315333387e-34,1.04252657773856,0.732,0.511,1.9936771079776197e-30
Cdkn1a,3.20475719195934e-87,1.01040043462268,0.96,0.797,5.67402260836401e-83
Zbtb16,1.89344780274725e-71,0.999321973768674,0.72,0.381,3.3523493347640003e-67
Igfbp3,1.71528807567504e-16,0.74411634415674,0.494,0.345,3.03691753798266e-12
Fam107a,4.7067347461525495e-49,0.722531035653011,0.752,0.488,8.333273868063081e-45
Bcl2l1,1.02741551401799e-51,0.674040974098001,0.893,0.738,1.81903916756884e-47
Tsc22d3,6.01231932071025e-39,0.666898871226552,0.893,0.768,1.0644811357317499e-34
Cyth3,1.44119277968705e-42,0.613735624231737,0.924,0.814,2.55163181643593e-38
Cdk8,5.55502357694098e-63,0.606191568238419,0.991,0.99,9.83516924297401e-59
Tbc1d4,1.3508694682079201e-20,0.577625321376795,0.729,0.618,2.3917143934621297e-16
Snrk,2.50658183340183e-31,0.541409865532277,0.879,0.771,4.43790313603794e-27
Plxna2,1.69289286298278e-27,0.534924839379625,0.872,0.786,2.9972668139110103e-23
Angptl4,3.30791916974696e-17,0.521095365096496,0.221,0.086,5.856670890036989e-13
Rps28,5.71883889651758e-37,0.517605983349806,0.974,0.947,1.01252042662844e-32
Adipor2,5.254603524683969e-28,0.504473186654792,0.909,0.819,9.303275540452961e-24
Pim3,2.49001088150768e-18,0.500717385044847,0.463,0.293,4.40856426570935e-14
Galnt15,7.300299117613121e-20,0.499244132740453,0.435,0.26,1.2925179587734001e-15
Rps29,5.75900958521956e-71,0.495775880188816,0.997,0.998,1.01963264706312e-66
Bnip3,3.68904593361589e-20,0.495614965568054,0.547,0.378,6.53145582546692e-16
Ddit4,4.7311625784054e-17,0.492817754929978,0.593,0.453,8.37652334506675e-13
Txnip,2.72258847834826e-19,0.471887665789616,0.797,0.71,4.8203429009156e-15
Nfkbia,1.43708183150147e-28,0.464124835226016,0.983,0.964,2.54435338267336e-24
Irf2bp2,4.5570334950934404e-20,0.460439480709482,0.641,0.469,8.06822780306293e-16
B2m,2.81021456824492e-35,0.445356439632155,0.995,0.985,4.97548489307763e-31
Timp3,4.06599762956577e-23,0.439507589314207,0.997,0.99,7.198848803146199e-19
Ttll7,2.55558588814843e-22,0.438458626277012,0.865,0.78,4.5246648149668e-18
Susd6,1.91527629937133e-16,0.414719136995781,0.621,0.47,3.3909966880369397e-12
Rps27,1.32503372123088e-39,0.395166776346476,0.994,0.989,2.34597220343927e-35
Klf9,7.3700095087641e-19,0.390711637271191,0.913,0.851,1.3048601835266801e-14
Hsp90aa1,8.395860302253809e-18,0.387603438038066,0.938,0.903,1.48648706651404e-13
Rpl37,2.0916373981423502e-35,0.3849263846647,0.99,0.987,3.7032440134110304e-31
Fkbp5,3.42826723714652e-24,0.384671584345889,0.195,0.046,6.06974714336791e-20
Rpl38,4.20457669530984e-33,0.381859914084333,0.996,0.987,7.44420303904608e-29
Gm19951,7.74935299736013e-19,0.372096927136764,0.893,0.827,1.3720229481826101e-14
Serinc3,1.21728040605718e-27,0.366214972106642,0.985,0.978,2.1551949589242302e-23
S1pr1,1.04621498676603e-32,0.364147194345907,0.995,0.981,1.85232363406926e-28
Rps21,4.06695822522413e-33,0.360200087113788,0.996,0.994,7.20054953775932e-29
Cavin2,2.88669333709259e-17,0.345714288108574,0.981,0.967,5.11089055332243e-13
Hspb1,1.83185195143757e-17,0.342121029049867,0.996,0.984,3.24329388002022e-13
Rpl37a,3.21111009081931e-27,0.323133986796657,0.996,0.998,5.68527041579558e-23
Rpl39,1.60266631720268e-19,0.321125083254652,0.973,0.966,2.8375207146073404e-15
Clic4,1.3886477500192602e-19,0.319731977172202,0.992,0.984,2.4586008414091e-15
Rpl41,2.8484553351408498e-30,0.317517100414785,0.996,0.995,5.04319017086687e-26
Slc2a1,3.00180934460273e-23,0.315874894779087,0.977,0.989,5.31470344461914e-19
Rpl36,5.61112813188081e-17,0.277337978238692,0.979,0.978,9.93450235749498e-13
Epas1,1.3332658886183898e-22,0.27325093521391,0.997,0.996,2.36054725579887e-18
Hsp90ab1,1.54895528933034e-22,0.252810392836662,0.999,1.0,2.74242533975936e-18
