© 2000-2023 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
14-3-3-mediated Signaling	6.13E00	4.65E-02	-2.000	FOS,JUN,PIK3R3,TUBA1A,TUBB4B,VIM	
IL-12 Signaling and Production in Macrophages	5.75E00	2.95E-02	1.134	APOE,FOS,H3-3A/H3-3B,IL10RB,JUN,PIK3R3,TGFB2	
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced)	5.74E00	2.94E-02	-1.134	CLDN5,FOS,FOSB,JUN,LAMA4,PIK3R3,TGFB2	
Axonal Guidance Signaling	5.41E00	1.76E-02	NaN	ABLIM1,ADAMTS1,EPHA4,PIK3R3,SEMA6D,TUBA1A,TUBB4B,UNC5B,VEGFC	
Macrophage Alternative Activation Signaling Pathway	5.16E00	3.16E-02	0.000	FOS,H3-3A/H3-3B,IL10RB,JUN,PIK3R3,TGFB2	
UVB-Induced MAPK Signaling	5.03E00	7.41E-02	NaN	FOS,H3-3A/H3-3B,JUN,PIK3R3	
Role of Tissue Factor in Cancer	4.92E00	2.87E-02	-2.449	FOS,JUN,KDR,PIK3R3,TGFB2,VEGFC	
HIF1α Signaling	4.9E00	2.84E-02	-2.449	JUN,KDR,PIK3R3,TGFB2,VEGFC,VIM	
ROBO SLIT Signaling Pathway	4.83E00	3.94E-02	1.342	FOS,JUN,KDR,UNC5B,VEGFC	
Activin Inhibin Signaling Pathway	4.81E00	2.74E-02	-2.449	FOS,FOSB,JUN,PIK3R3,SOX17,TGFB2	
MSP-RON Signaling in Cancer Cells Pathway	4.6E00	3.52E-02	-2.236	FOS,JUN,PIK3R3,VEGFC,VIM	
Sertoli Cell-Sertoli Cell Junction Signaling	4.53E00	2.45E-02	-1.633	CLDN5,JUN,LAMA4,PIK3R3,TUBA1A,TUBB4B	
VEGF Family Ligand-Receptor Interactions	4.23E00	4.65E-02	-2.000	FOS,KDR,PIK3R3,VEGFC	
ABRA Signaling Pathway	4.12E00	4.35E-02	-2.000	FOS,FOSB,JUND,VEGFC	
Tumor Microenvironment Pathway	4.1E00	2.76E-02	-2.236	FOS,JUN,PIK3R3,TGFB2,VEGFC	
NOD1/2 Signaling Pathway	4.01E00	2.65E-02	-2.236	FOS,IFNAR1,IFNAR2,JUN,TGFB2	
IL-17 Signaling	4.01E00	2.65E-02	-2.236	FOS,JUN,PIK3R3,TGFB2,VEGFC	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	3.95E00	2.58E-02	NaN	IFNAR1,IFNAR2,KDR,TGFB2,VEGFC	
Regulation of the Epithelial Mesenchymal Transition by Growth Factors Pathway	3.95E00	2.58E-02	-2.236	FOS,JUN,PIK3R3,TGFB2,VIM	
NGF-stimulated transcription	3.93E00	7.69E-02	NaN	FOS,FOSB,JUND	
ILK Signaling	3.87E00	2.48E-02	-2.000	FOS,JUN,PIK3R3,VEGFC,VIM	
Pulmonary Fibrosis Idiopathic Signaling Pathway	3.83E00	1.83E-02	-1.633	ADAMTS1,FOS,JUN,PIK3R3,TGFB2,VIM	
Aggrephagy	3.8E00	6.98E-02	NaN	TUBA1A,TUBB4B,VIM	
IL-8 Signaling	3.77E00	2.36E-02	-2.236	FOS,JUN,KDR,PIK3R3,VEGFC	
ESR-mediated signaling	3.7E00	3.39E-02	-2.000	FOS,FOSB,JUN,JUND	
Pathogen Induced Cytokine Storm Signaling Pathway	3.55E00	1.62E-02	-2.449	FOS,IFNAR1,IFNAR2,JUN,TGFB2,VEGFC	
STAT3 Pathway	3.48E00	2.96E-02	-2.000	IFNAR1,IL10RB,KDR,TGFB2	
Role of PKR in Interferon Induction and Antiviral Response	3.46E00	2.94E-02	-2.000	FOS,IFNAR1,IFNAR2,JUN	
Wound Healing Signaling Pathway	3.43E00	1.98E-02	-2.236	FOS,JUN,TGFB2,VEGFC,VIM	
EGF Signaling	3.41E00	5.17E-02	NaN	FOS,JUN,PIK3R3	
T Cell Exhaustion Signaling Pathway	3.34E00	1.23E-02	-0.816	FOS,IFNAR1,IFNAR2,IL10RB,JUN,KDR,PIK3R3	
IL-2 Signaling	3.29E00	4.69E-02	NaN	FOS,JUN,PIK3R3	
Glucocorticoid Receptor Signaling	3.27E00	1.2E-02	NaN	FOS,H3-3A/H3-3B,IFNAR1,IL10RB,JUN,PIK3R3,TGFB2	
Colorectal Cancer Metastasis Signaling	3.27E00	1.83E-02	-2.000	FOS,JUN,PIK3R3,TGFB2,VEGFC	
Thrombopoietin Signaling	3.27E00	4.62E-02	NaN	FOS,JUN,PIK3R3	
Hepatic Fibrosis Signaling Pathway	3.24E00	1.42E-02	-2.449	FOS,JUN,KDR,PIK3R3,TGFB2,VEGFC	
CD40 Signaling	3.19E00	4.35E-02	NaN	FOS,JUN,PIK3R3	
HMGB1 Signaling	3.11E00	2.37E-02	-2.000	FOS,JUN,PIK3R3,TGFB2	
Ribonucleotide Reductase Signaling Pathway	3.08E00	2.33E-02	-2.000	FOS,H3-3A/H3-3B,JUN,PIK3R3	
Germ Cell-Sertoli Cell Junction Signaling	3.08E00	2.33E-02	NaN	PIK3R3,TGFB2,TUBA1A,TUBB4B	
WNT/β-catenin Signaling	3.06E00	2.3E-02	1.000	JUN,SOX17,SOX18,TGFB2	
Th1 and Th2 Activation Pathway	3.06E00	2.3E-02	NaN	IFNAR1,IL10RB,JUN,PIK3R3	
GDNF Family Ligand-Receptor Interactions	3.05E00	3.9E-02	NaN	FOS,JUN,PIK3R3	
Erythropoietin Signaling Pathway	3.03E00	2.25E-02	-1.000	FOS,JUN,PIK3R3,TGFB2	
Thyroid Cancer Signaling	3.02E00	3.8E-02	NaN	FOS,JUN,PIK3R3	
Role of JAK family kinases in IL-6-type Cytokine Signaling	3.02E00	3.8E-02	NaN	FOS,TGFB2,VEGFC	
Tight Junction Signaling	3.01E00	2.22E-02	NaN	CLDN5,FOS,JUN,TGFB2	
Neurotrophin/TRK Signaling	3E00	3.75E-02	NaN	FOS,JUN,PIK3R3	
IL-7 Signaling Pathway	3E00	3.75E-02	NaN	EBF1,JUN,PIK3R3	
IL-3 Signaling	2.99E00	3.7E-02	NaN	FOS,JUN,PIK3R3	
Renal Cell Carcinoma Signaling	2.99E00	3.7E-02	NaN	FOS,JUN,PIK3R3	
BEX2 Signaling Pathway	2.97E00	3.66E-02	NaN	JUN,LMO2,VEGFC	
Estrogen-Dependent Breast Cancer Signaling	2.94E00	3.57E-02	NaN	FOS,JUN,PIK3R3	
JAK/STAT Signaling	2.94E00	3.57E-02	NaN	FOS,JUN,PIK3R3	
LPS-stimulated MAPK Signaling	2.9E00	3.45E-02	NaN	FOS,JUN,PIK3R3	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	2.9E00	2.07E-02	-2.000	APOE,FOS,JUN,PIK3R3	
PDGF Signaling	2.87E00	3.37E-02	NaN	FOS,JUN,PIK3R3	
ID1 Signaling Pathway	2.82E00	1.97E-02	-2.000	PIK3R3,TGFB2,VEGFC,VIM	
Ceramide Signaling	2.81E00	3.23E-02	NaN	FOS,JUN,PIK3R3	
