© 2000-2023 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
EIF2 Signaling	1.57E01	7.79E-02	3.317	EIF5B,RASD1,RPL22,Rpl34 (includes others),RPL35,RPL35A,Rpl36,Rpl36a,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS21,RPS26,RPS28,RPS29	
Eukaryotic Translation Termination	1.47E01	1.38E-01	3.606	RPL22,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS21,RPS26,RPS28,RPS29	
Eukaryotic Translation Elongation	1.47E01	1.37E-01	3.606	RPL22,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS21,RPS26,RPS28,RPS29	
Eukaryotic Translation Initiation	1.47E01	1.15E-01	3.742	EIF5B,RPL22,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS21,RPS26,RPS28,RPS29	
Response of EIF2AK4 (GCN2) to amino acid deficiency	1.42E01	1.26E-01	3.606	RPL22,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS21,RPS26,RPS28,RPS29	
Selenoamino acid metabolism	1.4E01	1.21E-01	3.606	RPL22,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS21,RPS26,RPS28,RPS29	
SRP-dependent cotranslational protein targeting to membrane	1.36E01	1.13E-01	3.606	RPL22,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS21,RPS26,RPS28,RPS29	
Nonsense-Mediated Decay (NMD)	1.35E01	1.11E-01	3.606	RPL22,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS21,RPS26,RPS28,RPS29	
Major pathway of rRNA processing in the nucleolus and cytosol	1.09E01	6.99E-02	3.606	RPL22,RPL35,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPLP2,RPS21,RPS26,RPS28,RPS29	
Glucocorticoid Receptor Signaling	5.73E00	2.4E-02	NaN	B2M,BCL2L1,CDKN1A,FKBP5,FOXO3,HLA-A,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b,NFKBIA,RASD1,SMARCA2,TSC22D3	
Chronic Myeloid Leukemia Signaling	5.72E00	3.57E-02	1.265	BCL2L1,CCND3,CDKN1A,FAS,FOXO3,FZD4,HES1,HSP90AA1,HSP90AB1,RASD1	
PI3K/AKT Signaling	5.03E00	4E-02	1.342	BCL2L1,CDKN1A,FOXO3,HSP90AA1,HSP90AB1,NFKBIA,PPP2R2D,RASD1	
mTOR Signaling	4.82E00	3.74E-02	NaN	DDIT4,PPP2R2D,RASD1,RHOB,RPS21,RPS26,RPS28,RPS29	
Aryl Hydrocarbon Receptor Signaling	4.73E00	4.4E-02	-0.816	CCND3,CDKN1A,FAS,HSP90AA1,HSP90AB1,HSPB1,NFIB	
Semaphorin interactions	4.71E00	7.81E-02	2.236	HSP90AA1,HSP90AB1,PLXNA2,RHOB,SEMA7A	
Role of PKR in Interferon Induction and Antiviral Response	4.13E00	4.41E-02	-1.633	FAS,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b,NFKBIA	
TP53 Regulates Transcription of Cell Death Genes	4.12E00	9.09E-02	2.000	FAS,IGFBP3,NDRG1,TP53INP1	
PEDF Signaling	4.09E00	5.81E-02	NaN	BCL2L1,FAS,NFKBIA,PNPLA2,RASD1	
HIF1α Signaling	3.96E00	3.32E-02	1.134	CAMK1D,CDKN1A,HSP90AA1,HSPA1A/HSPA1B,Hspa1b,RASD1,SLC2A1	
Cachexia Signaling Pathway	3.92E00	2.45E-02	3.000	DDIT4,FOXO3,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b,IGFBP3,PNPLA2,S1PR1	
Cellular response to heat stress	3.84E00	5.15E-02	2.236	HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,HSPB1,ST13	
p53 Signaling	3.78E00	5E-02	1.000	BCL2L1,CDKN1A,FAS,ST13,TP53INP1	
HSP90 chaperone cycle for steroid hormone receptors in the presence of ligand	3.74E00	7.27E-02	2.000	FKBP5,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B	
NLR signaling pathways	3.71E00	7.14E-02	2.000	BCL2L1,HSP90AB1,IRAK2,TXNIP	
Interleukin-4 and Interleukin-13 signaling	3.58E00	4.55E-02	2.236	BCL2L1,CDKN1A,FOXO3,HSP90AA1,S1PR1	
Telomerase Signaling	3.58E00	4.55E-02	NaN	CDKN1A,HSP90AA1,HSP90AB1,PPP2R2D,RASD1	
Prostate Cancer Signaling	3.48E00	4.31E-02	NaN	CDKN1A,HSP90AA1,HSP90AB1,NFKBIA,RASD1	
Regulation of eIF4 and p70S6K Signaling	3.41E00	3.24E-02	NaN	PPP2R2D,RASD1,RPS21,RPS26,RPS28,RPS29	
Protein Ubiquitination Pathway	3.28E00	2.56E-02	NaN	B2M,HLA-A,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,HSPB1,HSPE1	
RHO GTPase cycle	3.27E00	2E-02	3.000	DOCK9,HSP90AA1,HSP90AB1,HSPE1,MCF2L,NET1,PKP4,RALBP1,RHOB	
Natural Killer Cell Signaling	3.23E00	3E-02	0.816	B2M,HLA-A,HSPA1A/HSPA1B,Hspa1b,MAP3K6,RASD1	
IL-8 Signaling	3.1E00	2.83E-02	2.000	BCL2L1,CCND3,IRAK2,NFKBIA,RASD1,RHOB	
BAG2 Signaling Pathway	3.01E00	4.71E-02	2.000	CDKN1A,HSP90AA1,HSPA1A/HSPA1B,Hspa1b	
