© 2000-2023 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Transport of bile salts and organic acids, metal ions and amine compounds	3.2E00	2.41E-02	NaN	BSG,SLC6A6	
Aspirin ADME	2.2E00	7.14E-02	NaN	BSG	
NGF-stimulated transcription	1.75E00	2.56E-02	NaN	JUND	
The citric acid (TCA) cycle and respiratory electron transport	1.61E00	1.82E-02	NaN	BSG	
Iron uptake and transport	1.58E00	1.72E-02	NaN	TFRC	
PCP (Planar Cell Polarity) Pathway	1.57E00	1.67E-02	NaN	JUND	
Degradation of the extracellular matrix	1.53E00	1.52E-02	NaN	BSG	
trans-Golgi Network Vesicle Budding	1.48E00	1.35E-02	NaN	TFRC	
Integrin cell surface interactions	1.42E00	1.18E-02	NaN	BSG	
ABRA Signaling Pathway	1.39E00	1.09E-02	NaN	JUND	
Cell junction organization	1.39E00	1.09E-02	NaN	CLDN5	
Transport of inorganic cations/anions and amino acids/oligopeptides	1.33E00	9.62E-03	NaN	SLC6A6	
Cargo recognition for clathrin-mediated endocytosis	1.32E00	9.35E-03	NaN	TFRC	
Post-translational protein phosphorylation	1.32E00	9.35E-03	NaN	VWA1	
ESR-mediated signaling	1.28E00	8.47E-03	NaN	JUND	
Virus Entry via Endocytic Pathways	1.27E00	8.33E-03	NaN	TFRC	
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by IGFBPs	1.26E00	8.06E-03	NaN	VWA1	
Clathrin-mediated endocytosis	1.24E00	7.69E-03	NaN	TFRC	
Ferroptosis Signaling Pathway	1.24E00	7.63E-03	NaN	TFRC	
Iron homeostasis signaling pathway	1.22E00	7.3E-03	NaN	TFRC	
Transcriptional regulation by RUNX1	1.17E00	6.58E-03	NaN	CLDN5	
Corticotropin Releasing Hormone Signaling	1.17E00	6.58E-03	NaN	JUND	
Tight Junction Signaling	1.1E00	5.56E-03	NaN	CLDN5	
Granulocyte Adhesion and Diapedesis	1.08E00	5.29E-03	NaN	CLDN5	
Leukocyte Extravasation Signaling	1.07E00	5.13E-03	NaN	CLDN5	
Clathrin-mediated Endocytosis Signaling	1.04E00	4.78E-03	NaN	TFRC	
Agranulocyte Adhesion and Diapedesis	1.04E00	4.76E-03	NaN	CLDN5	
Cell surface interactions at the vascular wall	1.04E00	4.74E-03	NaN	BSG	
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced)	9.87E-01	4.2E-03	NaN	CLDN5	
NRF2-mediated Oxidative Stress Response	9.85E-01	4.18E-03	NaN	JUND	
Sertoli Cell-Sertoli Cell Junction Signaling	9.75E-01	4.08E-03	NaN	CLDN5	
Pancreatic Secretion Signaling Pathway	9.68E-01	4.02E-03	NaN	SLC6A6	
Protein Ubiquitination Pathway	9.3E-01	3.66E-03	NaN	USP53	
Hepatic Fibrosis Signaling Pathway	7.52E-01	2.36E-03	NaN	TFRC	
RHO GTPase cycle	7.29E-01	2.22E-03	NaN	TFRC	
S100 Family Signaling Pathway	5.22E-01	1.29E-03	NaN	BSG	
