© 2000-2023 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Eukaryotic Translation Termination	7.29E00	9.57E-02	3.000	RPL31,RPL37,RPL37A,RPL38,RPL39,RPL41,RPS21,RPS28,RPS29	
Eukaryotic Translation Elongation	7.25E00	9.47E-02	3.000	RPL31,RPL37,RPL37A,RPL38,RPL39,RPL41,RPS21,RPS28,RPS29	
Response of EIF2AK4 (GCN2) to amino acid deficiency	6.94E00	8.74E-02	3.000	RPL31,RPL37,RPL37A,RPL38,RPL39,RPL41,RPS21,RPS28,RPS29	
Selenoamino acid metabolism	6.8E00	8.41E-02	3.000	RPL31,RPL37,RPL37A,RPL38,RPL39,RPL41,RPS21,RPS28,RPS29	
SRP-dependent cotranslational protein targeting to membrane	6.53E00	7.83E-02	3.000	RPL31,RPL37,RPL37A,RPL38,RPL39,RPL41,RPS21,RPS28,RPS29	
Nonsense-Mediated Decay (NMD)	6.46E00	7.69E-02	3.000	RPL31,RPL37,RPL37A,RPL38,RPL39,RPL41,RPS21,RPS28,RPS29	
Eukaryotic Translation Initiation	6.31E00	7.38E-02	3.000	RPL31,RPL37,RPL37A,RPL38,RPL39,RPL41,RPS21,RPS28,RPS29	
EIF2 Signaling	5.68E00	4.76E-02	2.646	IGF1R,RPL31,Rpl36,RPL37,RPL37A,RPL38,RPL39,RPL41,RPS21,RPS28,RPS29	
Major pathway of rRNA processing in the nucleolus and cytosol	4.8E00	4.84E-02	3.000	RPL31,RPL37,RPL37A,RPL38,RPL39,RPL41,RPS21,RPS28,RPS29	
RHO GTPase cycle	4.26E00	2.89E-02	3.606	AKAP12,CDC42EP4,DOCK9,HSP90AA1,HSP90AB1,HSPE1,MCF2L,NET1,RALBP1,RASAL2,RHOB,STIP1,WASF2	
HSP90 chaperone cycle for steroid hormone receptors in the presence of ligand	4.17E00	9.09E-02	2.236	FKBP5,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,STIP1	
Chronic Myeloid Leukemia Signaling	4.14E00	3.57E-02	1.265	BCL2L1,CCND3,CDKN1A,FAS,FZD4,HES1,HSP90AA1,HSP90AB1,NOTCH4,PRKAG2	
Semaphorin interactions	3.85E00	7.81E-02	2.236	HSP90AA1,HSP90AB1,PLXNA2,RHOB,SEMA7A	
Pyridoxal 5'-phosphate Salvage Pathway	3.82E00	7.69E-02	2.236	CDK8,DAPK1,HIPK1,MAP3K6,PDXK	
Integration of energy metabolism	3.81E00	5.83E-02	2.236	ADIPOR2,CACNA1E,PRKACB,PRKAG2,RAPGEF4,SLC2A1	
Glucocorticoid Receptor Signaling	3.69E00	2.4E-02	NaN	B2M,BCL2L1,CDKN1A,DUSP1,FKBP5,HLA-A,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b,NFKBIA,PRKACB,PRKAG2,TSC22D3	
IL-10 Signaling	3.68E00	4.55E-02	1.134	BCL2L1,CDKN1A,DDIT4,DUSP1,HLA-A,NFKBIA,PRKAG2	
Rap1 signalling	3.62E00	1.88E-01	NaN	PRKACB,RAPGEF4,RASGRP2	
eNOS Signaling	3.61E00	4.43E-02	0.000	HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b,NOSTRIN,PRKACB,PRKAG2	
Aryl Hydrocarbon Receptor Signaling	3.6E00	4.4E-02	-0.816	CCND3,CDKN1A,FAS,HSP90AA1,HSP90AB1,HSPB1,NFIB	
Nitric Oxide Signaling in the Cardiovascular System	3.41E00	4.92E-02	1.633	CACNA1E,HSP90AA1,HSP90AB1,PDE2A,PRKACB,PRKAG2	
PEDF Signaling	3.25E00	5.81E-02	1.000	BCL2L1,FAS,NFKBIA,PNPLA2,WASF2	
MYC Mediated Apoptosis Signaling	3.21E00	8E-02	1.000	BCL2L1,FAS,PRKACB,PRKAG2	
Cachexia Signaling Pathway	3.19E00	2.72E-02	2.530	DDIT4,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b,IGF1R,PNPLA2,PRKACB,PRKAG2,S1PR1	
Immunogenic Cell Death Signaling Pathway	3.16E00	5.56E-02	2.236	DAPK1,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b	
Role of PKR in Interferon Induction and Antiviral Response	3.16E00	4.41E-02	-1.633	FAS,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b,NFKBIA	
Pyroptosis Signaling Pathway	3.09E00	5.38E-02	0.447	GBP4,NEK7,PRKACB,PRKAG2,TXNIP	
NLR signaling pathways	3.02E00	7.14E-02	2.000	BCL2L1,HSP90AB1,IRAK2,TXNIP	
Cellular response to heat stress	3.01E00	5.15E-02	2.236	HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,HSPB1,ST13	
p53 Signaling	2.95E00	5E-02	1.000	BCL2L1,CDKN1A,FAS,ST13,TP53INP1	
mTOR Signaling	2.83E00	3.27E-02	NaN	DDIT4,PPP2R2D,PRKAG2,RHOB,RPS21,RPS28,RPS29	
Signaling by VEGF	2.8E00	4.63E-02	2.236	ELMO1,HSP90AA1,HSPB1,PRKACB,WASF2	
Mitotic Roles of Polo-Like Kinase	2.73E00	5.97E-02	NaN	HSP90AA1,HSP90AB1,PPP2R2D,RAD21	
