gene,log2FC_from_dpi1,p_val_adj_from_dpi1,log2FC_from_dpi3,p_val_adj_from_dpi3,log2FC_from_dpi7,p_val_adj_from_dpi7
9630028H03Rik,1.63837584433283,8.17408391697237e-27,-0.647715393410135,0.0059468156884283,0.522753002243959,0.0023261523891412
Acer2,1.10761458259577,6.8061297030956e-47,0.598119381956009,1.19178730073897e-14,0.616164286477176,6.24420883261318e-29
Ackr3,-0.627617889175012,1.32103640834536e-25,0.896169280012591,1.89621283845539e-18,0.717465526364787,3.34249766577484e-12
Adgre5,-0.438523733657204,1.09300988008635e-29,-0.356590081158808,2.38264372348408e-12,-0.34440087183147,0.0011826336673641
Akap12,-0.386964768063619,1.1279613891831e-30,0.497370196487868,1.41348901037029e-15,0.652572892581848,1.9064645831466e-45
Alas1,-0.675788085136166,5.73120858472624e-62,-0.358954499045054,1.70656736734278e-12,-0.294248601010204,0.0002210443184463
Aldh2,-0.754570186528869,1.97173362314117e-91,-0.291263392311334,1.35775045990196e-11,-0.360758261722739,1.60599514506704e-13
Apcdd1,-0.423977014913793,7.54209772508248e-44,-0.930653200323141,8.95931661693065e-110,-0.290002457921523,7.2431064204066e-12
Apold1,0.995146636233785,1.5746155453533e-13,1.03248259684891,8.59978067743254e-57,0.781587208515281,2.54051744336584e-34
Aspscr1,-0.565531824280264,5.4446012462281e-23,-0.388754584751002,0.0003162300827481,-0.626543253169016,0.0007521938998315
AW112010,-0.364568232488111,3.17178436550178e-10,0.49170642416855,1.14322572475339e-07,0.389531599085958,2.38842531718022e-07
BC028528,-0.682986599166305,7.48868463622863e-55,-0.259733249651462,1.70923289188108e-06,-0.539735530476652,8.29967361850953e-21
Bnip3,-0.608052617047976,1.45074229885821e-20,0.846964082925779,1.71243107035686e-27,0.804877976171418,1.84061934308497e-30
Camk2n1,-0.706723397561061,4.14129699463465e-24,0.61795627610031,4.41419298421695e-17,0.344336362958358,9.04427332361502e-08
Castor1,-0.796248222288733,6.26266520358324e-26,0.696726714282398,5.97651239163318e-14,0.339652496315982,2.41120654529528e-06
Cavin2,-0.374112345539094,6.92360328969725e-26,0.492281390010229,2.86804894856554e-36,0.68593482422964,1.52754440782837e-76
Ccn2,-1.45418779036271,8.35273404759208e-42,1.63469253520336,4.47395313657237e-46,1.7160981047282,4.73564131530236e-73
Cd59a,-0.295262765841853,2.41034846853125e-16,0.661890936233258,9.96304417192295e-29,0.588342777569091,2.77849250106467e-32
Cdkn1a,-0.490033022003118,2.45243384032262e-26,1.48745022337348,2.07127136081161e-239,1.36234228294594,1.84158402455917e-231
Cldn5,-0.618341368546214,2.50764835063582e-226,-0.315161310569327,6.33586428362617e-58,-0.482925800840941,3.1844436149458e-126
Cmpk2,-0.726020106560534,8.07231929940699e-13,0.705337775143869,9.40838993790877e-08,0.890670523536952,1.55928908089218e-24
Cobll1,0.405647060761706,7.86444913825677e-09,-0.934957440765662,2.17902163116353e-81,-0.587568088583666,5.0774556364086e-28
Cracr2b,-0.684062239893115,5.83439984226081e-39,0.324979018340264,0.0001243651015222,0.35093673325227,1.75994527003639e-10
Csrp2,-0.987501450758578,3.22771284135799e-112,-0.288479487572969,2.65751232306883e-08,-0.361615813353795,1.10740683076278e-09
Degs2,-0.907486648194095,5.27191437583341e-89,-0.272033986008145,2.75023751297875e-06,-0.347726656189593,1.28091898208316e-05
Dipk1a,-0.387796186447277,1.37073934216893e-13,-0.973545621941222,3.7054042117282e-26,-0.729785597185835,7.131846236412e-09
Dusp1,-1.32274200731486,3.11995308578119e-106,0.605268528213766,6.76229816469436e-47,0.441418521615041,1.33466722532269e-36
Ebf1,0.670150753040858,4.90786168990249e-61,-0.550872761288568,2.0322577314191e-46,-0.266349220874424,0.0072788018980056
Egr1,2.93862740673947,4.14669896529492e-41,2.87529220761617,7.5220182542224e-45,2.49318935128218,1.64180858597549e-34
Eif2ak4,0.801326618468573,1.01190246434054e-06,0.663046445442617,0.0030791568644688,0.525234035364742,4.2346015284492e-05
Ets1,0.393036611599327,2.20257295510999e-25,-0.537224617739291,2.1710294769127e-47,-0.294940236424499,4.13892251384139e-08
Fam117b,0.628937339428106,0.0001106236500121,0.840969703286109,2.90001138943234e-38,1.11431181926556,2.05682557712139e-100
Fas,-0.257264976262238,1.27798902454396e-10,0.546885536029671,9.29559269371305e-25,0.637971632547984,3.2675946334096e-46
Fosb,-0.739698598550274,3.37596213094703e-10,-1.72129604794494,1.05622589629375e-22,-1.76711193383442,7.02101793078743e-22
Frmd5,0.716174372684164,3.8416635432512e-05,-1.23055641154567,5.58345503420137e-44,-0.794327922646322,2.11329807469673e-12
Galnt15,0.650324173603759,0.0216835448170058,1.16729978667371,5.39205039056783e-52,1.49638375381194,1.16930895346539e-103
Gm41030,-1.67485451257173,7.612775534163e-31,-0.648116230219398,0.0026845687680881,0.788029176135044,5.02999082047721e-10
Gm9946,-0.553762014706799,1.65084643673996e-10,-0.564075162185068,0.034236505727943,-0.899537492235581,0.0103245055400576
Grb14,0.544385913505293,3.00419070969399e-07,-0.951250751283237,1.070766013281e-75,-0.709840923713258,5.60673655208313e-36
Grrp1,-0.545354700636315,7.9822226452338e-44,-0.44209501289681,1.94621364395942e-20,-0.596747347008038,4.69392321433775e-25
Gsta4,-1.1133465483273,2.69096889777532e-109,-0.53978415281535,3.22098186335589e-22,-0.683213724131749,1.54766616337542e-24
Hipk1,0.755518725865221,2.48401696000455e-15,0.549297022133225,1.75085463939851e-11,0.833909945224659,1.17177018333789e-38
Hs3st1,-0.358118417525367,1.65467495629578e-07,-0.668351601490658,8.20256867134033e-10,-0.770673246818539,1.40522998750794e-07
Hspa1a,-1.39022537202718,8.33088370373085e-77,-1.05617151286644,4.52724889468244e-46,0.754441303449342,4.38663288539582e-46
Hspa1b,-1.40037848281503,8.10462958807162e-81,-0.820254769974443,1.5811460047958e-38,1.17603784604257,6.00249931534285e-99
Hspb1,-1.05544545051886,4.13615591768718e-241,0.355732725639725,1.0610758298757e-21,0.339568650800165,6.79923177126543e-32
Htra1,-1.68187680377935,5.5325963803611e-44,-0.614118361012724,0.0031478400119684,-0.790313477223183,0.0001509095682353
Id2,-0.996277444919423,1.94828374827571e-36,-0.728311779415146,3.57734272494219e-14,-0.807063422577173,1.92090509319945e-08
Ier5,-0.734476086981302,4.25074109124689e-54,-0.703418718928095,1.20852458695709e-33,-0.464296524525554,2.55204154888081e-10
Ifi35,-0.714208971501896,5.0251340195216e-37,0.56684190255271,1.58626148213254e-20,0.421823140983136,6.13320816528229e-09
Ifit1,-0.888429653209133,3.431615844792e-21,0.60772419924356,1.38218033790967e-06,0.806394871130502,4.04627548660352e-30
Ifit3,-1.15420619867202,4.73765434308235e-21,0.586831280024168,0.020044272467198,0.888912066379403,3.86163421875875e-20
Ifit3b,-1.15124119613175,9.3601341738715e-10,0.687659069496273,0.0033619866759189,1.17870913908563,3.24513988922838e-16
Ifnar2,-0.302111618789546,1.06617516793724e-19,-0.293428262355935,6.82065511469469e-11,-0.311063805813218,3.5589856278458e-09
Ikzf5,-0.554936848310266,1.52615989916817e-14,-0.589145306496716,2.0167338430756e-08,0.325958464044135,0.0259065398145714
Inka1,-0.702920058991986,1.17238989931592e-20,-0.448032080794568,0.0320200733623692,-0.637859654143802,0.0050499782074125
Itm2a,-1.22952171988764,0,-0.359101155879694,2.56379854020484e-55,-0.334062187321992,2.37240259261381e-42
Jund,-1.41334687245591,5.71267938829337e-184,-0.538506400921721,2.67328191699804e-23,-0.604164173672897,2.73747806849396e-21
Kbtbd11,0.577488000699608,0.0151937683305433,0.577956868654957,9.1977895945271e-13,0.775567092681747,3.19560126078752e-29
Klf13,-0.329070685566818,1.87622713161834e-21,0.308195236177639,1.47505378421162e-10,0.37872222222942,6.41527118811666e-28
Klf6,-0.655316858150133,3.30846278909917e-55,0.424154987258675,3.9391359480502e-19,0.344266927048837,3.32395980299394e-16
Klf9,-0.559031936015842,1.31561280542515e-42,0.476954882606786,2.08074644172728e-22,0.592122718370336,1.67209205528405e-57
Lama4,0.839776778997012,1.52119754867439e-09,-1.29693851059537,1.48326702154402e-36,-0.811873043560189,3.70136846756388e-08
Layn,-0.381872576190487,2.29740804759766e-22,-0.552218323747182,2.43454726235848e-22,-0.614078609036622,1.30382241185457e-17
Lmo2,-0.626921387634657,3.26511566251615e-50,-0.509787072663619,9.47574180436797e-24,-0.562707286455403,2.05123515259095e-23
Lrrc8a,-0.455609164024389,8.89796399350474e-12,0.734472046851004,9.56907527546321e-20,0.820642291260917,1.91170076201324e-38
Maoa,0.272326443799543,0.0078425095973413,-0.562944604601694,1.48891302027134e-35,-0.429946083270612,4.27891148778841e-14
Mecom,0.843644939108732,2.493787655082e-101,-0.312827260077289,1.57257651543532e-17,0.427989316045226,2.19919820577361e-39
Mkrn1,-0.619788175771045,1.21646004516466e-20,0.554220644238472,3.47611449426559e-05,0.36772120620489,0.0206392057414698
Mospd1,-0.277864562384042,3.8134563834834e-07,-0.486457499150809,7.58434650964741e-07,-0.523428516355518,0.0016627109874385
mt-Atp8,-0.75654988661167,4.52641926001401e-58,-0.724146526425204,2.09924352611105e-40,0.393797382954725,3.74476373491414e-18
Mt1,-0.559911507824206,5.16587729906374e-29,0.924242633275979,9.36120922723372e-76,0.608140762117146,1.461754740995e-36
Myrip,0.70928477723847,3.91523952539163e-07,0.51743894784434,0.0022568441497994,0.82464799368604,2.01658477426391e-37
Ncoa4,-0.620006073082051,2.13154701011498e-23,-0.670912641268046,5.5510689371693e-12,-0.608712473483922,6.26910699501719e-05
