"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AY036118",1.24533219351875e-136,0.633214099944773,0.98,0.851,2.27422565180393e-132
"Ptprg",9.17660700579326e-89,0.31768464248161,0.981,0.972,1.67583197139797e-84
"Hspa8",3.25090585050779e-77,-0.326701824686179,0.908,0.992,5.93680426419733e-73
"Cldn5",4.14913215488634e-75,-0.205620662119196,0.981,0.999,7.57714514125344e-71
"Tuba1a",2.17426742337794e-71,-0.518930305631136,0.648,0.908,3.9706471685728e-67
"Rps28",1.087082276836e-69,-0.453781651176714,0.707,0.949,1.9852296539579e-65
"Itm2b",5.10132503993679e-68,-0.279068170304992,0.933,0.987,9.31603978793256e-64
"Sptbn1",4.28690290873242e-67,0.175778851304165,0.997,0.999,7.82874209192714e-63
"Rps29",8.45976987196238e-66,-0.242085872823892,0.947,1,1.54492317401777e-61
"Vwa1",1.401327766033e-64,-0.457545103472425,0.711,0.936,2.55910476632946e-60
"Flt1",1.38788197798331e-63,0.125922357976969,0.998,1,2.53455006819312e-59
"Actg1",4.23172331036199e-62,-0.315821060642043,0.905,0.992,7.72797310938307e-58
"Ubb",3.47766008842048e-61,-0.25140797627547,0.938,0.993,6.35090285347347e-57
"Hspb1",6.78713416956548e-61,-0.321766106041929,0.91,0.982,1.23946644204605e-56
"Klf2",1.82247164178547e-60,-0.341338141520937,0.891,0.979,3.32819771222863e-56
"Rpl37a",3.64306988069888e-60,-0.26138371592069,0.929,0.996,6.65297421613229e-56
"Bsg",4.00206349529285e-60,-0.184069194678077,0.992,1,7.3085683551038e-56
"Uba52",2.56963874714049e-59,-0.480274931241968,0.517,0.853,4.69267428002796e-55
"Sox18",1.69608056163823e-58,-0.466156681430464,0.665,0.908,3.09738232166374e-54
"Maml2",7.54133124530454e-58,0.546115702614125,0.789,0.572,1.37719791201752e-53
"Egfl7",1.10055753834747e-56,-0.295038515542628,0.902,0.979,2.00983817653016e-52
"Pltp",3.16138026206985e-56,-0.248712125673347,0.946,0.997,5.77331263459196e-52
"Rps21",4.84154098054755e-56,-0.2670676123535,0.927,0.987,8.84162213867593e-52
"Jund",5.26106439765145e-56,-0.506998461234871,0.59,0.881,9.60775580299107e-52
"Rpl38",5.31600255703847e-56,-0.296805939584951,0.921,0.987,9.70808386966365e-52
"Rps27",1.54795859338194e-54,-0.28319561587469,0.905,0.983,2.8268819832341e-50
"Crip2",2.54689713791127e-54,-0.315815003571192,0.859,0.973,4.65114355325357e-50
"Dnaja1",1.76293373414293e-53,-0.367044981515788,0.767,0.958,3.21946958529182e-49
"Rpl37",5.407067158079e-53,-0.282598195107557,0.905,0.984,9.87438604408387e-49
"Myl12b",1.36642711173335e-52,-0.340054142650393,0.823,0.962,2.49536919144745e-48
"Tubb5",7.17410768976014e-52,-0.460256745935506,0.52,0.843,1.310135546304e-47
"Rps4x",4.84412799225985e-51,-0.27802846866513,0.891,0.99,8.84634653946494e-47
"Id3",1.00650673549661e-50,-0.315486915475858,0.868,0.973,1.83808260036391e-46
"Vim",1.82681719543131e-48,-0.324846190708164,0.862,0.973,3.33613356229665e-44
"Gkn3",2.79302945202427e-48,-0.80269588690304,0.239,0.516,5.10063038528673e-44
"Rpl41",7.49241781094759e-47,-0.218977246200917,0.941,0.996,1.36826534063525e-42
"Icam2",1.65023509032253e-46,-0.411050351302513,0.599,0.87,3.013659321947e-42
"Tsc22d3",1.76853480377293e-45,-0.46889793331659,0.444,0.775,3.22969825865013e-41
"Fau",2.65108637218854e-45,-0.206763510875708,0.95,0.993,4.8414139328907e-41
"Plcb1",9.78050711323032e-45,0.343967505901083,0.916,0.892,1.78611620901812e-40
"Actb",2.22041850509841e-44,-0.146163654040101,0.992,0.999,4.05492827401072e-40
"Dusp1",7.89208527143842e-44,-0.506600549155603,0.477,0.778,1.44125261227008e-39
"Itm2a",1.69177616939664e-43,-0.324828937582233,0.884,0.969,3.08952164055214e-39
"Rnaset2b",2.48957873477876e-43,-0.436244506298838,0.317,0.694,4.54646868545298e-39
"Rps5",4.25490865711289e-42,-0.262375514334233,0.879,0.98,7.77031418961957e-38
"Sox17",1.6775514211483e-41,-0.380848411319965,0.682,0.895,3.06354440530102e-37
"Arl15",9.35345674547942e-41,0.406947962223561,0.891,0.796,1.70812827085945e-36
"Tinagl1",1.25401721327494e-40,-0.39704172140733,0.652,0.868,2.29008623488269e-36
"Apoe",1.59399829615348e-40,-0.345801771117987,0.789,0.939,2.91095968843549e-36
"Rps27rt",1.03451265268669e-39,-0.427552510396082,0.22,0.571,1.88922700633644e-35
"Fryl",6.64920022147255e-39,0.392512624139726,0.817,0.691,1.21427694444532e-34
"H3f3b",1.84482810709328e-38,-0.188765690401259,0.952,0.99,3.36902508917374e-34
"Rps3a1",2.17394276874982e-38,-0.236088750077243,0.913,0.977,3.97005428429092e-34
"Rpl35a",2.83582043291895e-38,-0.218373452749066,0.922,0.984,5.17877527459659e-34
"Ctsh",4.35474598717434e-37,-0.380004863096155,0.598,0.839,7.95263712177779e-33
"Gm2000",5.02067613839527e-37,-0.407354715848668,0.262,0.61,9.16875876393744e-33
"Magi1",1.2636995548083e-36,0.465656907797354,0.618,0.399,2.30776812699092e-32
"Esam",1.82901787540199e-36,-0.292825896228413,0.793,0.941,3.34015244405911e-32
"Pon2",2.41201110245185e-36,-0.381667466747668,0.477,0.796,4.40481467529757e-32
"Ltbp4",2.46428321208719e-36,-0.352466441057425,0.689,0.902,4.50027400191362e-32
"Rpl34",2.47825613400499e-36,-0.224332887312242,0.91,0.986,4.52579135191992e-32
"Ptprm",4.21239193172887e-36,0.262076767255952,0.943,0.924,7.69267014572327e-32
"Rpl6",4.30537207669001e-36,-0.241226694707963,0.891,0.98,7.8624704864513e-32
"Srsf3",5.16520160007359e-36,-0.368299130216357,0.55,0.833,9.43269116205439e-32
"Syne1",4.77166212964907e-35,0.3232983270848,0.877,0.836,8.71400938116513e-31
"Tuba1b",5.39995509526137e-35,-0.362999624447688,0.581,0.854,9.8613979949663e-31
"mt-Cytb",6.5138968680144e-35,-0.142367115499217,0.989,0.996,1.18956784603679e-30
"Zbtb20",7.35827193714042e-35,0.197809770941751,0.967,0.966,1.34376762116058e-30
"Wfdc1",9.96790924713034e-35,-0.337661237852061,0.675,0.899,1.82033958671094e-30
"Anxa3",1.23564547423492e-34,-0.298125970450099,0.762,0.926,2.25653576504781e-30
"Id1",1.870076736371e-34,-0.286984757449819,0.84,0.96,3.41513413596071e-30
"Utrn",8.77858757579784e-33,0.189837607904975,0.972,0.96,1.6031456630922e-28
"Pkp4",8.87282139677177e-32,0.349194149849878,0.795,0.65,1.62035464347846e-27
"Rpl21",1.61283487501697e-31,-0.191740037783251,0.925,0.993,2.945359048756e-27
"Rps7",2.09718864387273e-31,-0.220025021671641,0.901,0.972,3.82988590144039e-27
"Mecom",7.99535459630484e-31,0.256271788696926,0.93,0.914,1.46011165637719e-26
"Ier2",2.66898491428875e-30,-0.395664781858134,0.455,0.725,4.87410025047412e-26
"mt-Nd2",2.96586331050081e-30,-0.148879628040027,0.972,0.992,5.41625957763658e-26
"Pfdn5",2.97601480342169e-30,-0.301549002505518,0.691,0.908,5.4347982340087e-26
"Ramp2",3.34369910536834e-30,-0.233366701891298,0.901,0.962,6.10626330622367e-26
"Rps24",4.97815197127638e-30,-0.164159294579042,0.957,0.993,9.09110112994492e-26
"Ftl1",4.97872052227977e-30,-0.2422901583577,0.843,0.966,9.09213941778732e-26
"Insr",5.96327629204381e-30,0.346916332242777,0.803,0.7,1.08901351645304e-25
"Cst3",7.06072963725081e-30,-0.239110499271737,0.877,0.977,1.28943044635474e-25
"Edn1",9.29394011324828e-30,-0.514864863168175,0.334,0.601,1.6972593434814e-25
"Gnas",1.03024386636597e-29,-0.16343233432345,0.947,0.989,1.88143134875753e-25
"Eif1",1.66950084441608e-29,-0.188254260831168,0.925,0.982,3.04884244207264e-25
"Klf12",1.89158524514973e-29,0.312713411630026,0.846,0.816,3.45441297469244e-25
"Rpl9",1.9718643793166e-29,-0.170107261164042,0.949,0.99,3.60101872950797e-25
"Pard3",2.4066848748266e-29,0.372997085242574,0.685,0.54,4.39508791840834e-25
"mt-Atp8",5.48177314584397e-29,-0.361427808534597,0.425,0.732,1.00108141189403e-24
"Isyna1",7.38259871984136e-29,-0.364814625498026,0.342,0.642,1.34821017821743e-24
"Tsc22d1",8.77108968335516e-29,-0.19581670233371,0.925,0.982,1.60177639797432e-24
"Rhoc",1.06195991508941e-28,-0.356775055928469,0.509,0.776,1.93935119693627e-24
"Bc1",1.06554807218492e-28,-0.477260908963731,0.23,0.484,1.9459038894241e-24
"Tubb4b",1.22985371183293e-28,-0.376982411625334,0.385,0.683,2.24595884854929e-24
"Cnbp",1.26639576665743e-28,-0.31519817187427,0.606,0.851,2.31269194906979e-24
"Rpl27a",1.59342397952221e-28,-0.16633386659228,0.943,0.994,2.90991087140346e-24
"Jun",1.9966668300159e-28,-0.381574951895961,0.665,0.877,3.64631296497504e-24
"Arhgef12",2.31456876090125e-28,0.289838710629434,0.856,0.778,4.22686547115786e-24
"Myl12a",3.66750151068692e-28,-0.261151144343253,0.792,0.936,6.69759125881645e-24
"Sumo2",5.20081410321917e-28,-0.288590499968432,0.682,0.892,9.49772671529885e-24
"Selenok",5.24889242717328e-28,-0.278739384795325,0.7,0.907,9.58552735050385e-24
"Adamts9",5.25858537521503e-28,0.502249742537826,0.315,0.106,9.60322861221769e-24
"Rnaset2a",5.55192751405993e-28,-0.357283427256962,0.306,0.605,1.01389300261762e-23
"Clic1",6.00191586748946e-28,-0.307789906295811,0.646,0.88,1.09606987572093e-23
"Dach1",6.56551875013179e-28,0.377944218489326,0.716,0.589,1.19899503414907e-23
"Alas1",1.03319454335792e-27,-0.337937154950372,0.595,0.823,1.88681987508023e-23
"Apbb2",1.04503581097102e-27,0.297224715136872,0.846,0.796,1.90844439799528e-23
"Pdgfb",1.38848857899709e-27,-0.267350038223056,0.78,0.925,2.53565784296448e-23
"Tubb2a",1.75666592615364e-27,-0.371107012606699,0.297,0.575,3.20802331434178e-23
"Rpl13",2.86147747322558e-27,-0.146345462711005,0.963,0.993,5.22563016160456e-23
"Tpt1",3.12740021289956e-27,-0.120570753905468,0.977,0.996,5.71125826879717e-23
"Rpl7",6.33282498754152e-27,-0.207207933388392,0.89,0.976,1.15650049922483e-22
