"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sox17",0,-0.409479109940255,0.596,0.832,0
"Rpl37a",0,-0.251031593637158,0.923,0.982,0
"H3f3a",0,-0.216574777701192,0.906,0.972,0
"Vim",0,-0.335196282904587,0.823,0.949,0
"Egfl7",0,-0.26041170494318,0.914,0.985,0
"Plcb1",0,0.316310233355151,0.943,0.91,0
"Id1",0,-0.301575215264707,0.831,0.94,0
"Pltp",0,-0.247180622829102,0.969,0.997,0
"Rps21",0,-0.26597467571544,0.919,0.981,0
"Sox18",0,-0.486740404983489,0.593,0.862,0
"Mecom",0,0.294643166460926,0.939,0.886,0
"Rps27",0,-0.271723201629475,0.897,0.973,0
"Dnaja1",0,-0.325984148937636,0.758,0.92,0
"Id3",0,-0.30914101126564,0.873,0.965,0
"Vwa1",0,-0.444972271789563,0.779,0.948,0
"Fryl",0,0.418422787410728,0.794,0.606,0
"Rpl6",0,-0.230775321803124,0.898,0.969,0
"Hspb1",0,-0.312029371722672,0.922,0.977,0
"Actb",0,-0.163993793847995,0.987,0.995,0
"Flt1",0,0.139582675397917,0.999,0.999,0
"Magi1",0,0.47974267339102,0.619,0.366,0
"Rps5",0,-0.233741054655636,0.883,0.963,0
"Apoe",0,-0.382750469949948,0.741,0.912,0
"Igf1r",0,0.191658780277671,0.979,0.977,0
"Insr",0,0.38807438903721,0.807,0.649,0
"Uba52",0,-0.468997032969779,0.465,0.781,0
"Jund",0,-0.411273716996954,0.642,0.861,0
"Klf2",0,-0.376738107281946,0.894,0.977,0
"Wfdc1",0,-0.32739545187271,0.695,0.882,0
"Maml2",0,0.544818382156541,0.758,0.505,0
"Esam",0,-0.267724541952631,0.815,0.94,0
"Hspa8",0,-0.324567153908336,0.903,0.985,0
"Ctsh",0,-0.387102549290215,0.524,0.776,0
"Syne1",0,0.329481452609509,0.898,0.801,0
"Utrn",0,0.227595732288309,0.976,0.953,0
"Bsg",0,-0.197273337011804,0.993,0.999,0
"Rpl41",0,-0.176200365739886,0.954,0.987,0
"Sptbn1",0,0.183449009970764,0.998,0.996,0
"Ubb",0,-0.232151545827288,0.949,0.987,0
"Msi2",0,0.345830932700943,0.84,0.704,0
"Ramp2",0,-0.290948944464141,0.911,0.972,0
"Icam2",0,-0.426119949543514,0.49,0.774,0
"Rpl38",0,-0.296216961509904,0.944,0.99,0
"Actg1",0,-0.339197921996822,0.883,0.978,0
"Dock4",0,0.329358192632266,0.873,0.783,0
"Nfkbia",0,-0.271603611730552,0.829,0.949,0
"Rps29",0,-0.218254013224275,0.963,0.992,0
"Crip2",0,-0.368146147298969,0.841,0.969,0
"Arl15",0,0.511140418745978,0.818,0.622,0
"Ptprg",0,0.293802900155505,0.987,0.97,0
"Itm2b",0,-0.27378644726673,0.944,0.986,0
"Tsc22d1",0,-0.230482354430248,0.919,0.982,0
"Rpl37",0,-0.25812290169962,0.902,0.974,0
"Tuba1b",0,-0.359094303215113,0.591,0.838,0
"Tuba1a",0,-0.489389082042799,0.636,0.879,0
"Cldn5",0,-0.170791663098028,0.992,0.998,0
"Zbtb20",0,0.212704710119559,0.972,0.954,0
"Dusp1",0,-0.464464504842081,0.468,0.726,0
"Rps28",0,-0.425637953713101,0.67,0.896,0
"Tubb5",0,-0.440831249689094,0.508,0.801,0
"Gm42418",0,0.108250185611813,1,1,0
"AY036118",0,0.73609686970125,0.991,0.804,0
"Ptprm",0,0.282662591770016,0.946,0.906,0
"Myl12b",0,-0.326514595394081,0.799,0.937,0
"Fau",0,-0.191143870991335,0.956,0.988,0
"Rps4x",0,-0.24097458315976,0.894,0.969,0
"Itm2a",0,-0.313242246350299,0.945,0.986,0
"Tsc22d3",0,-0.505341034775277,0.407,0.735,0
"mt-Cytb",0,-0.137091695395603,0.988,0.994,0
"Srgn",1.94622339209784e-319,-0.2490856872978,0.85,0.949,3.55419315864907e-315
"Klf12",2.34836318387386e-318,0.323499556493465,0.859,0.768,4.28858084639045e-314
"Rpl35a",1.01677969685215e-313,-0.198204845343793,0.927,0.979,1.8568430823914e-309
"Tinagl1",2.59754664540096e-313,-0.366419057865335,0.57,0.791,4.74363968383123e-309
"Apbb2",3.04855965286288e-311,0.318644573284012,0.85,0.747,5.56727963805819e-307
"Gsta4",8.08237183136001e-311,-0.408307649556644,0.432,0.687,1.47600274384296e-306
"Arhgef12",1.11866504958851e-309,0.318147725719522,0.844,0.718,2.04290611355853e-305
"Rps27rt",5.46020654353873e-309,-0.379804955263868,0.187,0.472,9.97142918981042e-305
"Slc2a1",6.5973525780945e-309,-0.149432383760076,0.974,0.992,1.20480852781162e-304
"Macf1",8.21456794583242e-307,0.182377451329009,0.977,0.961,1.50014439826792e-302
"Adamts9",1.89428993576987e-306,0.523207382445212,0.295,0.076,3.45935228070294e-302
"Slc9a3r2",3.22060488575988e-305,-0.236801339455409,0.88,0.962,5.88146864237469e-301
"Prex2",4.41021155419287e-305,0.298516959026449,0.88,0.792,8.05392834026702e-301
"Dach1",8.37768995632217e-305,0.412832025424198,0.691,0.515,1.52993373982355e-300
"Prkch",1.87082761670087e-303,0.347191559976369,0.794,0.658,3.41650539361914e-299
"Eif1",4.06662080317924e-297,-0.193684650923377,0.922,0.973,7.42646291076592e-293
"Ier2",6.31601228845663e-297,-0.409352213771607,0.414,0.692,1.15343016411795e-292
"Pkp4",6.49478955344704e-297,0.354047920833749,0.76,0.583,1.1860784682505e-292
"Rps7",3.23063584034766e-291,-0.223242458212517,0.882,0.959,5.8997871716429e-287
"Dock1",3.23761845538892e-291,0.357308835824927,0.731,0.556,5.91253882323125e-287
"Edn1",1.19549129227108e-290,-0.521480410895166,0.213,0.468,2.18320619794544e-286
"Pard3",5.88099998471636e-285,0.358451479180545,0.73,0.559,1.0739882172089e-280
"Rpl27a",1.4009261164009e-284,-0.159454610139958,0.959,0.987,2.55837127377132e-280
"H3f3b",8.40785924185236e-282,-0.175664893655565,0.944,0.976,1.53544325474708e-277
"Rps3a1",2.48200448557497e-279,-0.201716665401268,0.913,0.97,4.532636591557e-275
"Exoc4",9.97920290602509e-278,0.372029679181772,0.685,0.507,1.8224020346983e-273
"Ebf1",8.68379634421997e-277,0.242651351347738,0.93,0.9,1.58583488838145e-272
"Tshz2",3.72865371905384e-276,0.354168196746126,0.782,0.656,6.80926742173613e-272
"Cst3",3.40176530966462e-274,-0.229589533125909,0.878,0.958,6.21230380850954e-270
"Exoc6b",5.4024884114757e-270,0.328306289973414,0.786,0.664,9.86602433703693e-266
"Dnah3",1.06161316073337e-269,0.394698083229251,0.366,0.143,1.93871795413128e-265
"Tcf12",1.45203329041298e-268,0.310315157004013,0.821,0.714,2.65170319495219e-264
"Rpl34",4.44439859797041e-268,-0.193190899514955,0.915,0.969,8.11636071961357e-264
"Clic1",2.52434366509055e-266,-0.309676397176419,0.631,0.829,4.60995640118836e-262
"Rpl21",2.86938218858555e-264,-0.18286128499471,0.929,0.975,5.24006575279493e-260
"Rpl9",2.25530434778902e-263,-0.16762888986335,0.946,0.981,4.11863679993231e-259
"Rps20",9.07349161932922e-262,-0.18745903170107,0.926,0.974,1.6570010395219e-257
"Srsf3",6.58157745456356e-261,-0.320786684395942,0.555,0.78,1.2019276747524e-256
"Atp10a",4.34987024688904e-258,0.248284169011632,0.914,0.869,7.94373304486877e-254
"Rhob",1.06871046724895e-256,-0.322425452362844,0.639,0.825,1.95167905529004e-252
"Gpx4",4.11740171601184e-253,-0.288779608583191,0.671,0.853,7.51919901378082e-249
"mt-Nd2",4.00805069907036e-251,-0.13393490022807,0.978,0.992,7.31950218664229e-247
"Nrp1",6.7086888360307e-246,0.358687146159834,0.723,0.57,1.22514075523593e-241
"Isyna1",2.21400146700399e-244,-0.347263157109289,0.366,0.624,4.04320947904269e-240
"Rbfox2",3.92037728023771e-244,0.343764868749691,0.664,0.484,7.15939298917011e-240
"Rnaset2b",1.15707135132876e-242,-0.341806353750161,0.311,0.578,2.11304370179658e-238
"Sorbs2os",1.84774389861995e-242,0.35977886453101,0.425,0.209,3.37434990765976e-238
"Nr3c2",8.80945091406402e-240,0.387316900023312,0.527,0.333,1.60878192592637e-235
"Mcc",4.50397412698793e-239,0.314482292170233,0.786,0.669,8.22515755070537e-235
"Gm2000",4.58948748368733e-239,-0.339692648469996,0.251,0.514,8.3813220427098e-235
"Etv6",6.0624831087042e-239,0.365049779151883,0.581,0.392,1.10713066531156e-234
"Ywhah",1.11490005195674e-238,-0.326347294274827,0.472,0.71,2.0360304748834e-234
"Psd3",8.35474158864196e-237,0.362874713754519,0.563,0.37,1.5257429089178e-232
"Myl12a",3.39705724553283e-236,-0.257137884749164,0.747,0.891,6.20370594179206e-232
"Ier5",8.8146608300348e-235,-0.33915612006733,0.372,0.63,1.60973336078096e-230
"Pon2",1.27466555434323e-234,-0.321353149566806,0.46,0.703,2.3277942353416e-230
"Gnas",2.76329818530857e-234,-0.144839888748063,0.953,0.986,5.04633514601052e-230
"Mllt3",3.05782206738689e-234,0.361450540601194,0.624,0.447,5.58419465946194e-230
"Rps24",4.81934390924352e-233,-0.147047706519407,0.959,0.987,8.80108584706051e-229
"Cfl1",2.05231427734106e-232,-0.240033044438773,0.781,0.911,3.74793633328023e-228
