Supplementary Data 3. Differentially expressed genes induced by TBI in individual cell clusters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columns A-G show statistics on cell type marker genes. Log.fold.change is log fold change between the groups (positive values have higher expression in TBI, negative values have higher expression in Sham). PCT.TBI is percent of single cells gene is expressed in TBI single cells of the cell type and PCT.TBI is the percent of single cells which express the gene from the cell type of interest in Sham samples. Columns I-AB give the gene signatures for the hippocampal cell types with p values (Pval) and fold changes (FC) shown for each cell type.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell Type,Gene,Log.fold.change,PCT.TBI,PCT.Sham,P Value,FDR,,Genes,Ependymal_Pval,Ependymal_FC,Oligodendrocytes_Pval,Oligodendrocytes_FC,Astrocytes_Pval,Astrocytes_FC,Oligodendrocyte Progenitor Cells_Pval,Oligodendrocyte Progenitor Cells_FC,Neurons_Pval,Neurons_FC,Unknown1_Pval,Unknown1_FC,Unknown2_Pval,Unknown2_FC,Mural_Pval,Mural_FC,Microglia_Pval,Microglia_FC,Endothelial_Pval,Endothelial_FC,CA3_Pval,CA3 FC,CA Subtype 1_Pval,CA Subtype 1 FC,CA Subtype 2_Pval,CA Subtype 2 FC,CA1_Pval,CA1 FC,GABAergic_Pval,GABAergic FC,Neuronal Subtype 1_Pval,Neuronal Subtype 1 FC,Neuronal Subtype 2_Pval,Neuronal Subtype 2 FC,DG_Pval,DG FC,Whole Tissue_Pval,Whole Tissue FC,Number of Significant Cell Types
Astrocytes,Ttr,3.61980931,0.587,0.049,3.62E-178,2.83E-175,,Ttr,1.49E-07,1.607268571,2.50E-114,2.704846325,3.62E-178,3.61980931,3.08E-40,4.727724976,3.20E-85,2.97220921,9.86E-06,2.04035656,---,---,0.004966064,2.074948959,1.66E-30,1.902278679,2.99E-27,1.626466388,1.25E-05,2.05022851,1.28E-15,2.701220843,6.12E-10,1.214966525,1.44E-14,2.898611121,2.06E-11,2.995336368,2.21E-17,3.685883701,0.027261027,1.420242866,7.51E-16,1.354593432,0,3.843089312,18
Astrocytes,mt-Co1,-0.705399628,0.841,0.925,7.69E-27,6.01E-24,,Mt2,0.003734865,-0.813210786,1.29E-08,0.886121438,7.02E-17,0.698353296,---,---,5.14E-16,1.258849241,---,---,---,---,---,---,0.005774261,0.362278304,0.001335283,0.830647864,---,---,0.041042095,1.292409104,0.002836073,1.091325061,7.73E-05,1.705603169,---,---,---,---,0.021827074,1.162453858,0.00199189,1.143994689,3.01E-28,0.672014057,12
Astrocytes,Tnfrsf12a,1.052747223,0.211,0.059,3.07E-24,2.40E-21,,mt-Rnr2,0.019011737,0.887921554,1.11E-14,0.539956473,---,---,0.000165373,0.616642593,4.29E-15,0.617376659,0.000317248,0.990379733,---,---,---,---,0.004185858,0.293134203,---,---,0.000443705,0.76027348,0.006326749,0.479347203,---,---,2.30E-08,1.333594155,0.005781263,0.669744634,---,---,---,---,---,---,6.33E-34,0.294869737,11
Astrocytes,Slc5a3,1.323193914,0.222,0.077,1.04E-22,8.14E-20,,Itm2b,0.035123438,-0.600546771,9.75E-10,-0.342448122,3.22E-10,-0.360554567,---,---,1.76E-11,-0.463937821,---,---,---,---,---,---,0.000107723,-0.321277934,6.33E-07,-0.392236565,0.034777914,-0.774266244,---,---,0.010149834,-0.865820784,0.007135156,-0.451180188,---,---,---,---,---,---,0.007885159,-0.480279814,8.53E-31,-0.327043655,11
Astrocytes,Mt3,0.551864063,0.747,0.625,1.68E-22,1.32E-19,,Ptms,---,---,0.000151182,0.507968631,0.003669511,0.317253322,0.003905442,0.794633458,5.65E-14,0.869483104,---,---,0.017229487,1.167886212,---,---,---,---,---,---,---,---,0.017553627,0.503983522,0.001977478,1.084888891,---,---,4.08E-05,1.171462202,0.003030152,0.844847781,---,---,0.000521083,0.721817904,7.32E-13,0.380684052,11
Astrocytes,Ppia,-0.482021596,0.7,0.838,3.22E-22,2.52E-19,,Mt1,2.88E-06,-1.156062784,0.001098461,0.3776861,7.84E-14,0.534050243,---,---,1.84E-07,0.642513747,---,---,0.009250111,-0.305787423,0.013590749,1.57145206,0.000512182,0.405480006,---,---,0.014734802,0.845917851,---,---,---,---,0.018337328,0.776606279,---,---,---,---,0.030152337,0.967167924,---,---,1.88E-20,0.488409007,11
Astrocytes,Mrps6,0.541705562,0.468,0.311,7.92E-19,6.19E-16,,Ppia,---,---,1.08E-06,-0.294612377,3.22E-22,-0.482021596,0.030962179,-0.393189161,1.11E-12,-0.488305055,---,---,---,---,---,---,---,---,0.004567931,-0.259119752,---,---,0.000641044,-0.667890162,0.026869472,-0.596193397,3.59E-05,-0.829389112,---,---,5.77E-06,-0.761699291,---,---,---,---,5.62E-45,-0.380446869,10
Astrocytes,Atp1a2,0.498322953,0.8,0.684,1.30E-18,1.01E-15,,Cmip,---,---,0.004176556,0.344986443,0.001701607,0.388127861,---,---,1.64E-09,0.728054029,0.038852595,1.427469172,---,---,---,---,---,---,---,---,---,---,0.041243225,0.520191294,0.042411719,0.581509161,0.000214214,1.352839744,---,---,0.00794677,0.85886546,---,---,6.50E-05,0.885923814,2.40E-05,0.311646837,10
Astrocytes,Ptx3,1.830128784,0.113,0.024,5.61E-18,4.39E-15,,Basp1,---,---,---,---,---,---,1.39E-08,1.529044706,1.36E-07,0.568446331,0.005472189,1.002924118,---,---,---,---,3.42E-05,0.553280869,---,---,---,---,0.033004038,0.512152218,0.011901977,0.782026467,---,---,7.54E-05,1.210208442,2.20E-05,1.338564668,---,---,---,---,1.67E-11,0.4352715,9
Astrocytes,S100a10,0.613102789,0.383,0.243,1.65E-17,1.29E-14,,Set,---,---,4.39E-08,0.635340351,0.001673726,0.344331675,0.014862489,0.514870825,0.00094396,0.531670209,---,---,---,---,---,---,0.003161732,0.569972419,---,---,---,---,---,---,---,---,---,---,0.002508144,0.620822725,0.023429154,0.808324446,---,---,0.000494746,0.779251119,7.61E-18,0.494388095,9
